Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Bauder,Malcolm James Crockett,Hilary Crowley,Jay Hill,Donna Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Prince George--Peace River/Prince George--Peace River"," 1","Coal River",0,0,1,5,0,0,6,103
"Prince George--Peace River/Prince George--Peace River"," 2","Muncho Lake",Merged with No. 1/Fusionné avec le nº 1,,,,,,,9
"Prince George--Peace River/Prince George--Peace River"," 3","Summit Lake",0,1,0,19,0,0,20,52
"Prince George--Peace River/Prince George--Peace River"," 4","Snake River",25,31,14,166,0,0,236,516
"Prince George--Peace River/Prince George--Peace River"," 5","Muskwa",14,16,5,76,1,0,112,276
"Prince George--Peace River/Prince George--Peace River"," 6","Fort Nelson",36,23,9,123,2,1,194,445
"Prince George--Peace River/Prince George--Peace River"," 7A","Fort Nelson",15,16,13,45,2,1,92,331
"Prince George--Peace River/Prince George--Peace River"," 7B","Fort Nelson",15,14,11,34,0,0,74,300
"Prince George--Peace River/Prince George--Peace River"," 7C","Fort Nelson",15,24,5,59,2,1,106,307
"Prince George--Peace River/Prince George--Peace River"," 8","Fort Nelson",16,20,4,82,0,0,122,272
"Prince George--Peace River/Prince George--Peace River"," 9","Fort Nelson",25,22,6,91,2,0,146,420
"Prince George--Peace River/Prince George--Peace River"," 10","Fort Nelson",30,29,14,86,3,0,162,382
"Prince George--Peace River/Prince George--Peace River"," 11","Fort Nelson",28,39,11,150,1,0,229,551
"Prince George--Peace River/Prince George--Peace River"," 12","Prophet River",16,4,12,19,0,1,52,56
"Prince George--Peace River/Prince George--Peace River"," 13","Fort Ware",14,17,2,3,3,0,39,132
"Prince George--Peace River/Prince George--Peace River"," 14","Ingenika Point",19,10,28,2,2,0,61,115
"Prince George--Peace River/Prince George--Peace River"," 15","Mackenzie",26,21,2,77,4,1,131,292
"Prince George--Peace River/Prince George--Peace River"," 16","Mackenzie",26,29,10,116,3,1,185,406
"Prince George--Peace River/Prince George--Peace River"," 17","Mackenzie",27,44,4,76,2,0,153,322
"Prince George--Peace River/Prince George--Peace River"," 18","Mackenzie",28,29,3,89,1,1,151,335
"Prince George--Peace River/Prince George--Peace River"," 19A","Mackenzie",16,18,5,46,2,0,87,262
"Prince George--Peace River/Prince George--Peace River"," 19B","Mackenzie",22,21,4,45,1,0,93,257
"Prince George--Peace River/Prince George--Peace River"," 20","Mackenzie",31,26,4,108,1,0,170,377
"Prince George--Peace River/Prince George--Peace River"," 21","Mackenzie",38,25,6,80,2,0,151,349
"Prince George--Peace River/Prince George--Peace River"," 22","Mackenzie",30,31,11,105,0,2,179,321
"Prince George--Peace River/Prince George--Peace River"," 23","Mackenzie",20,34,3,98,1,0,156,289
"Prince George--Peace River/Prince George--Peace River"," 24","McLeod Lake",16,25,9,17,0,0,67,121
"Prince George--Peace River/Prince George--Peace River"," 25","Pink Mountain",5,2,3,31,0,1,42,79
"Prince George--Peace River/Prince George--Peace River"," 26","Upper Halfway",11,4,1,21,0,0,37,96
"Prince George--Peace River/Prince George--Peace River"," 27","Wonowon",2,2,1,32,0,0,37,69
"Prince George--Peace River/Prince George--Peace River"," 28","Buick",4,3,4,68,0,1,80,125
"Prince George--Peace River/Prince George--Peace River"," 29","Doig River",10,2,1,6,0,0,19,67
"Prince George--Peace River/Prince George--Peace River"," 30","Prespatou",2,3,1,79,0,0,85,199
"Prince George--Peace River/Prince George--Peace River"," 31","Murdale",Merged with No. 33/Fusionné avec le nº 33,,,,,,,73
"Prince George--Peace River/Prince George--Peace River"," 32","Rose Prairie",10,9,3,153,2,0,177,285
"Prince George--Peace River/Prince George--Peace River"," 33","Montney",7,11,5,136,0,1,160,254
"Prince George--Peace River/Prince George--Peace River"," 34A","Bear Flat",23,9,12,219,2,0,265,583
"Prince George--Peace River/Prince George--Peace River"," 34B","Bear Flat",17,16,17,209,3,0,262,593
"Prince George--Peace River/Prince George--Peace River"," 35","Charlie Lake",13,8,7,86,0,0,114,194
"Prince George--Peace River/Prince George--Peace River"," 36","Charlie Lake",14,14,10,140,0,0,178,349
"Prince George--Peace River/Prince George--Peace River"," 37","Charlie Lake",15,9,8,119,1,0,152,356
"Prince George--Peace River/Prince George--Peace River"," 38","North Pine",8,0,3,88,0,0,99,186
"Prince George--Peace River/Prince George--Peace River"," 39","Grand Haven",6,14,5,160,4,2,191,337
"Prince George--Peace River/Prince George--Peace River"," 40","Grand Haven",16,11,12,149,5,0,193,372
"Prince George--Peace River/Prince George--Peace River"," 41","Fort St. John",11,8,9,103,0,0,131,278
"Prince George--Peace River/Prince George--Peace River"," 42A","Fort St. John",7,6,9,95,2,0,119,307
"Prince George--Peace River/Prince George--Peace River"," 42B","Fort St. John",4,7,5,101,0,1,118,309
"Prince George--Peace River/Prince George--Peace River"," 43","Two Rivers",12,19,13,166,1,0,211,394
"Prince George--Peace River/Prince George--Peace River"," 44","Taylor",9,14,13,106,0,0,142,285
"Prince George--Peace River/Prince George--Peace River"," 45","Taylor",13,28,8,239,0,0,288,622
"Prince George--Peace River/Prince George--Peace River"," 46","Cecil Lake",9,14,5,182,0,2,212,343
"Prince George--Peace River/Prince George--Peace River"," 47","Flatrock",2,8,3,124,1,0,138,221
"Prince George--Peace River/Prince George--Peace River"," 48","Fort St. John",24,19,15,150,1,0,209,425
"Prince George--Peace River/Prince George--Peace River"," 49A","Fort St. John",15,16,7,124,0,0,162,303
"Prince George--Peace River/Prince George--Peace River"," 49B","Fort St. John",21,15,9,118,2,0,165,319
"Prince George--Peace River/Prince George--Peace River"," 50","Fort St. John",18,17,8,169,1,0,213,449
"Prince George--Peace River/Prince George--Peace River"," 51","Fort St. John",19,33,17,158,1,0,228,432
"Prince George--Peace River/Prince George--Peace River"," 52","Fort St. John",13,17,11,85,0,0,126,295
"Prince George--Peace River/Prince George--Peace River"," 53","Fort St. John",12,33,9,178,2,1,235,501
"Prince George--Peace River/Prince George--Peace River"," 54","Fort St. John",28,17,10,122,1,0,178,404
"Prince George--Peace River/Prince George--Peace River"," 55A","Fort St. John",14,13,5,117,0,1,150,318
"Prince George--Peace River/Prince George--Peace River"," 55B","Fort St. John",18,20,13,118,0,0,169,352
"Prince George--Peace River/Prince George--Peace River"," 56","Fort St. John",15,16,6,94,0,0,131,404
"Prince George--Peace River/Prince George--Peace River"," 57","Fort St. John",13,16,6,70,1,0,106,490
"Prince George--Peace River/Prince George--Peace River"," 58","Fort St. John",18,14,4,119,2,0,157,423
"Prince George--Peace River/Prince George--Peace River"," 59","Fort St. John",14,16,4,52,0,0,86,365
"Prince George--Peace River/Prince George--Peace River"," 60","Fort St. John",26,19,10,88,1,1,145,488
"Prince George--Peace River/Prince George--Peace River"," 61","Fort St. John",15,17,6,86,2,0,126,381
"Prince George--Peace River/Prince George--Peace River"," 62","Fort St. John",17,21,8,103,1,0,150,449
"Prince George--Peace River/Prince George--Peace River"," 63","Fort St. John",15,28,7,118,0,0,168,428
"Prince George--Peace River/Prince George--Peace River"," 64","Fort St. John",14,24,10,106,0,2,156,438
"Prince George--Peace River/Prince George--Peace River"," 65","Fort St. John",22,26,6,119,3,0,176,457
"Prince George--Peace River/Prince George--Peace River"," 66","Fort St. John",22,20,10,139,0,0,191,509
"Prince George--Peace River/Prince George--Peace River"," 67","Fort St. John",4,8,7,62,0,0,81,194
"Prince George--Peace River/Prince George--Peace River"," 68","Fort St. John",16,22,7,95,1,0,141,379
"Prince George--Peace River/Prince George--Peace River"," 69","Fort St. John",10,25,6,79,0,0,120,459
"Prince George--Peace River/Prince George--Peace River"," 70","Fort St. John",16,20,7,115,1,2,161,513
"Prince George--Peace River/Prince George--Peace River"," 71","Fort St. John",12,11,4,85,0,0,112,312
"Prince George--Peace River/Prince George--Peace River"," 72A","Fort St. John",12,17,9,92,1,0,131,441
"Prince George--Peace River/Prince George--Peace River"," 72B","Fort St. John",10,17,10,85,2,0,124,433
"Prince George--Peace River/Prince George--Peace River"," 73","Lemoray",1,3,2,8,0,0,14,16
"Prince George--Peace River/Prince George--Peace River"," 74","Hudson's Hope",24,21,16,105,3,0,169,280
"Prince George--Peace River/Prince George--Peace River"," 75","Hudson's Hope",26,36,24,199,2,2,289,484
"Prince George--Peace River/Prince George--Peace River"," 76","Moberly Lake",44,48,18,60,3,0,173,355
"Prince George--Peace River/Prince George--Peace River"," 77","Jackfish Lake",12,9,5,83,0,0,109,234
"Prince George--Peace River/Prince George--Peace River"," 78","Chetwynd",24,28,7,106,2,0,167,334
"Prince George--Peace River/Prince George--Peace River"," 79","Chetwynd",33,30,11,127,2,0,203,431
"Prince George--Peace River/Prince George--Peace River"," 80","Commotion Creek",38,31,11,134,0,0,214,573
"Prince George--Peace River/Prince George--Peace River"," 81","Chetwynd",22,36,9,81,4,0,152,398
"Prince George--Peace River/Prince George--Peace River"," 82","Chetwynd",22,42,10,112,8,1,195,352
"Prince George--Peace River/Prince George--Peace River"," 83","Chetwynd",43,43,19,195,5,0,305,555
"Prince George--Peace River/Prince George--Peace River"," 84","Lone Prairie",3,1,2,24,1,0,31,110
"Prince George--Peace River/Prince George--Peace River"," 85","Bear Lake",20,22,20,43,4,0,109,184
"Prince George--Peace River/Prince George--Peace River"," 86A","Reid Lake",29,30,9,76,2,0,146,326
"Prince George--Peace River/Prince George--Peace River"," 86B","Reid Lake",30,49,18,85,0,0,182,371
"Prince George--Peace River/Prince George--Peace River"," 87","Nukko Lake",36,45,16,136,4,1,238,398
"Prince George--Peace River/Prince George--Peace River"," 88A","Nukko Lake",40,26,7,98,2,0,173,360
"Prince George--Peace River/Prince George--Peace River"," 88B","Nukko Lake",29,44,20,95,1,0,189,382
"Prince George--Peace River/Prince George--Peace River"," 89","Salmon Valley",34,42,16,113,1,0,206,376
"Prince George--Peace River/Prince George--Peace River"," 90","Willow River",22,36,7,63,0,1,129,265
"Prince George--Peace River/Prince George--Peace River"," 91","Ferndale",26,29,13,52,1,1,122,385
"Prince George--Peace River/Prince George--Peace River"," 92","Shelley",27,27,18,84,0,4,160,296
"Prince George--Peace River/Prince George--Peace River"," 93","Prince George",47,39,15,131,7,1,240,502
"Prince George--Peace River/Prince George--Peace River"," 94","Prince George",44,43,11,109,3,0,210,366
"Prince George--Peace River/Prince George--Peace River"," 95","Prince George",23,29,6,66,0,0,124,257
"Prince George--Peace River/Prince George--Peace River"," 96","Tabor",55,45,21,147,2,1,271,491
"Prince George--Peace River/Prince George--Peace River"," 97","Pineview",66,52,17,142,4,1,282,492
"Prince George--Peace River/Prince George--Peace River"," 98","Pineview",62,28,17,140,3,0,250,432
"Prince George--Peace River/Prince George--Peace River"," 99","Prince George",26,25,4,64,2,0,121,209
"Prince George--Peace River/Prince George--Peace River"," 100","Pineview",40,48,7,94,1,0,190,347
"Prince George--Peace River/Prince George--Peace River"," 101","Buckhorn",36,27,5,96,3,0,167,270
"Prince George--Peace River/Prince George--Peace River"," 102","Buckhorn",65,27,16,97,2,0,207,337
"Prince George--Peace River/Prince George--Peace River"," 103","Stoner",23,35,8,36,1,0,103,206
"Prince George--Peace River/Prince George--Peace River"," 104","Buckhorn",28,38,18,85,6,0,175,314
"Prince George--Peace River/Prince George--Peace River"," 105","Upper Fraser",9,18,2,26,4,0,59,114
"Prince George--Peace River/Prince George--Peace River"," 106","Longworth",Merged with No. 105/Fusionné avec le nº 105,,,,,,,27
"Prince George--Peace River/Prince George--Peace River"," 107","Prince George",45,40,18,123,4,0,230,470
"Prince George--Peace River/Prince George--Peace River"," 108","Prince George",42,33,12,87,2,0,176,333
"Prince George--Peace River/Prince George--Peace River"," 109A","Prince George",25,46,6,51,1,0,129,291
"Prince George--Peace River/Prince George--Peace River"," 109B","Prince George",28,29,6,58,0,0,121,294
"Prince George--Peace River/Prince George--Peace River"," 110","Prince George",39,40,9,104,1,0,193,443
"Prince George--Peace River/Prince George--Peace River"," 111","Prince George",56,53,10,94,2,2,217,504
"Prince George--Peace River/Prince George--Peace River"," 112","Prince George",45,45,10,92,1,1,194,451
"Prince George--Peace River/Prince George--Peace River"," 113","Prince George",61,38,21,125,0,0,245,420
"Prince George--Peace River/Prince George--Peace River"," 114","Prince George",62,47,27,126,3,0,265,457
"Prince George--Peace River/Prince George--Peace River"," 115","Prince George",11,27,3,41,2,0,84,252
