Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Brennan,Cynthia Downey,Bill Matthews,Amanda Will,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Random--Burin--St. George's/Random--Burin--St. George's"," 1","Mainland",5,60,71,15,0,151,273
"Random--Burin--St. George's/Random--Burin--St. George's"," 2","Three Rock Cove",2,43,44,7,0,96,150
"Random--Burin--St. George's/Random--Burin--St. George's"," 3","Lourdes",2,43,72,15,0,132,277
"Random--Burin--St. George's/Random--Burin--St. George's"," 4","Lourdes",4,45,53,11,0,113,209
"Random--Burin--St. George's/Random--Burin--St. George's"," 5","Black Duck Brook",1,27,22,5,0,55,200
"Random--Burin--St. George's/Random--Burin--St. George's"," 6","Fox Island River--Point au Mal",0,43,39,13,0,95,125
"Random--Burin--St. George's/Random--Burin--St. George's"," 7","West Bay",1,49,55,17,0,122,202
"Random--Burin--St. George's/Random--Burin--St. George's"," 8","Abrahams Cove",7,53,80,30,0,170,437
"Random--Burin--St. George's/Random--Burin--St. George's"," 9","Boswarlos",1,16,17,5,0,39,89
"Random--Burin--St. George's/Random--Burin--St. George's"," 10","Noels Pond--Cold Brook",1,55,48,11,0,115,256
"Random--Burin--St. George's/Random--Burin--St. George's"," 11","Cape St. George",3,46,37,11,0,97,156
"Random--Burin--St. George's/Random--Burin--St. George's"," 12","Marches Point--Red Brook",1,44,34,20,2,101,204
"Random--Burin--St. George's/Random--Burin--St. George's"," 13","De Grau",7,48,87,25,5,172,272
"Random--Burin--St. George's/Random--Burin--St. George's"," 14","Sheaves Cove",1,36,16,2,0,55,90
"Random--Burin--St. George's/Random--Burin--St. George's"," 15","Ship Cove--Lower Cove",4,45,49,12,0,110,275
"Random--Burin--St. George's/Random--Burin--St. George's"," 16","Campbells Creek",0,18,20,5,0,43,67
"Random--Burin--St. George's/Random--Burin--St. George's"," 17","Felix Cove",Merged with No. 18A/Fusionné avec le nº 18A,,,,,,99
"Random--Burin--St. George's/Random--Burin--St. George's"," 18A","Port au Port West-Aguathuna-Felix Cove",1,41,76,15,1,134,115
"Random--Burin--St. George's/Random--Burin--St. George's"," 18B","Port au Port West-Aguathuna-Felix Cove",0,39,36,21,1,97,192
"Random--Burin--St. George's/Random--Burin--St. George's"," 19A","Berry Head--Port au Port East",2,40,31,13,1,87,196
"Random--Burin--St. George's/Random--Burin--St. George's"," 19B","Berry Head--Port au Port East",0,36,26,10,0,72,180
"Random--Burin--St. George's/Random--Burin--St. George's"," 20","Port au Port East",1,81,45,25,0,152,238
"Random--Burin--St. George's/Random--Burin--St. George's"," 21","Kippens",4,94,62,31,0,191,359
"Random--Burin--St. George's/Random--Burin--St. George's"," 22","Kippens",2,49,44,12,1,108,173
"Random--Burin--St. George's/Random--Burin--St. George's"," 22-1","Kippens",4,142,87,42,0,275,517
"Random--Burin--St. George's/Random--Burin--St. George's"," 23","Kippens",2,101,82,22,1,208,423
"Random--Burin--St. George's/Random--Burin--St. George's"," 24","Stephenville",1,93,81,31,1,207,383
"Random--Burin--St. George's/Random--Burin--St. George's"," 24-1","Stephenville",1,46,35,11,0,93,185
"Random--Burin--St. George's/Random--Burin--St. George's"," 25","Stephenville",1,71,57,17,2,148,362
