Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ulric DeGrâce,Yvon Godin,Eric Landry,Marcelle Mersereau,Philippe Rousselle,Serge Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Acadie--Bathurst/Acadie--Bathurst"," 46","Bathurst",1,70,1,50,2,20,1,145,367
"Acadie--Bathurst/Acadie--Bathurst"," 47A","Bathurst",1,59,0,62,1,11,1,135,301
"Acadie--Bathurst/Acadie--Bathurst"," 47B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,,,9
"Acadie--Bathurst/Acadie--Bathurst"," 47C","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,,,10
"Acadie--Bathurst/Acadie--Bathurst"," 48","Bathurst",0,72,0,50,1,14,1,138,321
"Acadie--Bathurst/Acadie--Bathurst"," 49","Bathurst",0,59,0,20,0,15,0,94,203
"Acadie--Bathurst/Acadie--Bathurst"," 50A","Bathurst",0,43,0,27,1,18,1,90,213
"Acadie--Bathurst/Acadie--Bathurst"," 50B","Mobile poll/Bureau itinérant",Merged with No. 508/Fusionné avec le nº 508,,,,,,,,17
"Acadie--Bathurst/Acadie--Bathurst"," 51A","Bathurst",0,69,2,62,5,18,0,156,322
"Acadie--Bathurst/Acadie--Bathurst"," 51B","Mobile poll/Bureau itinérant",Merged with No. 56C/Fusionné avec le nº 56C,,,,,,,,19
"Acadie--Bathurst/Acadie--Bathurst"," 52","Bathurst",0,58,0,108,2,27,0,195,350
"Acadie--Bathurst/Acadie--Bathurst"," 53","Bathurst",0,55,0,55,2,15,3,130,236
"Acadie--Bathurst/Acadie--Bathurst"," 54","Bathurst",0,73,0,54,2,14,1,144,278
"Acadie--Bathurst/Acadie--Bathurst"," 55","Bathurst",1,80,0,53,0,13,1,148,328
"Acadie--Bathurst/Acadie--Bathurst"," 56A","Bathurst",0,82,0,57,0,17,1,157,300
"Acadie--Bathurst/Acadie--Bathurst"," 56B","Mobile poll/Bureau itinérant",Merged with No. 56C/Fusionné avec le nº 56C,,,,,,,,19
"Acadie--Bathurst/Acadie--Bathurst"," 56C","Mobile poll/Bureau itinérant",1,20,1,42,1,4,1,70,21
"Acadie--Bathurst/Acadie--Bathurst"," 57A","Bathurst",0,45,1,51,1,14,0,112,234
"Acadie--Bathurst/Acadie--Bathurst"," 57B","Mobile poll/Bureau itinérant",Merged with No. 56C/Fusionné avec le nº 56C,,,,,,,,20
"Acadie--Bathurst/Acadie--Bathurst"," 58","Bathurst",0,46,1,27,2,20,0,96,254
"Acadie--Bathurst/Acadie--Bathurst"," 59","Bathurst",0,39,1,56,0,13,1,110,271
"Acadie--Bathurst/Acadie--Bathurst"," 60A","Bathurst",1,92,0,66,0,12,3,174,351
"Acadie--Bathurst/Acadie--Bathurst"," 60B","Mobile poll/Bureau itinérant",Merged with No. 56C/Fusionné avec le nº 56C,,,,,,,,10
"Acadie--Bathurst/Acadie--Bathurst"," 61","Bathurst",0,96,0,51,5,24,0,176,326
"Acadie--Bathurst/Acadie--Bathurst"," 62","Bathurst",0,81,1,81,4,19,0,186,320
"Acadie--Bathurst/Acadie--Bathurst"," 63","Bathurst",0,140,1,54,1,30,2,228,436
"Acadie--Bathurst/Acadie--Bathurst"," 64","Bathurst",2,110,1,76,3,14,3,209,387
"Acadie--Bathurst/Acadie--Bathurst"," 65","Bathurst",0,118,0,71,0,27,1,217,346
"Acadie--Bathurst/Acadie--Bathurst"," 66","Salmon Beach",1,96,0,41,1,37,1,177,310
"Acadie--Bathurst/Acadie--Bathurst"," 67","Bathurst",0,77,1,34,0,16,3,131,320
"Acadie--Bathurst/Acadie--Bathurst"," 68","North Tetagouche",1,57,0,24,2,15,0,99,144
"Acadie--Bathurst/Acadie--Bathurst"," 69","North Tetagouche",0,46,0,17,3,11,0,77,128
"Acadie--Bathurst/Acadie--Bathurst"," 70","North Tetagouche",1,64,0,47,4,22,0,138,202
"Acadie--Bathurst/Acadie--Bathurst"," 71","North Tetagouche",1,70,1,65,7,30,4,178,261
"Acadie--Bathurst/Acadie--Bathurst"," 72A","North Tetagouche",0,75,2,65,3,25,0,170,288
"Acadie--Bathurst/Acadie--Bathurst"," 72B","North Tetagouche",2,104,2,85,1,25,0,219,327
"Acadie--Bathurst/Acadie--Bathurst"," 73","South Tetagouche",0,83,0,27,5,26,1,142,288
"Acadie--Bathurst/Acadie--Bathurst"," 74A","South Tetagouche",1,117,0,64,5,27,0,214,360
"Acadie--Bathurst/Acadie--Bathurst"," 74B","South Tetagouche",1,107,0,59,3,28,0,198,368
"Acadie--Bathurst/Acadie--Bathurst"," 75","Big River",1,143,2,78,4,29,2,259,483
"Acadie--Bathurst/Acadie--Bathurst"," 76A","Big River",1,141,3,92,5,41,0,283,436
"Acadie--Bathurst/Acadie--Bathurst"," 76B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,,,10
"Acadie--Bathurst/Acadie--Bathurst"," 77","Rough Waters",0,79,0,45,2,20,0,146,223
"Acadie--Bathurst/Acadie--Bathurst"," 78A","Chamberlain Settlement",0,89,1,46,1,13,0,150,238
"Acadie--Bathurst/Acadie--Bathurst"," 78B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,,,9
"Acadie--Bathurst/Acadie--Bathurst"," 79A","Allardville",0,110,0,41,0,19,1,171,263
"Acadie--Bathurst/Acadie--Bathurst"," 79B","Mobile poll/Bureau itinérant",0,15,2,12,0,10,0,39,12
"Acadie--Bathurst/Acadie--Bathurst"," 80","Allardville",0,148,1,24,0,15,3,191,259
"Acadie--Bathurst/Acadie--Bathurst"," 81A","Allardville East",0,187,0,35,2,26,1,251,356
"Acadie--Bathurst/Acadie--Bathurst"," 81B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,,,9
"Acadie--Bathurst/Acadie--Bathurst"," 82","Jeanne-Mance",0,200,0,28,2,15,0,245,382
