Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ulric DeGrâce,Yvon Godin,Eric Landry,Marcelle Mersereau,Philippe Rousselle,Serge Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Acadie--Bathurst/Acadie--Bathurst"," 128","Le Goulet",1,54,0,15,3,30,1,104,180
"Acadie--Bathurst/Acadie--Bathurst"," 129","Shippagan",1,122,0,49,3,57,8,240,417
"Acadie--Bathurst/Acadie--Bathurst"," 130A","Shippagan",1,101,0,57,4,112,5,280,472
"Acadie--Bathurst/Acadie--Bathurst"," 130B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,,2
"Acadie--Bathurst/Acadie--Bathurst"," 130C","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,,12
"Acadie--Bathurst/Acadie--Bathurst"," 130D","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,,4
"Acadie--Bathurst/Acadie--Bathurst"," 131","Shippagan",1,50,2,35,2,32,4,126,230
"Acadie--Bathurst/Acadie--Bathurst"," 132","Shippagan",1,97,1,48,6,69,8,230,422
"Acadie--Bathurst/Acadie--Bathurst"," 133","Shippagan",1,86,0,47,4,47,2,187,356
"Acadie--Bathurst/Acadie--Bathurst"," 134","Shippagan",2,76,0,42,3,64,2,189,317
"Acadie--Bathurst/Acadie--Bathurst"," 135","Le Goulet",0,103,0,59,6,124,3,295,388
"Acadie--Bathurst/Acadie--Bathurst"," 136","Le Goulet",1,153,1,90,6,57,0,308,454
"Acadie--Bathurst/Acadie--Bathurst"," 137","Lamèque",0,74,1,58,3,40,3,179,318
"Acadie--Bathurst/Acadie--Bathurst"," 138","Lamèque",0,50,1,39,2,84,1,177,292
"Acadie--Bathurst/Acadie--Bathurst"," 139A","Lamèque",0,63,0,47,2,52,3,167,268
"Acadie--Bathurst/Acadie--Bathurst"," 139B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,11
"Acadie--Bathurst/Acadie--Bathurst"," 140","Lamèque",0,64,3,41,4,69,1,182,293
"Acadie--Bathurst/Acadie--Bathurst"," 141","Sainte-Marie--Saint-Raphaël",2,136,1,25,1,64,4,233,324
"Acadie--Bathurst/Acadie--Bathurst"," 142","Sainte-Marie--Saint-Raphaël",1,103,1,31,1,44,5,186,262
"Acadie--Bathurst/Acadie--Bathurst"," 143","Sainte-Marie--Saint-Raphaël",0,122,3,52,0,55,5,237,308
"Acadie--Bathurst/Acadie--Bathurst"," 144","Maltampec",0,150,2,88,2,23,2,267,378
"Acadie--Bathurst/Acadie--Bathurst"," 145","Maltampec",2,91,1,34,0,22,1,151,248
"Acadie--Bathurst/Acadie--Bathurst"," 146","Pokemouche",2,120,0,58,5,27,0,212,325
"Acadie--Bathurst/Acadie--Bathurst"," 147","Evangeline",0,146,4,41,2,18,1,212,303
"Acadie--Bathurst/Acadie--Bathurst"," 148","Inkerman",0,138,1,51,4,53,8,255,350
"Acadie--Bathurst/Acadie--Bathurst"," 149A","Inkerman",1,67,0,46,2,51,2,169,258
"Acadie--Bathurst/Acadie--Bathurst"," 149B","Mobile poll/Bureau itinérant",Merged with No. 505A/Fusionné avec le nº 505A,,,,,,,,11
"Acadie--Bathurst/Acadie--Bathurst"," 150","Four Roads",1,88,1,20,2,27,2,141,233
"Acadie--Bathurst/Acadie--Bathurst"," 151","Six Roads",1,152,1,42,2,32,5,235,372
"Acadie--Bathurst/Acadie--Bathurst"," 152","Six Roads--Sainte-Rose",2,144,0,40,2,28,4,220,341
"Acadie--Bathurst/Acadie--Bathurst"," 153","Sainte-Rose",0,164,1,46,0,47,5,263,380
"Acadie--Bathurst/Acadie--Bathurst"," 154","Losier Settlement",0,144,0,57,2,38,5,246,397
"Acadie--Bathurst/Acadie--Bathurst"," 155","Trudel",0,170,2,59,1,33,2,267,415
"Acadie--Bathurst/Acadie--Bathurst"," 156","Notre-Dame-des-Érables",3,248,2,63,5,28,3,352,485
"Acadie--Bathurst/Acadie--Bathurst"," 157","Haut-Paquetville",0,86,0,9,0,20,0,115,185
"Acadie--Bathurst/Acadie--Bathurst"," 158","Petit-Paquetville",0,97,1,70,3,18,2,191,307
"Acadie--Bathurst/Acadie--Bathurst"," 159","Rang-Saint-Georges",0,179,0,38,2,22,3,244,425
"Acadie--Bathurst/Acadie--Bathurst"," 160","Bois-Blanc",1,89,1,31,0,16,0,138,209
"Acadie--Bathurst/Acadie--Bathurst"," 161","Val-Doucet",2,170,0,39,2,27,3,243,394
"Acadie--Bathurst/Acadie--Bathurst"," 162","Paquetville",0,96,1,45,1,38,6,187,285
"Acadie--Bathurst/Acadie--Bathurst"," 163","Paquetville",0,84,0,51,2,19,2,158,245
"Acadie--Bathurst/Acadie--Bathurst"," 164","Duguayville",0,85,2,35,4,26,1,153,266
"Acadie--Bathurst/Acadie--Bathurst"," 165","Hacheyville",0,93,1,26,0,22,1,143,240
"Acadie--Bathurst/Acadie--Bathurst"," 166","Tilley Road et Bois Gagnon",0,120,3,46,5,45,1,220,350
"Acadie--Bathurst/Acadie--Bathurst"," 167","Tilley Road",0,98,0,34,3,28,1,164,252
"Acadie--Bathurst/Acadie--Bathurst"," 168A","Saint-Sauveur",1,180,0,35,2,15,0,233,325
"Acadie--Bathurst/Acadie--Bathurst"," 168B","Saint-Sauveur",0,176,1,22,0,20,0,219,299
"Acadie--Bathurst/Acadie--Bathurst"," 169","Saint-Isidore",2,101,1,69,3,38,4,218,322
"Acadie--Bathurst/Acadie--Bathurst"," 170A","Saint-Isidore",0,120,1,63,2,38,2,226,317
"Acadie--Bathurst/Acadie--Bathurst"," 170B","Mobile poll/Bureau itinérant",Merged with No. 506B/Fusionné avec le nº 506B,,,,,,,,33
"Acadie--Bathurst/Acadie--Bathurst"," 171A","Pont-Landry",3,146,1,72,3,45,2,272,368
"Acadie--Bathurst/Acadie--Bathurst"," 171B","Pont-Landry",0,144,0,64,4,45,1,258,356
"Acadie--Bathurst/Acadie--Bathurst"," 172","Gauvreau",1,99,1,47,5,28,1,182,270
"Acadie--Bathurst/Acadie--Bathurst"," 173","Trout Stream",0,107,0,67,1,50,0,225,386
"Acadie--Bathurst/Acadie--Bathurst"," 174","Saumarez",0,117,2,67,4,42,6,238,313
"Acadie--Bathurst/Acadie--Bathurst"," 175","Saumarez",0,161,2,56,4,39,3,265,401
"Acadie--Bathurst/Acadie--Bathurst"," 176","Benoit",0,44,0,28,3,15,1,91,142
"Acadie--Bathurst/Acadie--Bathurst"," 177A","Saint-Irénée",3,157,1,59,0,33,4,257,334
"Acadie--Bathurst/Acadie--Bathurst"," 177B","Saint-Irénée",1,137,1,60,2,34,7,242,342
"Acadie--Bathurst/Acadie--Bathurst"," 178","Upper Sheila",2,88,1,60,5,41,3,200,309
