Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nick Capra,Axcel Cocon,Parm Gill,Sandra Romano Anthony,Judy Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York West/York-Ouest"," 1","North York",9,0,47,31,189,1,277,432
"York West/York-Ouest"," 2","North York",13,1,41,12,209,1,277,463
"York West/York-Ouest"," 3","North York",8,1,30,17,139,3,198,343
"York West/York-Ouest"," 4A","North York",8,1,35,21,110,0,175,320
"York West/York-Ouest"," 4B","North York",4,1,29,25,92,2,153,307
"York West/York-Ouest"," 5","North York",8,0,38,16,136,0,198,314
"York West/York-Ouest"," 6","North York",19,1,47,27,146,1,241,345
"York West/York-Ouest"," 7","North York",6,0,48,26,137,0,217,361
"York West/York-Ouest"," 8","North York",6,0,46,30,138,6,226,355
"York West/York-Ouest"," 9","North York",7,2,27,14,105,4,159,317
"York West/York-Ouest"," 10","North York",5,1,47,22,149,0,224,355
"York West/York-Ouest"," 11","North York",8,1,77,23,169,0,278,509
"York West/York-Ouest"," 12","North York",7,0,62,47,149,2,267,499
"York West/York-Ouest"," 13","North York",1,0,22,21,147,0,191,295
"York West/York-Ouest"," 14","North York",3,1,30,14,93,0,141,234
"York West/York-Ouest"," 15A","North York",1,0,21,10,98,0,130,295
"York West/York-Ouest"," 15B","North York",6,1,16,11,111,0,145,300
"York West/York-Ouest"," 16","North York",2,3,34,19,151,1,210,389
"York West/York-Ouest"," 17","North York",8,0,45,32,181,3,269,545
"York West/York-Ouest"," 18","North York",3,0,42,20,86,1,152,370
"York West/York-Ouest"," 19","North York",Void/Supprimé,,,,,,,
"York West/York-Ouest"," 20","North York",7,1,26,13,91,0,138,248
"York West/York-Ouest"," 21","North York",3,0,21,15,68,0,107,307
"York West/York-Ouest"," 22","North York",0,0,40,23,93,1,157,383
"York West/York-Ouest"," 23","North York",6,3,61,42,136,5,253,507
"York West/York-Ouest"," 24A","North York",3,0,26,22,62,1,114,285
"York West/York-Ouest"," 24B","North York",3,0,28,17,69,0,117,326
"York West/York-Ouest"," 25","North York",3,1,37,9,132,0,182,313
"York West/York-Ouest"," 26","North York",7,0,47,20,209,0,283,443
"York West/York-Ouest"," 27","North York",14,2,43,40,174,2,275,459
"York West/York-Ouest"," 28","North York",10,0,40,59,164,1,274,525
"York West/York-Ouest"," 29","North York",4,2,38,27,148,3,222,486
"York West/York-Ouest"," 30","North York",8,3,16,45,193,3,268,557
"York West/York-Ouest"," 31","North York",5,7,37,15,96,1,161,427
"York West/York-Ouest"," 32","North York",3,2,35,32,114,3,189,427
"York West/York-Ouest"," 33","North York",5,0,21,26,151,1,204,480
"York West/York-Ouest"," 34","North York",5,1,16,13,41,0,76,153
"York West/York-Ouest"," 35","North York",17,2,57,26,135,3,240,395
"York West/York-Ouest"," 36","North York",8,1,39,33,124,0,205,410
"York West/York-Ouest"," 37","North York",1,0,26,17,99,0,143,279
"York West/York-Ouest"," 38","North York",13,0,28,27,107,2,177,307
"York West/York-Ouest"," 39","North York",3,2,30,22,94,1,152,343
"York West/York-Ouest"," 40","North York",6,1,19,15,85,0,126,312
"York West/York-Ouest"," 41","North York",11,4,19,25,167,2,228,405
"York West/York-Ouest"," 42A","North York",13,0,19,39,128,3,202,403
"York West/York-Ouest"," 42B","Mobile poll/Bureau itinérant",Merged with No. 85B/Fusionné avec le nº 85B,,,,,,,52
"York West/York-Ouest"," 43","North York",4,0,12,12,86,0,114,262
"York West/York-Ouest"," 44A","North York",3,0,31,20,145,2,201,413
"York West/York-Ouest"," 44B","North York",4,0,21,22,141,1,189,410
"York West/York-Ouest"," 45","North York",10,3,36,46,134,0,229,520
"York West/York-Ouest"," 46","North York",19,0,35,78,76,0,208,357
"York West/York-Ouest"," 47","North York",8,0,14,50,81,0,153,262
"York West/York-Ouest"," 48","North York",54,0,51,196,199,0,500,623
"York West/York-Ouest"," 49","North York",12,0,28,74,95,1,210,476
"York West/York-Ouest"," 50","North York",Void/Supprimé,,,,,,,
"York West/York-Ouest"," 51","North York",7,0,41,26,75,1,150,325
"York West/York-Ouest"," 52","North York",4,0,43,31,103,0,181,391
"York West/York-Ouest"," 53","North York",7,0,32,31,91,2,163,340
"York West/York-Ouest"," 54A","North York",8,0,28,30,89,2,157,310
"York West/York-Ouest"," 54B","North York",3,1,19,20,89,1,133,287
"York West/York-Ouest"," 55A","North York",3,1,23,24,120,0,171,333
"York West/York-Ouest"," 55B","North York",1,0,32,44,114,0,191,328
"York West/York-Ouest"," 56","North York",9,3,31,21,108,0,172,261
"York West/York-Ouest"," 57","North York",3,1,20,17,109,3,153,273
"York West/York-Ouest"," 58","North York",7,1,43,34,145,1,231,377
"York West/York-Ouest"," 59","North York",4,0,39,22,78,1,144,276
"York West/York-Ouest"," 60","North York",3,1,39,31,87,0,161,399
"York West/York-Ouest"," 61","North York",3,1,53,16,85,0,158,278
"York West/York-Ouest"," 62","North York",2,10,33,35,118,0,198,364
"York West/York-Ouest"," 63","North York",8,0,36,24,130,1,199,356
"York West/York-Ouest"," 64","North York",4,2,27,42,145,4,224,408
"York West/York-Ouest"," 65","North York",3,1,23,28,139,0,194,393
"York West/York-Ouest"," 66","North York",4,0,13,20,79,1,117,311
"York West/York-Ouest"," 67","North York",14,0,43,44,144,2,247,545
"York West/York-Ouest"," 68","North York",5,0,41,41,154,5,246,462
"York West/York-Ouest"," 69","North York",5,0,24,29,134,4,196,363
"York West/York-Ouest"," 70","North York",7,0,28,21,131,5,192,326
"York West/York-Ouest"," 71","North York",6,2,36,38,153,2,237,441
"York West/York-Ouest"," 72","North York",0,1,6,24,107,0,138,305
"York West/York-Ouest"," 73","North York",1,2,20,26,106,0,155,369
"York West/York-Ouest"," 74","North York",3,1,18,20,76,0,118,344
"York West/York-Ouest"," 75","North York",10,2,58,44,196,3,313,506
"York West/York-Ouest"," 76","North York",4,2,35,34,191,2,268,429
"York West/York-Ouest"," 77","North York",5,0,20,19,99,2,145,273
"York West/York-Ouest"," 78","North York",2,2,36,34,160,5,239,377
"York West/York-Ouest"," 79","North York",3,0,37,33,142,3,218,384
"York West/York-Ouest"," 80","North York",4,1,28,29,125,0,187,348
"York West/York-Ouest"," 81","North York",0,1,24,16,109,0,150,311
"York West/York-Ouest"," 82","North York",3,0,32,28,135,0,198,331
"York West/York-Ouest"," 83A","North York",5,0,30,33,111,3,182,341
"York West/York-Ouest"," 83B","North York",5,3,39,25,134,3,209,348
"York West/York-Ouest"," 84","North York",4,0,19,14,73,0,110,183
"York West/York-Ouest"," 85A","North York",5,0,26,35,160,5,231,465
"York West/York-Ouest"," 85B","Mobile poll/Bureau itinérant",3,0,14,5,41,2,65,96
"York West/York-Ouest"," 86","North York",3,3,43,24,159,3,235,436
"York West/York-Ouest"," 87","North York",4,4,18,31,169,2,228,436
"York West/York-Ouest"," 88","North York",5,1,30,30,170,2,238,453
"York West/York-Ouest"," 89","North York",7,0,29,22,96,0,154,348
"York West/York-Ouest"," 90","North York",2,2,28,23,125,2,182,316
"York West/York-Ouest"," 91","North York",5,2,35,29,103,4,178,416
"York West/York-Ouest"," 92","North York",1,4,18,33,105,0,161,424
"York West/York-Ouest"," 93","North York",8,0,36,43,161,0,248,544
"York West/York-Ouest"," 94","North York",2,1,29,21,127,0,180,370
"York West/York-Ouest"," 95","North York",3,2,25,19,115,1,165,390
"York West/York-Ouest"," 96","North York",1,1,5,9,79,0,95,176
"York West/York-Ouest"," 97","North York",Void/Supprimé,,,,,,,
"York West/York-Ouest"," 98A","North York",3,4,20,8,69,0,104,260
"York West/York-Ouest"," 98B","North York",0,2,28,10,77,0,117,285
"York West/York-Ouest"," 99","North York",0,1,24,14,96,1,136,292
"York West/York-Ouest"," 100","North York",11,1,45,24,138,1,220,451
"York West/York-Ouest"," 101","North York",6,6,27,23,110,3,175,316
"York West/York-Ouest"," 102","North York",7,1,24,16,134,1,183,259
"York West/York-Ouest"," 103","North York",8,1,36,22,141,0,208,323
"York West/York-Ouest"," 104","North York",1,0,30,28,144,3,206,354
"York West/York-Ouest"," 105","North York",1,2,24,21,65,3,116,317
"York West/York-Ouest"," 106","North York",11,4,50,34,166,4,269,469
"York West/York-Ouest"," 107","North York",8,2,30,26,172,1,239,378
"York West/York-Ouest"," 108A","North York",3,1,43,19,125,2,193,398
"York West/York-Ouest"," 108B","North York",3,0,33,23,125,0,184,352
"York West/York-Ouest"," 109","North York",Void/Supprimé,,,,,,,
"York West/York-Ouest"," 110","North York",2,1,28,18,230,0,279,557
"York West/York-Ouest"," 111","North York",3,1,53,15,148,1,221,384
"York West/York-Ouest"," 112","North York",2,0,28,13,127,3,173,294
"York West/York-Ouest"," 113","North York",0,0,39,21,133,4,197,367
"York West/York-Ouest"," 114","North York",4,1,53,24,173,2,257,543
"York West/York-Ouest"," 115","North York",12,1,57,24,137,3,234,448
"York West/York-Ouest"," 116","North York",2,0,14,18,81,0,115,217
"York West/York-Ouest"," 117A","North York",4,3,31,19,78,0,135,375
"York West/York-Ouest"," 117B","North York",1,2,21,30,84,1,139,352
"York West/York-Ouest"," 118","North York",6,0,49,36,173,0,264,444
"York West/York-Ouest"," 119","North York",5,0,25,23,43,1,97,251
"York West/York-Ouest"," 120","North York",4,2,32,14,106,1,159,335
"York West/York-Ouest"," 121","North York",7,2,32,26,129,0,196,390
"York West/York-Ouest"," 122","North York",4,1,38,31,113,0,187,363
"York West/York-Ouest"," 123","North York",6,0,37,24,106,2,175,315
