Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Charette,Christian Doyle,Gabriel Girard-Bernier,Pierre Laliberté,Gilles Poirier,Marcel Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hull--Aylmer/Hull--Aylmer"," 1","Aylmer",40,16,0,30,49,80,0,215,405
"Hull--Aylmer/Hull--Aylmer"," 2","Aylmer",64,11,0,38,55,60,2,230,367
"Hull--Aylmer/Hull--Aylmer"," 3","Aylmer",71,21,0,46,52,93,0,283,466
"Hull--Aylmer/Hull--Aylmer"," 4A","Aylmer",73,19,0,40,66,66,0,264,447
"Hull--Aylmer/Hull--Aylmer"," 4B","Aylmer",66,15,0,42,60,89,0,272,417
"Hull--Aylmer/Hull--Aylmer"," 5","Aylmer",78,23,0,63,69,97,1,331,545
"Hull--Aylmer/Hull--Aylmer"," 6A","Aylmer",12,7,1,37,38,75,1,171,285
"Hull--Aylmer/Hull--Aylmer"," 6B","Aylmer",36,16,0,32,49,61,0,194,353
"Hull--Aylmer/Hull--Aylmer"," 7","Aylmer",62,13,1,59,64,87,0,286,482
"Hull--Aylmer/Hull--Aylmer"," 8","Aylmer",65,5,1,41,58,74,3,247,404
"Hull--Aylmer/Hull--Aylmer"," 9","Aylmer",54,9,1,54,34,73,2,227,401
"Hull--Aylmer/Hull--Aylmer"," 10","Aylmer",93,21,0,58,85,105,0,362,543
"Hull--Aylmer/Hull--Aylmer"," 11","Aylmer",56,16,0,57,39,89,1,258,404
"Hull--Aylmer/Hull--Aylmer"," 12A","Aylmer",47,14,0,60,42,76,0,239,365
"Hull--Aylmer/Hull--Aylmer"," 12B","Aylmer",42,8,1,38,65,81,0,235,374
"Hull--Aylmer/Hull--Aylmer"," 13","Aylmer",36,19,0,42,71,108,1,277,398
"Hull--Aylmer/Hull--Aylmer"," 14","Aylmer",31,11,0,30,44,68,1,185,292
"Hull--Aylmer/Hull--Aylmer"," 15","Aylmer",54,9,0,52,79,134,1,329,506
"Hull--Aylmer/Hull--Aylmer"," 16A","Aylmer",36,5,0,37,52,86,2,218,336
"Hull--Aylmer/Hull--Aylmer"," 16B","Aylmer",42,3,2,33,59,86,0,225,350
"Hull--Aylmer/Hull--Aylmer"," 17A","Aylmer",41,12,0,41,51,98,1,244,400
"Hull--Aylmer/Hull--Aylmer"," 17B","Aylmer",28,7,0,20,34,75,0,164,247
"Hull--Aylmer/Hull--Aylmer"," 18","Aylmer",32,9,0,46,68,98,1,254,469
"Hull--Aylmer/Hull--Aylmer"," 19","Aylmer",72,21,0,40,54,83,0,270,446
"Hull--Aylmer/Hull--Aylmer"," 20","Aylmer",62,14,3,35,41,76,0,231,445
"Hull--Aylmer/Hull--Aylmer"," 21","Aylmer",39,9,0,26,55,76,1,206,383
"Hull--Aylmer/Hull--Aylmer"," 22","Aylmer",26,3,0,24,16,34,1,104,322
"Hull--Aylmer/Hull--Aylmer"," 23","Aylmer",30,2,1,32,33,76,0,174,439
"Hull--Aylmer/Hull--Aylmer"," 24","Aylmer",33,11,1,22,12,31,1,111,201
"Hull--Aylmer/Hull--Aylmer"," 25","Aylmer",18,4,1,27,68,110,2,230,418
"Hull--Aylmer/Hull--Aylmer"," 26","Aylmer",30,4,0,27,30,46,2,139,264
"Hull--Aylmer/Hull--Aylmer"," 27","Aylmer",24,6,0,31,46,62,0,169,520
"Hull--Aylmer/Hull--Aylmer"," 28","Aylmer",45,14,0,33,49,70,0,211,356
"Hull--Aylmer/Hull--Aylmer"," 29","Aylmer",71,23,1,87,71,111,0,364,600
"Hull--Aylmer/Hull--Aylmer"," 30","Aylmer",47,16,0,60,44,91,2,260,464
"Hull--Aylmer/Hull--Aylmer"," 31","Aylmer",38,10,1,25,50,73,1,198,355
"Hull--Aylmer/Hull--Aylmer"," 32","Aylmer",49,12,0,36,27,60,2,186,375
"Hull--Aylmer/Hull--Aylmer"," 33","Aylmer",33,7,0,24,29,66,0,159,368
"Hull--Aylmer/Hull--Aylmer"," 34","Aylmer",45,11,2,44,34,69,1,206,478
"Hull--Aylmer/Hull--Aylmer"," 35","Aylmer",66,23,0,46,66,89,1,291,474
"Hull--Aylmer/Hull--Aylmer"," 36","Aylmer",37,14,0,46,40,110,1,248,400
"Hull--Aylmer/Hull--Aylmer"," 37","Aylmer",30,9,1,30,46,81,3,200,376
"Hull--Aylmer/Hull--Aylmer"," 38","Aylmer",46,13,0,46,65,82,0,252,397
"Hull--Aylmer/Hull--Aylmer"," 39","Aylmer",66,20,0,42,37,91,0,256,439
"Hull--Aylmer/Hull--Aylmer"," 40","Aylmer",50,7,0,30,55,97,5,244,434
