Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Bickford,Luke Kurata,Bob Mills,Tanner Wade Waldo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Red Deer/Red Deer"," 59","Red Deer",10,9,69,5,0,93,330
"Red Deer/Red Deer"," 60","Red Deer",20,17,119,8,0,164,400
"Red Deer/Red Deer"," 61","Red Deer",27,20,123,13,0,183,423
"Red Deer/Red Deer"," 62","Red Deer",29,18,126,13,0,186,468
"Red Deer/Red Deer"," 63","Red Deer",18,26,150,4,0,198,360
"Red Deer/Red Deer"," 64","Red Deer",18,18,133,13,0,182,349
"Red Deer/Red Deer"," 65","Red Deer",13,14,116,6,4,153,271
"Red Deer/Red Deer"," 66","Red Deer",21,18,217,9,0,265,561
"Red Deer/Red Deer"," 67","Red Deer",9,5,113,8,0,135,268
"Red Deer/Red Deer"," 68","Red Deer",14,16,93,7,2,132,474
"Red Deer/Red Deer"," 69","Red Deer",22,17,155,6,0,200,424
"Red Deer/Red Deer"," 70","Red Deer",15,16,69,9,0,109,326
"Red Deer/Red Deer"," 71","Red Deer",27,15,141,11,2,196,469
"Red Deer/Red Deer"," 72","Red Deer",12,12,118,6,0,148,284
"Red Deer/Red Deer"," 73","Red Deer",29,35,192,13,0,269,534
"Red Deer/Red Deer"," 74","Red Deer",37,22,136,13,1,209,623
"Red Deer/Red Deer"," 75","Red Deer",20,10,65,8,0,103,345
"Red Deer/Red Deer"," 76","Red Deer",18,28,137,12,1,196,404
"Red Deer/Red Deer"," 77","Red Deer",27,9,161,17,1,215,385
"Red Deer/Red Deer"," 78","Red Deer",30,18,173,13,0,234,429
"Red Deer/Red Deer"," 79A","Red Deer",16,11,155,11,0,193,368
"Red Deer/Red Deer"," 79B","Red Deer",24,17,134,17,0,192,355
"Red Deer/Red Deer"," 80","Red Deer",36,18,154,16,0,224,620
"Red Deer/Red Deer"," 81","Red Deer",16,16,78,8,0,118,387
"Red Deer/Red Deer"," 82","Red Deer",28,18,77,8,0,131,513
"Red Deer/Red Deer"," 83","Red Deer",16,23,278,12,0,329,647
"Red Deer/Red Deer"," 84","Red Deer",30,18,106,12,2,168,370
"Red Deer/Red Deer"," 85","Red Deer",22,27,78,18,0,145,355
"Red Deer/Red Deer"," 86","Red Deer",17,10,44,7,0,78,277
"Red Deer/Red Deer"," 87","Red Deer",38,46,215,7,0,306,608
"Red Deer/Red Deer"," 88","Red Deer",29,14,114,11,1,169,310
"Red Deer/Red Deer"," 89","Red Deer",21,20,107,4,0,152,251
"Red Deer/Red Deer"," 90","Red Deer",31,16,159,13,1,220,416
"Red Deer/Red Deer"," 91A","Red Deer",21,26,150,4,0,201,368
"Red Deer/Red Deer"," 91B","Red Deer",35,34,173,12,0,254,398
"Red Deer/Red Deer"," 92","Red Deer",27,33,137,11,0,208,382
"Red Deer/Red Deer"," 93","Red Deer",25,18,116,16,1,176,397
"Red Deer/Red Deer"," 94","Red Deer",27,19,105,14,0,165,444
"Red Deer/Red Deer"," 95","Red Deer",20,25,138,7,0,190,601
"Red Deer/Red Deer"," 96","Red Deer",27,14,92,16,0,149,467
"Red Deer/Red Deer"," 97","Red Deer",44,56,154,23,0,277,506
"Red Deer/Red Deer"," 98","Red Deer",29,16,138,17,0,200,411
"Red Deer/Red Deer"," 99","Red Deer",28,30,133,15,3,209,380
"Red Deer/Red Deer"," 100","Red Deer",21,31,123,18,0,193,351
"Red Deer/Red Deer"," 101","Red Deer",31,28,143,25,0,227,542
"Red Deer/Red Deer"," 102","Red Deer",31,28,135,19,0,213,375
"Red Deer/Red Deer"," 103","Red Deer",37,30,119,17,0,203,478
"Red Deer/Red Deer"," 104A","Red Deer",50,20,117,13,0,200,284
"Red Deer/Red Deer"," 104B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,24
"Red Deer/Red Deer"," 105A","Red Deer",43,23,150,16,2,234,604
"Red Deer/Red Deer"," 105B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,74
"Red Deer/Red Deer"," 106","Red Deer",16,26,113,10,2,167,325
"Red Deer/Red Deer"," 107","Red Deer",30,27,129,8,0,194,419
"Red Deer/Red Deer"," 108","Red Deer",28,17,150,9,0,204,508
"Red Deer/Red Deer"," 109","Red Deer",22,26,177,8,0,233,411
"Red Deer/Red Deer"," 110","Red Deer",41,34,206,17,1,299,501
"Red Deer/Red Deer"," 111","Red Deer",26,20,194,14,0,254,506
"Red Deer/Red Deer"," 112","Red Deer",13,19,212,9,1,254,415
"Red Deer/Red Deer"," 113","Red Deer",33,27,188,12,1,261,433
"Red Deer/Red Deer"," 114","Red Deer",27,33,261,12,0,333,521
"Red Deer/Red Deer"," 115A","Red Deer",24,35,206,6,1,272,485
"Red Deer/Red Deer"," 115B","Red Deer",21,22,220,11,0,274,498
"Red Deer/Red Deer"," 115C","Red Deer",21,22,191,9,0,243,487
"Red Deer/Red Deer"," 115D","Red Deer",18,25,181,16,0,240,471
"Red Deer/Red Deer"," 116","Red Deer",27,35,206,12,1,281,471
"Red Deer/Red Deer"," 117","Red Deer",18,36,187,17,4,262,448
"Red Deer/Red Deer"," 118","Red Deer",23,41,250,10,1,325,533
"Red Deer/Red Deer"," 119","Red Deer",24,19,147,16,0,206,420
"Red Deer/Red Deer"," 120","Red Deer",26,18,159,12,3,218,357
"Red Deer/Red Deer"," 121","Red Deer",29,45,204,14,1,293,572
"Red Deer/Red Deer"," 122","Red Deer",29,19,210,14,1,273,458
"Red Deer/Red Deer"," 123","Red Deer",36,26,109,14,0,185,429
"Red Deer/Red Deer"," 124","Red Deer",21,20,118,6,0,165,265
"Red Deer/Red Deer"," 125","Red Deer",28,10,110,10,0,158,371
"Red Deer/Red Deer"," 126","Red Deer",19,13,90,3,0,125,250
"Red Deer/Red Deer"," 127","Red Deer",22,13,124,6,0,165,296
"Red Deer/Red Deer"," 128","Red Deer",20,16,168,7,0,211,325
"Red Deer/Red Deer"," 129","Red Deer",30,26,203,24,1,284,453
"Red Deer/Red Deer"," 130","Red Deer",30,15,125,15,1,186,352
"Red Deer/Red Deer"," 131","Red Deer",23,19,161,25,0,228,410
"Red Deer/Red Deer"," 132","Red Deer",50,35,186,9,0,280,505
"Red Deer/Red Deer"," 133","Red Deer",45,25,153,24,1,248,488
"Red Deer/Red Deer"," 134","Red Deer",32,26,136,6,1,201,448
"Red Deer/Red Deer"," 135","Red Deer",29,32,176,20,0,257,437
"Red Deer/Red Deer"," 136","Red Deer",21,17,140,9,0,187,305
"Red Deer/Red Deer"," 137","Red Deer",26,15,79,5,0,125,293
"Red Deer/Red Deer"," 138","Red Deer",31,35,196,25,0,287,456
"Red Deer/Red Deer"," 139","Red Deer",30,40,180,18,0,268,428
"Red Deer/Red Deer"," 140","Red Deer",23,9,64,5,0,101,291
"Red Deer/Red Deer"," 141","Red Deer",18,31,158,7,1,215,380
"Red Deer/Red Deer"," 142","Red Deer",22,26,156,7,0,211,345
"Red Deer/Red Deer"," 143","Red Deer",26,29,137,16,0,208,369
"Red Deer/Red Deer"," 144","Red Deer",20,25,131,12,0,188,325
"Red Deer/Red Deer"," 145","Red Deer",32,23,137,10,0,202,326
"Red Deer/Red Deer"," 146A","Red Deer",25,37,248,13,0,323,588
"Red Deer/Red Deer"," 146B","Red Deer",29,31,247,11,0,318,619
"Red Deer/Red Deer"," 146C","Red Deer",30,23,282,15,0,350,594
"Red Deer/Red Deer"," 147","Red Deer",15,34,295,8,1,353,558
"Red Deer/Red Deer"," 148","Red Deer",26,40,219,21,1,307,558
"Red Deer/Red Deer"," 149","Red Deer",13,25,121,7,0,166,347
"Red Deer/Red Deer"," 150","Red Deer",30,28,205,13,1,277,435
"Red Deer/Red Deer"," 151","Red Deer",16,16,215,4,0,251,452
"Red Deer/Red Deer"," 152","Red Deer",25,22,246,10,1,304,471
"Red Deer/Red Deer"," 153A","Red Deer",21,31,249,22,0,323,587
"Red Deer/Red Deer"," 153B","Red Deer",23,21,249,12,0,305,572
"Red Deer/Red Deer"," 154A","Red Deer",24,35,270,13,0,342,610
"Red Deer/Red Deer"," 154B","Red Deer",29,37,258,21,0,345,597
"Red Deer/Red Deer"," 155","Red Deer",38,54,253,21,0,366,621
"Red Deer/Red Deer"," 156","Red Deer",15,21,163,11,0,210,357
"Red Deer/Red Deer"," 157A","Red Deer",27,21,184,11,0,243,439
"Red Deer/Red Deer"," 157B","Red Deer",26,24,188,10,0,248,476
"Red Deer/Red Deer"," 157C","Red Deer",29,23,165,14,1,232,431
"Red Deer/Red Deer"," 158","Red Deer",39,30,218,11,1,299,550
"Red Deer/Red Deer"," 159","Red Deer",40,47,336,24,0,447,827
"Red Deer/Red Deer"," 160","Red Deer",28,33,223,11,2,297,577
"Red Deer/Red Deer"," 161","Red Deer County No. 23",26,11,281,8,0,326,486
"Red Deer/Red Deer"," 162","Red Deer County No. 23",21,13,197,16,0,247,382
"Red Deer/Red Deer"," 163","Red Deer County No. 23",14,14,207,6,0,241,424
"Red Deer/Red Deer"," 164","Milnerton",6,8,210,9,1,234,411
"Red Deer/Red Deer"," 165","Pine Lake",18,5,198,8,0,229,416
"Red Deer/Red Deer"," 166","Ardley",20,5,204,11,2,242,379
"Red Deer/Red Deer"," 167","Delburne",41,22,229,15,0,307,580
"Red Deer/Red Deer"," 168","Ardley",9,2,156,6,0,173,257
"Red Deer/Red Deer"," 169","Lousana",15,6,229,11,0,261,428
"Red Deer/Red Deer"," 170","Elnora",29,14,225,17,0,285,414
"Red Deer/Red Deer"," 400","Red Deer",Void/Supprimé,,,,,,
"Red Deer/Red Deer"," 500","Mobile poll/Bureau itinérant",6,9,50,4,0,69,99
"Red Deer/Red Deer"," 501","Mobile poll/Bureau itinérant",18,24,116,3,0,161,219
"Red Deer/Red Deer"," 502","Mobile poll/Bureau itinérant",7,18,101,3,1,130,92
"Red Deer/Red Deer"," 503","Mobile poll/Bureau itinérant",22,23,143,7,3,198,249
"Red Deer/Red Deer"," 504","Mobile poll/Bureau itinérant",12,37,179,5,1,234,286
"Red Deer/Red Deer"," 505","Mobile poll/Bureau itinérant",5,11,83,4,5,108,180
"Red Deer/Red Deer"," 506","Mobile poll/Bureau itinérant",7,15,98,0,3,123,202
"Red Deer/Red Deer"," 600","Red Deer County",7,8,97,5,0,117,
"Red Deer/Red Deer"," 601","Sylvan Lake--Red Deer County",39,37,501,44,1,622,
"Red Deer/Red Deer"," 602","Penhold--Red Deer County",18,21,205,9,0,253,
"Red Deer/Red Deer"," 603","Bowden--Innisfail",26,26,506,19,0,577,
"Red Deer/Red Deer"," 604","Red Deer",27,29,238,7,0,301,
"Red Deer/Red Deer"," 605","Red Deer",18,22,219,15,1,275,
"Red Deer/Red Deer"," 606","Red Deer",37,60,261,32,0,390,
"Red Deer/Red Deer"," 607","Red Deer",44,48,414,21,0,527,
"Red Deer/Red Deer"," 608","Red Deer",45,77,620,24,1,767,
"Red Deer/Red Deer"," 609","Red Deer",6,11,135,10,0,162,
"Red Deer/Red Deer"," 610","Delburne--Elnora",10,9,136,7,0,162,
"Red Deer/Red Deer",,Group 1/Groupe 1,17,26,55,11,3,112,171
"Red Deer/Red Deer",,Group 2/Groupe 2,98,150,1221,66,18,1553,
