Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Michael McMahon,Joseph Sahadat,Bob Vaughan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Prince Edward--Hastings/Prince Edward--Hastings"," 1","Bangor, Wicklow and McClure",1,110,38,10,33,0,192,317
"Prince Edward--Hastings/Prince Edward--Hastings"," 2","Bangor, Wicklow and McClure",2,111,34,5,36,1,189,313
"Prince Edward--Hastings/Prince Edward--Hastings"," 3","Bangor, Wicklow and McClure",4,124,30,2,43,0,203,337
"Prince Edward--Hastings/Prince Edward--Hastings"," 4","Herschel",0,71,21,1,10,1,104,220
"Prince Edward--Hastings/Prince Edward--Hastings"," 5","Monteagle",1,106,35,6,27,1,176,274
"Prince Edward--Hastings/Prince Edward--Hastings"," 6","Herschel",2,72,35,2,31,0,142,317
"Prince Edward--Hastings/Prince Edward--Hastings"," 7","Herschel",1,155,57,7,39,0,259,500
"Prince Edward--Hastings/Prince Edward--Hastings"," 8","Monteagle",0,51,17,2,9,0,79,251
"Prince Edward--Hastings/Prince Edward--Hastings"," 9","Monteagle",0,135,56,12,38,1,242,391
"Prince Edward--Hastings/Prince Edward--Hastings"," 10","Carlow",2,130,43,12,28,1,216,301
"Prince Edward--Hastings/Prince Edward--Hastings"," 11","Mayo",0,130,38,2,26,0,196,335
"Prince Edward--Hastings/Prince Edward--Hastings"," 12","Faraday",0,106,30,7,18,0,161,333
"Prince Edward--Hastings/Prince Edward--Hastings"," 13","Faraday",0,154,36,1,51,2,244,381
"Prince Edward--Hastings/Prince Edward--Hastings"," 14","Faraday",1,55,19,4,25,2,106,216
"Prince Edward--Hastings/Prince Edward--Hastings"," 15","Bancroft",2,153,40,15,49,1,260,595
"Prince Edward--Hastings/Prince Edward--Hastings"," 16","Bancroft",0,45,6,2,11,1,65,162
"Prince Edward--Hastings/Prince Edward--Hastings"," 17","Bancroft",0,40,17,0,12,0,69,187
"Prince Edward--Hastings/Prince Edward--Hastings"," 18","Bancroft",1,54,31,2,22,0,110,267
"Prince Edward--Hastings/Prince Edward--Hastings"," 19","Dungannon",0,67,37,2,25,1,132,322
"Prince Edward--Hastings/Prince Edward--Hastings"," 20","Bancroft",1,116,38,4,51,0,210,405
"Prince Edward--Hastings/Prince Edward--Hastings"," 21","Bancroft",2,125,45,14,44,1,231,504
"Prince Edward--Hastings/Prince Edward--Hastings"," 22","Bancroft",0,78,17,5,21,0,121,253
"Prince Edward--Hastings/Prince Edward--Hastings"," 23","Dungannon",1,114,32,7,33,0,187,339
"Prince Edward--Hastings/Prince Edward--Hastings"," 24","Dungannon",2,149,66,6,50,0,273,455
"Prince Edward--Hastings/Prince Edward--Hastings"," 25","Wollaston",1,63,37,8,26,2,137,224
"Prince Edward--Hastings/Prince Edward--Hastings"," 26","Limerick",0,50,29,8,23,0,110,204
"Prince Edward--Hastings/Prince Edward--Hastings"," 27","Tudor and Cashel",2,35,13,1,9,0,60,112
"Prince Edward--Hastings/Prince Edward--Hastings"," 28","Wollaston",4,142,43,12,37,1,239,409
"Prince Edward--Hastings/Prince Edward--Hastings"," 29","Tudor and Cashel",0,141,41,12,27,1,222,395
"Prince Edward--Hastings/Prince Edward--Hastings"," 30","Elzevir and Grimsthorpe",1,60,14,7,18,0,100,213
"Prince Edward--Hastings/Prince Edward--Hastings"," 31","Marmora and Lake",4,156,58,16,51,0,285,448
"Prince Edward--Hastings/Prince Edward--Hastings"," 32","Marmora and Lake",3,179,43,11,92,2,330,556
"Prince Edward--Hastings/Prince Edward--Hastings"," 33","Marmora and Lake",3,70,21,6,45,0,145,219
"Prince Edward--Hastings/Prince Edward--Hastings"," 34","Marmora",5,136,50,11,51,4,257,467
"Prince Edward--Hastings/Prince Edward--Hastings"," 35","Marmora",0,148,37,7,54,0,246,373
"Prince Edward--Hastings/Prince Edward--Hastings"," 36","Marmora",1,94,26,2,36,0,159,385
"Prince Edward--Hastings/Prince Edward--Hastings"," 37","Marmora and Lake",4,130,42,21,50,0,247,387
"Prince Edward--Hastings/Prince Edward--Hastings"," 38","Madoc",1,172,40,11,74,1,299,533
"Prince Edward--Hastings/Prince Edward--Hastings"," 39","Madoc",0,125,19,5,31,0,180,334
"Prince Edward--Hastings/Prince Edward--Hastings"," 40","Madoc",3,132,34,8,61,1,239,526
"Prince Edward--Hastings/Prince Edward--Hastings"," 41","Madoc",0,143,32,9,37,0,221,509
"Prince Edward--Hastings/Prince Edward--Hastings"," 42","Madoc",3,91,18,3,35,1,151,332
"Prince Edward--Hastings/Prince Edward--Hastings"," 43","Madoc",1,104,13,5,14,0,137,289
