Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,J. Frank Comeau,Neil Gardner,Anna Girouard,Dominic LeBlanc,Omer Leger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beauséjour/Beauséjour"," 1","Saint-Louis de Kent",10,72,7,119,86,9,303,421
"Beauséjour/Beauséjour"," 2","Saint-Louis de Kent",2,35,12,128,94,6,277,372
"Beauséjour/Beauséjour"," 3","Saint-Louis de Kent",3,36,11,129,88,15,282,378
"Beauséjour/Beauséjour"," 4A","Saint-Louis de Kent",1,31,3,73,62,9,179,234
"Beauséjour/Beauséjour"," 4B","Saint-Louis de Kent",3,39,6,63,68,0,179,247
"Beauséjour/Beauséjour"," 5","Saint-Ignace",2,33,5,83,40,1,164,211
"Beauséjour/Beauséjour"," 6","Saint-Ignace",3,58,5,127,88,6,287,366
"Beauséjour/Beauséjour"," 7","Petite-Aldouane",3,37,4,99,71,2,216,315
"Beauséjour/Beauséjour"," 8A","Saint-Charles",5,48,6,81,44,6,190,280
"Beauséjour/Beauséjour"," 8B","Saint-Charles",1,40,5,77,62,6,191,273
"Beauséjour/Beauséjour"," 9","Saint-Charles",3,40,5,169,92,3,312,457
"Beauséjour/Beauséjour"," 10","Saint-Charles",6,46,4,134,68,9,267,401
"Beauséjour/Beauséjour"," 11","Richibucto",3,71,10,167,94,7,352,462
"Beauséjour/Beauséjour"," 12","Richibucto",3,73,9,182,61,8,336,495
"Beauséjour/Beauséjour"," 13","Richibucto",1,66,3,98,82,3,253,390
"Beauséjour/Beauséjour"," 14","Richibucto",1,33,8,111,67,5,225,321
"Beauséjour/Beauséjour"," 15","Richibucto",4,45,4,152,60,9,274,400
"Beauséjour/Beauséjour"," 16","Richibucto",2,38,7,146,71,6,270,375
"Beauséjour/Beauséjour"," 17","Rexton",1,22,1,87,48,0,159,308
"Beauséjour/Beauséjour"," 18","Rexton",2,50,5,111,94,3,265,436
"Beauséjour/Beauséjour"," 19A","Elsipogtog",0,10,3,80,25,1,119,324
"Beauséjour/Beauséjour"," 19B","Elsipogtog",0,9,2,116,30,1,158,394
"Beauséjour/Beauséjour"," 19C","Elsipogtog",0,12,0,112,18,0,142,380
"Beauséjour/Beauséjour"," 20","South Branch--West Branch",4,32,11,120,110,1,278,432
"Beauséjour/Beauséjour"," 21","Elsipogtog",Void/Supprimé,,,,,,,
"Beauséjour/Beauséjour"," 22","Bass River",2,24,7,75,44,0,152,232
"Beauséjour/Beauséjour"," 23","Beersville",7,60,4,110,99,4,284,441
"Beauséjour/Beauséjour"," 24","Harcourt",5,32,3,86,88,2,216,315
"Beauséjour/Beauséjour"," 25","Sainte-Anne-de-Kent",2,16,3,89,41,1,152,216
"Beauséjour/Beauséjour"," 26A","Sainte-Anne-de-Kent",0,23,6,83,51,6,169,219
"Beauséjour/Beauséjour"," 26B","Sainte-Anne-de-Kent",3,39,5,86,64,6,203,276
"Beauséjour/Beauséjour"," 27","Sainte-Anne-de-Kent",2,24,5,105,106,4,246,380
"Beauséjour/Beauséjour"," 28A","Bouctouche",1,18,7,67,87,1,181,284
"Beauséjour/Beauséjour"," 28B","Bouctouche",2,26,4,77,73,2,184,312
"Beauséjour/Beauséjour"," 29","Bouctouche",1,7,3,59,47,1,118,279
"Beauséjour/Beauséjour"," 30","Bouctouche",1,10,1,49,53,5,119,250
"Beauséjour/Beauséjour"," 31","Bouctouche",2,5,1,48,92,0,148,311
"Beauséjour/Beauséjour"," 32","Bouctouche",1,9,7,92,125,5,239,393
"Beauséjour/Beauséjour"," 33","Bouctouche",2,10,1,60,51,1,125,265
"Beauséjour/Beauséjour"," 34","Sainte-Marie",0,26,2,67,45,2,142,230
"Beauséjour/Beauséjour"," 35","Bouctouche",1,19,4,96,93,2,215,352
"Beauséjour/Beauséjour"," 36","Saint-François-de-Kent",1,35,10,107,132,4,289,478
"Beauséjour/Beauséjour"," 37A","Cocagne",2,25,1,72,56,0,156,241
"Beauséjour/Beauséjour"," 37B","Cocagne",0,21,1,86,74,4,186,255
"Beauséjour/Beauséjour"," 38","Saint-Joseph-de-Kent",0,21,0,49,95,1,166,259
"Beauséjour/Beauséjour"," 39","McKees Mills",3,34,4,72,79,3,195,271
"Beauséjour/Beauséjour"," 40","Sainte-Marie",1,39,6,123,104,4,277,405
"Beauséjour/Beauséjour"," 41A","Sainte-Marie-de-Kent",1,25,6,51,85,3,171,267
"Beauséjour/Beauséjour"," 41B","Sainte-Marie-de-Kent",1,17,2,63,77,4,164,279
"Beauséjour/Beauséjour"," 42","Sainte-Marie",2,40,3,98,117,1,261,394
"Beauséjour/Beauséjour"," 43A","Saint-Antoine",3,26,2,65,96,0,192,246
"Beauséjour/Beauséjour"," 43B","Saint-Antoine",0,14,5,72,101,2,194,248
"Beauséjour/Beauséjour"," 44","Saint-Antoine",1,16,4,80,148,2,251,319
"Beauséjour/Beauséjour"," 45A","Saint-Paul",2,29,5,75,78,6,195,269
"Beauséjour/Beauséjour"," 45B","Saint-Paul",2,24,4,61,62,1,154,246
"Beauséjour/Beauséjour"," 46","Saint-Paul",0,23,7,81,83,2,196,284
"Beauséjour/Beauséjour"," 47","Breau-Village",3,17,3,91,58,0,172,287
"Beauséjour/Beauséjour"," 48","Cocagne",3,28,2,132,94,0,259,420
"Beauséjour/Beauséjour"," 49A","Cocagne-Nord",0,17,4,84,56,3,164,258
"Beauséjour/Beauséjour"," 49B","Cocagne-Nord",2,35,4,89,64,2,196,298
"Beauséjour/Beauséjour"," 50A","Saint-Antoine",2,28,1,80,119,5,235,311
"Beauséjour/Beauséjour"," 50B","Saint-Antoine",1,21,6,75,140,4,247,314
