Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Deslauriers,Rachel Hoffman,Marlene Jennings,Alexandre Lambert,Allen F. Mackenzie,Pierre-Albert Sévigny,Earl Wertheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 1","Dorval",Void/Supprimé,,,,,,,,,
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 2","Dorval",50,0,142,41,82,13,5,3,336,617
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 3","Dorval",25,1,92,15,43,11,2,1,190,338
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 4","Dorval",19,0,108,34,67,21,1,3,253,412
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 5","Dorval",37,1,126,16,55,21,6,5,267,395
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 6","Dorval",28,0,125,17,56,13,0,0,239,369
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 7","Dorval",38,0,132,20,53,11,1,1,256,460
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 8","Dorval",35,1,130,26,40,16,0,2,250,405
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 9","Dorval",30,0,85,23,34,18,1,3,194,373
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 10","Dorval",33,0,138,37,60,26,2,1,297,468
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 11","Dorval",31,0,126,27,74,18,1,1,278,448
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 12","Dorval",31,0,142,20,66,16,0,3,278,425
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 13","Dorval",34,0,108,38,63,31,0,1,275,437
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 14","Dorval",41,0,126,26,58,13,0,2,266,430
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 15","Dorval",31,0,133,33,60,15,1,1,274,431
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 16","Dorval",23,1,61,7,30,7,1,0,130,307
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 17","Dorval",20,1,117,16,58,11,0,0,223,398
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 18","Dorval",27,0,106,24,71,22,0,0,250,392
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 19","Dorval",25,0,132,39,56,10,0,1,263,464
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 20","Dorval",29,0,113,29,60,27,1,0,259,430
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 21","Dorval",14,0,125,25,74,5,0,3,246,529
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 22","Dorval",24,0,109,23,43,14,1,0,214,451
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 23","Dorval",27,0,106,25,46,9,0,1,214,485
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 24","Dorval",34,0,97,29,43,16,0,0,219,459
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 25","Dorval",26,0,101,19,23,11,0,0,180,375
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 26","Dorval",28,0,75,42,44,19,0,4,212,378
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 27","Lachine",31,0,70,64,27,16,0,0,208,392
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 28","Dorval",20,2,108,28,55,5,1,1,220,409
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 29A","Dorval",17,0,90,40,36,10,1,5,199,334
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 29B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,,56
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 30","Dorval",21,1,34,29,18,8,0,0,111,298
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 31","Dorval",30,0,74,66,39,4,1,7,221,339
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 32","Dorval",26,0,84,41,43,12,2,7,215,336
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 33","Dorval",25,0,132,37,39,24,1,2,260,661
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 34","Lachine",13,1,107,40,32,10,0,1,204,424
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 35","Lachine",46,0,119,60,68,18,1,2,314,435
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 36","Lachine",32,0,84,98,56,23,1,3,297,453
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 37","Lachine",35,0,90,74,49,6,0,1,255,388
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 38","Lachine",34,1,92,144,58,26,0,1,356,554
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 39","Lachine",44,1,102,87,62,19,1,0,316,434
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 40","Lachine",27,0,93,70,59,20,0,3,272,415
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 41","Lachine",24,0,69,90,34,24,0,2,243,392
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 42A","Dorval",16,0,63,29,24,7,0,0,139,221
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 42B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,,49
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 43","Dorval",32,0,89,47,49,19,2,4,242,424
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 44","Dorval",22,0,115,35,61,17,0,1,251,396
"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 45","Lachine",46,0,91,57,45,27,0,1,267,406
