Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Farquhar,Ralph Goodale,Nigel Taylor,Helen Yum,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Wascana/Wascana"," 1","Regina",34,107,11,29,0,181,469
"Wascana/Wascana"," 2","Regina",Void/Supprimé,,,,,,
"Wascana/Wascana"," 3","Regina",58,121,17,53,1,250,528
"Wascana/Wascana"," 4","Regina",33,65,7,26,0,131,334
"Wascana/Wascana"," 5","Regina",23,95,2,20,1,141,354
"Wascana/Wascana"," 6","Regina",30,117,12,59,2,220,366
"Wascana/Wascana"," 7","Regina",Void/Supprimé,,,,,,
"Wascana/Wascana"," 8","Regina",50,128,27,64,2,271,510
"Wascana/Wascana"," 9","Regina",Void/Supprimé,,,,,,
"Wascana/Wascana"," 10","Regina",38,84,12,47,1,182,384
"Wascana/Wascana"," 11","Regina",31,99,18,37,1,186,407
"Wascana/Wascana"," 12","Regina",56,142,13,94,0,305,431
"Wascana/Wascana"," 13","Regina",39,110,27,50,0,226,378
"Wascana/Wascana"," 14","Regina",26,73,21,40,0,160,290
"Wascana/Wascana"," 15","Regina",76,191,3,55,0,325,533
"Wascana/Wascana"," 16","Regina",33,100,18,53,2,206,391
"Wascana/Wascana"," 17","Regina",23,89,14,41,2,169,274
"Wascana/Wascana"," 18","Regina",30,88,9,41,2,170,285
"Wascana/Wascana"," 18-1","Regina",61,99,10,41,1,212,387
"Wascana/Wascana"," 18-2","Regina",41,48,6,31,0,126,247
"Wascana/Wascana"," 19","Regina",46,104,9,40,0,199,351
"Wascana/Wascana"," 20","Regina",44,122,22,43,0,231,346
"Wascana/Wascana"," 21","Regina",45,68,4,24,3,144,294
"Wascana/Wascana"," 22","Regina",66,92,6,29,1,194,357
"Wascana/Wascana"," 23","Regina",77,105,8,39,0,229,377
"Wascana/Wascana"," 24","Regina",76,112,9,47,0,244,378
"Wascana/Wascana"," 25","Regina",62,92,12,49,1,216,412
"Wascana/Wascana"," 26","Regina",65,86,8,55,0,214,381
"Wascana/Wascana"," 27","Regina",62,92,4,49,0,207,395
"Wascana/Wascana"," 28","Regina",70,95,6,31,1,203,348
"Wascana/Wascana"," 29","Regina",56,100,3,50,0,209,374
"Wascana/Wascana"," 29-1","Regina",58,92,6,43,0,199,368
"Wascana/Wascana"," 30","Regina",51,124,7,34,0,216,408
"Wascana/Wascana"," 31","Regina",53,81,7,35,0,176,371
"Wascana/Wascana"," 32","Regina",Void/Supprimé,,,,,,
"Wascana/Wascana"," 33","Regina",42,121,5,44,0,212,356
"Wascana/Wascana"," 34","Regina",59,85,5,41,0,190,334
"Wascana/Wascana"," 34-1","Regina",51,66,7,43,1,168,352
