Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Alexander,Chris Marquis,Garry Moore,David Tilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dufferin--Caledon/Dufferin--Caledon"," 56B","Orangeville",7,19,20,78,0,124,240
"Dufferin--Caledon/Dufferin--Caledon"," 57A","Orangeville",12,17,56,77,0,162,263
"Dufferin--Caledon/Dufferin--Caledon"," 57B","Orangeville",9,28,35,81,0,153,275
"Dufferin--Caledon/Dufferin--Caledon"," 58","Orangeville",24,28,45,100,0,197,314
"Dufferin--Caledon/Dufferin--Caledon"," 59A","Orangeville",18,40,66,105,0,229,408
"Dufferin--Caledon/Dufferin--Caledon"," 59B","Orangeville",6,13,34,46,3,102,206
"Dufferin--Caledon/Dufferin--Caledon"," 60A","Orangeville",8,27,48,113,1,197,328
"Dufferin--Caledon/Dufferin--Caledon"," 60B","Orangeville",17,27,45,109,0,198,319
"Dufferin--Caledon/Dufferin--Caledon"," 61","Orangeville",23,30,49,119,0,221,405
"Dufferin--Caledon/Dufferin--Caledon"," 62A","Orangeville",12,30,30,76,0,148,268
"Dufferin--Caledon/Dufferin--Caledon"," 62B","Orangeville",26,23,52,94,2,197,298
"Dufferin--Caledon/Dufferin--Caledon"," 63","Orangeville",13,25,29,59,0,126,202
"Dufferin--Caledon/Dufferin--Caledon"," 64","Orangeville",30,50,38,124,1,243,433
"Dufferin--Caledon/Dufferin--Caledon"," 65","Orangeville",27,61,36,131,0,255,447
"Dufferin--Caledon/Dufferin--Caledon"," 66","Orangeville",21,37,74,74,2,208,384
"Dufferin--Caledon/Dufferin--Caledon"," 67A","Orangeville",34,19,30,59,1,143,271
"Dufferin--Caledon/Dufferin--Caledon"," 67B","Orangeville",22,23,37,53,0,135,263
"Dufferin--Caledon/Dufferin--Caledon"," 68","Orangeville",25,29,45,97,0,196,388
"Dufferin--Caledon/Dufferin--Caledon"," 69","Orangeville",24,38,43,85,1,191,438
"Dufferin--Caledon/Dufferin--Caledon"," 70","Orangeville",30,44,43,81,0,198,390
"Dufferin--Caledon/Dufferin--Caledon"," 71","Orangeville",22,38,34,79,0,173,370
"Dufferin--Caledon/Dufferin--Caledon"," 72","Orangeville",21,29,53,103,3,209,436
"Dufferin--Caledon/Dufferin--Caledon"," 73","Orangeville",23,28,56,83,1,191,352
"Dufferin--Caledon/Dufferin--Caledon"," 74A","Orangeville",19,50,51,108,2,230,403
"Dufferin--Caledon/Dufferin--Caledon"," 74B","Mobile poll/Bureau itinérant",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,25
"Dufferin--Caledon/Dufferin--Caledon"," 75","Orangeville",22,31,42,106,1,202,412
"Dufferin--Caledon/Dufferin--Caledon"," 76","Orangeville",23,49,66,143,2,283,491
"Dufferin--Caledon/Dufferin--Caledon"," 77","Orangeville",23,28,37,108,0,196,356
"Dufferin--Caledon/Dufferin--Caledon"," 78","Orangeville",21,44,51,121,0,237,401
"Dufferin--Caledon/Dufferin--Caledon"," 79","Orangeville",17,43,31,106,0,197,369
"Dufferin--Caledon/Dufferin--Caledon"," 80","Orangeville",31,31,63,105,0,230,408
"Dufferin--Caledon/Dufferin--Caledon"," 81","Orangeville",27,47,54,109,1,238,479
"Dufferin--Caledon/Dufferin--Caledon"," 82","Orangeville",13,37,35,79,0,164,309
"Dufferin--Caledon/Dufferin--Caledon"," 83","Orangeville",20,34,42,99,0,195,364
"Dufferin--Caledon/Dufferin--Caledon"," 84","Orangeville",12,20,36,90,0,158,283
"Dufferin--Caledon/Dufferin--Caledon"," 85A","Orangeville",10,18,36,57,1,122,275
"Dufferin--Caledon/Dufferin--Caledon"," 85B","Orangeville",5,20,34,61,0,120,277
"Dufferin--Caledon/Dufferin--Caledon"," 86","Orangeville",14,38,53,92,0,197,389
"Dufferin--Caledon/Dufferin--Caledon"," 87","Caledon",19,31,83,101,0,234,389
"Dufferin--Caledon/Dufferin--Caledon"," 88","Caledon",39,44,56,171,1,311,526
"Dufferin--Caledon/Dufferin--Caledon"," 89","Caledon",18,22,55,67,1,163,247
"Dufferin--Caledon/Dufferin--Caledon"," 89-1","Caledon",22,31,61,97,0,211,393
"Dufferin--Caledon/Dufferin--Caledon"," 90","Caledon",20,14,31,70,0,135,258
"Dufferin--Caledon/Dufferin--Caledon"," 91","Caledon",10,12,47,33,0,102,218
"Dufferin--Caledon/Dufferin--Caledon"," 92A","Caledon",15,15,39,74,2,145,269
"Dufferin--Caledon/Dufferin--Caledon"," 92B","Caledon",12,13,42,65,0,132,242
"Dufferin--Caledon/Dufferin--Caledon"," 93A","Caledon",23,15,55,77,0,170,341
"Dufferin--Caledon/Dufferin--Caledon"," 93B","Caledon",15,20,55,61,2,153,316
"Dufferin--Caledon/Dufferin--Caledon"," 94A","Caledon",26,10,34,89,0,159,282
"Dufferin--Caledon/Dufferin--Caledon"," 94B","Caledon",25,11,23,98,2,159,262
"Dufferin--Caledon/Dufferin--Caledon"," 95","Caledon",19,28,61,109,2,219,381
"Dufferin--Caledon/Dufferin--Caledon"," 96","Caledon",27,29,93,118,0,267,446
"Dufferin--Caledon/Dufferin--Caledon"," 97","Caledon",17,11,78,104,2,212,370
"Dufferin--Caledon/Dufferin--Caledon"," 98","Caledon",30,9,51,59,0,149,287
"Dufferin--Caledon/Dufferin--Caledon"," 99","Caledon",26,29,43,72,1,171,306
"Dufferin--Caledon/Dufferin--Caledon"," 100A","Caledon",35,23,35,56,0,149,260
"Dufferin--Caledon/Dufferin--Caledon"," 100B","Caledon",24,17,38,78,0,157,240
"Dufferin--Caledon/Dufferin--Caledon"," 101A","Caledon",24,14,46,82,0,166,268
"Dufferin--Caledon/Dufferin--Caledon"," 101B","Caledon",34,15,43,103,1,196,288
"Dufferin--Caledon/Dufferin--Caledon"," 102","Caledon",67,27,70,108,0,272,475
"Dufferin--Caledon/Dufferin--Caledon"," 103","Caledon",41,37,88,123,0,289,479
"Dufferin--Caledon/Dufferin--Caledon"," 104A","Caledon",14,9,55,61,0,139,239
"Dufferin--Caledon/Dufferin--Caledon"," 104B","Caledon",14,8,54,73,1,150,261
"Dufferin--Caledon/Dufferin--Caledon"," 105","Caledon",18,22,86,136,2,264,490
"Dufferin--Caledon/Dufferin--Caledon"," 106","Caledon",11,13,88,122,0,234,413
"Dufferin--Caledon/Dufferin--Caledon"," 107A","Caledon",12,18,111,96,0,237,393
"Dufferin--Caledon/Dufferin--Caledon"," 107B","Caledon",11,29,80,96,0,216,380
"Dufferin--Caledon/Dufferin--Caledon"," 108","Caledon",18,38,92,117,3,268,435
"Dufferin--Caledon/Dufferin--Caledon"," 109","Caledon",17,32,143,127,0,319,479
"Dufferin--Caledon/Dufferin--Caledon"," 110","Caledon",24,37,122,96,2,281,449
"Dufferin--Caledon/Dufferin--Caledon"," 111","Caledon",6,24,65,115,1,211,362
"Dufferin--Caledon/Dufferin--Caledon"," 112A","Caledon",20,20,45,68,1,154,277
"Dufferin--Caledon/Dufferin--Caledon"," 112B","Caledon",10,20,66,74,1,171,288
