Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bourgon,Meili Faille,Marc Garneau,Bert Markgraf,Pierre Pariseau-Legault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 191A","Saint-Zotique",36,93,23,6,5,3,166,301
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 191B","Saint-Zotique",62,123,36,7,8,4,240,405
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 192","Saint-Zotique",62,149,27,17,7,8,270,457
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 193","Saint-Zotique",52,119,35,8,6,3,223,432
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 194A","Saint-Zotique",33,86,27,6,2,3,157,293
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 194B","Saint-Zotique",35,108,35,9,2,3,192,343
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 195","Saint-Zotique",38,128,30,6,4,2,208,418
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 196","Saint-Zotique",42,77,29,5,8,8,169,322
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 197","Rivière-Beaudette",59,118,68,10,8,2,265,456
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 500","Mobile poll/Bureau itinérant",8,23,33,2,2,3,71,138
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 501A","Mobile poll/Bureau itinérant",18,34,35,4,4,1,96,218
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 501B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,50
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 600","Rigaud",95,254,163,15,20,6,553,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 601","Hudson",151,30,372,14,17,3,587,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 602","Vaudreuil-Dorion",163,277,216,22,24,3,705,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 603","Vaudreuil-Dorion",137,356,252,29,17,12,803,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 604","Pincourt--Terrasse-Vaudreuil",150,253,311,35,34,3,786,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 605","L'Île-Perrot",93,244,140,25,14,7,523,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 606","Notre-Dame-de-l'Île-Perrot",150,314,224,46,27,5,766,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 607","Les Cèdres--Pointe-des-Cascades",70,226,83,21,11,5,416,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 608","Saint-Lazare",243,233,375,33,25,5,914,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 609","Coteau-du-Lac",105,287,165,18,16,4,595,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 610","Saint-Polycarpe",27,110,40,17,6,2,202,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 611","Saint-Zotique",99,262,151,17,2,3,534,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges",,Group 1/Groupe 1,21,26,42,3,2,1,95,169
"Vaudreuil-Soulanges/Vaudreuil-Soulanges",,Group 2/Groupe 2,212,676,869,48,26,29,1860,
