Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bourgon,Meili Faille,Marc Garneau,Bert Markgraf,Pierre Pariseau-Legault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 50","Vaudreuil-Dorion",30,103,40,10,8,6,197,346
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 51","Vaudreuil-Dorion",38,138,42,7,15,5,245,419
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 52","Vaudreuil-Dorion",26,88,31,6,21,2,174,306
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 53","Vaudreuil-Dorion",19,117,48,15,12,2,213,305
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 54","Vaudreuil-Dorion",33,96,53,8,8,2,200,392
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 55","Vaudreuil-Dorion",57,139,52,24,11,4,287,461
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 56","Vaudreuil-Dorion",42,97,74,12,11,5,241,392
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 57","Vaudreuil-Dorion",45,114,60,11,9,4,243,392
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 58A","Vaudreuil-Dorion",25,91,32,7,8,6,169,308
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 58B","Vaudreuil-Dorion",36,88,48,12,9,2,195,353
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 59","Vaudreuil-Dorion",45,153,44,16,10,5,273,489
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 60","Vaudreuil-Dorion",48,156,55,17,16,4,296,472
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 61","Vaudreuil-Dorion",40,155,40,11,15,6,267,418
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 62","Vaudreuil-Dorion",53,118,28,8,7,3,217,353
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 63","Vaudreuil-Dorion",48,118,64,13,14,0,257,438
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 64","Terrasse-Vaudreuil",55,96,64,15,16,0,246,337
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 65","Terrasse-Vaudreuil",46,91,79,15,22,5,258,382
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 66","Terrasse-Vaudreuil",36,108,58,15,14,3,234,343
