Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Christianson,Patricia Lawson,Paul Macklin,Rick Norlock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Northumberland--Quinte West/Northumberland--Quinte West"," 1","Port Hope",54,33,102,131,1,321,480
"Northumberland--Quinte West/Northumberland--Quinte West"," 2","Port Hope",26,14,64,83,0,187,278
"Northumberland--Quinte West/Northumberland--Quinte West"," 3","Port Hope",63,21,138,125,1,348,528
"Northumberland--Quinte West/Northumberland--Quinte West"," 4","Port Hope",57,26,99,159,2,343,518
"Northumberland--Quinte West/Northumberland--Quinte West"," 5","Port Hope",40,24,88,96,0,248,404
"Northumberland--Quinte West/Northumberland--Quinte West"," 6","Port Hope",49,11,101,95,3,259,472
"Northumberland--Quinte West/Northumberland--Quinte West"," 7","Port Hope",30,11,53,52,0,146,274
"Northumberland--Quinte West/Northumberland--Quinte West"," 8","Port Hope",58,11,131,104,0,304,508
"Northumberland--Quinte West/Northumberland--Quinte West"," 9","Port Hope",48,10,162,135,0,355,563
"Northumberland--Quinte West/Northumberland--Quinte West"," 10","Port Hope",48,2,80,77,1,208,350
"Northumberland--Quinte West/Northumberland--Quinte West"," 11","Port Hope",35,17,90,71,0,213,334
"Northumberland--Quinte West/Northumberland--Quinte West"," 12","Port Hope",45,9,74,87,0,215,366
"Northumberland--Quinte West/Northumberland--Quinte West"," 13","Port Hope",33,9,82,69,0,193,351
"Northumberland--Quinte West/Northumberland--Quinte West"," 14A","Port Hope",53,11,54,56,1,175,398
"Northumberland--Quinte West/Northumberland--Quinte West"," 14B","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,45
"Northumberland--Quinte West/Northumberland--Quinte West"," 15","Port Hope",38,3,66,82,0,189,314
"Northumberland--Quinte West/Northumberland--Quinte West"," 16","Port Hope",46,9,60,59,3,177,318
"Northumberland--Quinte West/Northumberland--Quinte West"," 17","Port Hope",75,14,77,85,0,251,451
"Northumberland--Quinte West/Northumberland--Quinte West"," 18A","Port Hope",64,17,99,63,1,244,491
"Northumberland--Quinte West/Northumberland--Quinte West"," 18B","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,35
"Northumberland--Quinte West/Northumberland--Quinte West"," 19","Port Hope",42,14,83,61,1,201,368
"Northumberland--Quinte West/Northumberland--Quinte West"," 20","Port Hope",58,10,79,66,1,214,443
"Northumberland--Quinte West/Northumberland--Quinte West"," 21A","Port Hope",51,17,76,52,0,196,374
