Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Axworthy,Don Cameron,Jim Maddin,Dale Sanders,Maurice Vellacott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 92","Saskatoon",26,4,35,0,54,0,119,290
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 93","Saskatoon",24,3,48,1,54,0,130,337
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 94","Saskatoon",33,7,57,3,40,0,140,318
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 95","Saskatoon",97,10,61,1,116,1,286,475
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 96","Saskatoon",31,6,23,1,68,1,130,233
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 97","Saskatoon",70,6,46,0,115,1,238,401
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 98","Saskatoon",59,10,53,1,108,0,231,399
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 99","Saskatoon",85,9,62,0,128,2,286,463
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 100","Saskatoon",29,8,38,1,51,1,128,343
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 101","Saskatoon",38,10,55,1,73,0,177,429
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 102","Saskatoon",42,3,25,1,59,1,131,234
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 103","Saskatoon",106,9,46,2,76,0,239,390
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 104","Saskatoon",86,11,53,0,146,0,296,476
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 105","Saskatoon",50,12,43,1,78,0,184,366
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 106","Saskatoon",43,6,24,0,67,0,140,238
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 107","Saskatoon",51,5,38,1,84,0,179,352
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 108","Saskatoon",35,6,43,1,100,2,187,356
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 109","Saskatoon",56,7,72,0,89,1,225,398
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 110","Saskatoon",69,14,45,1,99,2,230,354
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 111","Saskatoon",95,12,59,2,73,0,241,459
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 112","Saskatoon",100,12,61,1,102,0,276,486
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 113","Saskatoon",52,4,23,0,45,0,124,276
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 114","Saskatoon",70,8,48,1,98,0,225,391
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 115","Saskatoon",71,5,42,0,51,0,169,284
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 116","Saskatoon",35,5,41,0,51,0,132,265
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 117","Saskatoon",61,6,71,0,78,0,216,351
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 118","Saskatoon",50,12,40,4,95,2,203,341
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 119","Saskatoon",57,14,84,4,78,0,237,405
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 120","Saskatoon",38,11,50,0,47,0,146,297
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 121","Saskatoon",44,9,88,1,68,1,211,389
