Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryce Bartholomew,Libby Davies,Christine Ellis,David Carl Haggard,Elizabeth M. Pagtakhan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver East/Vancouver-Est"," 1","Vancouver",2,104,10,49,36,1,202,613
"Vancouver East/Vancouver-Est"," 2A","Vancouver",0,138,33,54,29,0,254,487
"Vancouver East/Vancouver-Est"," 2B","Mobile poll/Bureau itinérant",Merged with No. 30B/Fusionné avec le nº 30B,,,,,,,66
"Vancouver East/Vancouver-Est"," 3","Vancouver",1,99,16,81,27,0,224,566
"Vancouver East/Vancouver-Est"," 4","Vancouver",1,129,10,28,28,1,197,414
"Vancouver East/Vancouver-Est"," 5","Vancouver",1,44,4,15,8,0,72,267
"Vancouver East/Vancouver-Est"," 6A","Vancouver",0,74,14,27,16,0,131,461
"Vancouver East/Vancouver-Est"," 6B","Mobile poll/Bureau itinérant",Merged with No. 27B/Fusionné avec le nº 27B,,,,,,,41
"Vancouver East/Vancouver-Est"," 7","Vancouver",1,94,11,38,12,1,157,471
"Vancouver East/Vancouver-Est"," 8","Vancouver",1,48,7,30,19,0,105,286
"Vancouver East/Vancouver-Est"," 9A","Vancouver",3,106,24,103,53,1,290,525
"Vancouver East/Vancouver-Est"," 9B","Mobile poll/Bureau itinérant",Merged with No. 30B/Fusionné avec le nº 30B,,,,,,,52
"Vancouver East/Vancouver-Est"," 10","Vancouver",Void/Supprimé,,,,,,,
"Vancouver East/Vancouver-Est"," 11","Vancouver",1,56,3,12,7,2,81,307
"Vancouver East/Vancouver-Est"," 12","Vancouver",0,74,5,15,10,1,105,427
"Vancouver East/Vancouver-Est"," 13","Vancouver",1,38,6,39,15,0,99,320
"Vancouver East/Vancouver-Est"," 14","Vancouver",3,57,6,24,22,1,113,358
"Vancouver East/Vancouver-Est"," 15","Vancouver",1,33,6,19,16,0,75,393
"Vancouver East/Vancouver-Est"," 16","Vancouver",0,57,2,21,15,3,98,327
"Vancouver East/Vancouver-Est"," 17A","Vancouver",0,31,9,51,17,1,109,227
"Vancouver East/Vancouver-Est"," 17B","Mobile poll/Bureau itinérant",Merged with No. 17C/Fusionné avec le nº 17C,,,,,,,23
"Vancouver East/Vancouver-Est"," 17C","Mobile poll/Bureau itinérant",4,48,3,59,12,2,128,119
"Vancouver East/Vancouver-Est"," 17D","Mobile poll/Bureau itinérant",Merged with No. 17C/Fusionné avec le nº 17C,,,,,,,57
"Vancouver East/Vancouver-Est"," 18","Vancouver",3,45,6,31,9,1,95,202
"Vancouver East/Vancouver-Est"," 19","Vancouver",5,112,13,50,29,3,212,578
"Vancouver East/Vancouver-Est"," 20","Vancouver",0,65,4,61,18,0,148,369
"Vancouver East/Vancouver-Est"," 21","Vancouver",2,98,16,63,21,0,200,514
"Vancouver East/Vancouver-Est"," 22","Vancouver",0,71,6,33,16,0,126,485
"Vancouver East/Vancouver-Est"," 23","Vancouver",0,66,4,37,20,5,132,408
"Vancouver East/Vancouver-Est"," 24","Vancouver",2,79,16,54,15,0,166,452
"Vancouver East/Vancouver-Est"," 25","Vancouver",3,136,12,36,19,0,206,438
"Vancouver East/Vancouver-Est"," 26","Vancouver",4,196,13,71,27,3,314,595
"Vancouver East/Vancouver-Est"," 27A","Vancouver",2,84,14,48,16,0,164,346
"Vancouver East/Vancouver-Est"," 27B","Mobile poll/Bureau itinérant",4,15,3,21,8,1,52,53
"Vancouver East/Vancouver-Est"," 28","Vancouver",2,164,32,78,30,1,307,539
"Vancouver East/Vancouver-Est"," 29","Vancouver",1,145,9,55,15,0,225,402
"Vancouver East/Vancouver-Est"," 30A","Vancouver",2,132,17,65,19,1,236,421
"Vancouver East/Vancouver-Est"," 30B","Mobile poll/Bureau itinérant",2,14,0,108,7,0,131,109
"Vancouver East/Vancouver-Est"," 31","Vancouver",0,116,16,39,13,0,184,432
"Vancouver East/Vancouver-Est"," 32","Vancouver",0,178,20,35,6,3,242,559
"Vancouver East/Vancouver-Est"," 33","Vancouver",1,132,17,56,26,1,233,557
"Vancouver East/Vancouver-Est"," 34","Vancouver",2,143,17,40,21,0,223,332
"Vancouver East/Vancouver-Est"," 35","Vancouver",1,172,13,54,50,3,293,524
"Vancouver East/Vancouver-Est"," 36","Vancouver",1,136,6,39,49,0,231,467
"Vancouver East/Vancouver-Est"," 37","Vancouver",1,134,15,31,36,0,217,452
"Vancouver East/Vancouver-Est"," 38","Vancouver",1,172,12,47,34,0,266,433
"Vancouver East/Vancouver-Est"," 39","Vancouver",3,174,12,43,37,3,272,510
"Vancouver East/Vancouver-Est"," 40","Vancouver",2,106,11,36,38,0,193,469
"Vancouver East/Vancouver-Est"," 41","Vancouver",2,119,9,38,28,0,196,444
"Vancouver East/Vancouver-Est"," 42","Vancouver",5,137,13,29,20,0,204,489
"Vancouver East/Vancouver-Est"," 43A","Vancouver",0,111,9,41,16,4,181,430
"Vancouver East/Vancouver-Est"," 43B","Vancouver",0,59,6,20,12,0,97,239
"Vancouver East/Vancouver-Est"," 44","Vancouver",1,138,15,54,28,1,237,425
"Vancouver East/Vancouver-Est"," 45","Vancouver",4,105,20,59,35,1,224,387
"Vancouver East/Vancouver-Est"," 46","Vancouver",0,120,11,53,27,2,213,361
"Vancouver East/Vancouver-Est"," 47","Vancouver",3,143,11,68,59,2,286,542
"Vancouver East/Vancouver-Est"," 48","Vancouver",1,128,10,77,41,2,259,453
"Vancouver East/Vancouver-Est"," 49","Vancouver",2,116,7,104,31,2,262,476
"Vancouver East/Vancouver-Est"," 50","Vancouver",2,192,16,47,13,3,273,496
"Vancouver East/Vancouver-Est"," 51","Vancouver",0,78,8,26,10,1,123,303
"Vancouver East/Vancouver-Est"," 52A","Vancouver",1,199,12,43,12,2,269,494
"Vancouver East/Vancouver-Est"," 52B","Mobile poll/Bureau itinérant",1,77,3,41,24,1,147,119
"Vancouver East/Vancouver-Est"," 53","Vancouver",0,62,4,19,7,0,92,217
"Vancouver East/Vancouver-Est"," 54","Vancouver",0,152,10,42,24,0,228,463
"Vancouver East/Vancouver-Est"," 55","Vancouver",0,157,24,25,19,2,227,418
"Vancouver East/Vancouver-Est"," 56","Vancouver",4,170,12,58,31,0,275,459
"Vancouver East/Vancouver-Est"," 57","Vancouver",2,180,16,52,26,0,276,442
"Vancouver East/Vancouver-Est"," 58","Vancouver",2,242,41,44,22,2,353,583
"Vancouver East/Vancouver-Est"," 59","Vancouver",1,173,23,36,19,1,253,440
"Vancouver East/Vancouver-Est"," 60","Vancouver",2,185,22,33,10,0,252,388
"Vancouver East/Vancouver-Est"," 61","Vancouver",0,163,20,34,22,0,239,421
"Vancouver East/Vancouver-Est"," 62","Vancouver",3,128,13,26,18,0,188,320
"Vancouver East/Vancouver-Est"," 63","Vancouver",3,211,24,47,24,0,309,549
"Vancouver East/Vancouver-Est"," 64","Vancouver",4,170,10,88,36,2,310,530
"Vancouver East/Vancouver-Est"," 65","Vancouver",2,213,31,32,12,1,291,562
