Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Joslin,Ben Lobb,Grant Robertson,Victoria Serda,Paul Steckle,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Huron--Bruce/Huron--Bruce"," 1","Port Elgin--Saugeen--Southampton",0,50,34,12,57,0,0,153,327
"Huron--Bruce/Huron--Bruce"," 2","Port Elgin--Saugeen--Southampton",2,30,20,4,56,1,0,113,188
"Huron--Bruce/Huron--Bruce"," 3","Port Elgin--Saugeen--Southampton",2,60,49,13,83,0,0,207,394
"Huron--Bruce/Huron--Bruce"," 4","Port Elgin--Saugeen--Southampton",6,73,25,14,108,0,2,228,367
"Huron--Bruce/Huron--Bruce"," 5","Port Elgin--Saugeen--Southampton",2,78,55,16,115,1,0,267,444
"Huron--Bruce/Huron--Bruce"," 6","Port Elgin--Saugeen--Southampton",0,40,16,5,33,1,2,97,173
"Huron--Bruce/Huron--Bruce"," 7","Port Elgin--Saugeen--Southampton",1,60,24,25,118,2,1,231,452
"Huron--Bruce/Huron--Bruce"," 8","Port Elgin--Saugeen--Southampton",2,88,50,15,116,3,0,274,525
"Huron--Bruce/Huron--Bruce"," 9","Port Elgin--Saugeen--Southampton",1,46,31,5,115,2,0,200,432
"Huron--Bruce/Huron--Bruce"," 10","Port Elgin--Saugeen--Southampton",3,67,30,13,147,2,0,262,483
"Huron--Bruce/Huron--Bruce"," 11","Port Elgin--Saugeen--Southampton",3,80,39,9,139,2,2,274,516
"Huron--Bruce/Huron--Bruce"," 12","Port Elgin--Saugeen--Southampton",2,59,27,5,87,1,1,182,343
"Huron--Bruce/Huron--Bruce"," 13","Port Elgin--Saugeen--Southampton",1,56,42,6,98,0,1,204,375
"Huron--Bruce/Huron--Bruce"," 14","Port Elgin--Saugeen--Southampton",0,43,44,7,88,2,0,184,298
"Huron--Bruce/Huron--Bruce"," 15","Port Elgin--Saugeen--Southampton",6,74,43,13,96,2,0,234,439
"Huron--Bruce/Huron--Bruce"," 16","Port Elgin--Saugeen--Southampton",3,74,37,14,119,0,1,248,419
"Huron--Bruce/Huron--Bruce"," 17","Port Elgin--Saugeen--Southampton",3,57,46,8,115,0,1,230,386
"Huron--Bruce/Huron--Bruce"," 18","Port Elgin--Saugeen--Southampton",2,80,62,6,102,1,0,253,432
"Huron--Bruce/Huron--Bruce"," 19","Port Elgin--Saugeen--Southampton",3,77,42,8,116,1,2,249,442
"Huron--Bruce/Huron--Bruce"," 20","Port Elgin--Saugeen--Southampton",1,66,35,10,73,2,1,188,350
"Huron--Bruce/Huron--Bruce"," 21","Port Elgin--Saugeen--Southampton",0,60,31,11,145,1,3,251,444
"Huron--Bruce/Huron--Bruce"," 22","Port Elgin--Saugeen--Southampton",2,63,22,8,49,0,0,144,281
"Huron--Bruce/Huron--Bruce"," 23","Port Elgin--Saugeen--Southampton",0,89,32,11,88,2,0,222,359
"Huron--Bruce/Huron--Bruce"," 24","Underwood",1,95,47,13,73,2,0,231,399
"Huron--Bruce/Huron--Bruce"," 25","Underwood",1,79,45,7,59,1,0,192,275
"Huron--Bruce/Huron--Bruce"," 26","Cargill",8,94,50,5,70,2,1,230,377
"Huron--Bruce/Huron--Bruce"," 27","Underwood",1,58,24,6,77,3,0,169,328
"Huron--Bruce/Huron--Bruce"," 28","Kincardine",5,91,37,6,110,0,0,249,449
"Huron--Bruce/Huron--Bruce"," 29A","Tiverton",4,52,48,2,70,1,0,177,268
"Huron--Bruce/Huron--Bruce"," 29B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,18
"Huron--Bruce/Huron--Bruce"," 30","Tiverton",4,80,66,3,77,1,0,231,328
"Huron--Bruce/Huron--Bruce"," 31","Kincardine",2,52,37,7,70,1,1,170,288
"Huron--Bruce/Huron--Bruce"," 32","Kincardine",4,75,30,4,86,0,0,199,396
"Huron--Bruce/Huron--Bruce"," 33","Kincardine",4,76,25,7,55,0,0,167,254
"Huron--Bruce/Huron--Bruce"," 34","Kincardine",1,58,23,3,60,0,0,145,293
"Huron--Bruce/Huron--Bruce"," 35","Kincardine",0,66,20,10,84,0,0,180,356
"Huron--Bruce/Huron--Bruce"," 36","Kincardine",2,60,40,7,95,2,0,206,396
"Huron--Bruce/Huron--Bruce"," 37","Kincardine",0,47,27,1,65,1,1,142,272
"Huron--Bruce/Huron--Bruce"," 38","Kincardine",2,50,40,5,94,1,1,193,342
"Huron--Bruce/Huron--Bruce"," 39","Kincardine",1,81,32,7,91,1,0,213,412
"Huron--Bruce/Huron--Bruce"," 40","Kincardine",2,44,30,7,63,0,1,147,329
"Huron--Bruce/Huron--Bruce"," 41","Kincardine",5,43,32,5,78,0,1,164,300
"Huron--Bruce/Huron--Bruce"," 42","Kincardine",2,69,41,12,89,0,0,213,367
"Huron--Bruce/Huron--Bruce"," 43","Kincardine",2,52,45,11,89,1,0,200,383
"Huron--Bruce/Huron--Bruce"," 44","Kincardine",4,47,29,6,87,0,0,173,309
"Huron--Bruce/Huron--Bruce"," 45","Kincardine",0,85,74,6,110,1,1,277,590
"Huron--Bruce/Huron--Bruce"," 46","Kincardine",3,53,18,4,73,0,1,152,348
