Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Saul Andersen,Robin Baird,Bruce Burnett,Ariel Lade,Fred Mallach,David Mulroney,Denise Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Victoria/Victoria"," 100","Victoria",1,26,0,11,0,43,42,1,124,242
"Victoria/Victoria"," 101","Victoria",2,56,2,19,1,65,75,0,220,487
"Victoria/Victoria"," 102","Victoria",3,29,1,21,1,38,62,1,156,292
"Victoria/Victoria"," 103","Victoria",0,19,0,21,1,46,79,0,166,333
"Victoria/Victoria"," 104","Victoria",0,33,1,35,4,56,97,1,227,453
"Victoria/Victoria"," 105","Victoria",3,33,0,27,3,63,114,2,245,414
"Victoria/Victoria"," 106","Victoria",4,32,0,29,1,47,111,1,225,460
"Victoria/Victoria"," 107","Victoria",0,23,0,17,4,46,86,2,178,363
"Victoria/Victoria"," 108","Victoria",0,34,0,19,1,65,120,1,240,444
"Victoria/Victoria"," 109","Victoria",1,22,1,23,3,48,92,0,190,330
"Victoria/Victoria"," 110","Victoria",3,14,0,24,1,24,145,2,213,377
"Victoria/Victoria"," 111","Victoria",2,11,0,25,1,31,76,0,146,244
"Victoria/Victoria"," 112","Victoria",1,34,0,21,0,38,142,1,237,428
"Victoria/Victoria"," 113","Victoria",2,31,0,34,3,56,160,0,286,523
"Victoria/Victoria"," 114","Victoria",3,42,1,16,1,36,93,0,192,344
"Victoria/Victoria"," 115","Victoria",2,14,1,13,1,38,108,0,177,278
"Victoria/Victoria"," 116","Victoria",3,23,0,24,2,72,137,0,261,367
"Victoria/Victoria"," 117","Victoria",0,59,0,35,2,91,139,0,326,519
"Victoria/Victoria"," 118","Victoria",2,48,1,14,1,72,106,0,244,421
"Victoria/Victoria"," 119","Victoria",1,51,2,20,2,56,91,1,224,356
"Victoria/Victoria"," 120","Victoria",2,31,0,27,2,46,105,0,213,359
"Victoria/Victoria"," 121","Victoria",3,48,0,30,0,75,137,1,294,488
"Victoria/Victoria"," 122","Victoria",2,42,1,16,0,73,148,0,282,441
"Victoria/Victoria"," 123","Victoria",0,49,0,25,0,84,130,0,288,464
"Victoria/Victoria"," 124","Victoria",0,85,1,13,1,77,94,0,271,465
"Victoria/Victoria"," 125A","Victoria",0,65,2,13,0,73,61,0,214,392
"Victoria/Victoria"," 125B","Mobile poll/Bureau itinérant",Merged with No. 140B/Fusionné avec le nº 140B,,,,,,,,,41
"Victoria/Victoria"," 126","Victoria",0,41,0,24,3,63,118,1,250,388
"Victoria/Victoria"," 127","Victoria",1,50,0,29,4,77,112,1,274,404
"Victoria/Victoria"," 128","Victoria",0,43,1,18,3,45,103,0,213,315
"Victoria/Victoria"," 129","Victoria",0,21,2,24,1,57,88,0,193,301
"Victoria/Victoria"," 130","Victoria",0,28,0,14,0,34,62,0,138,241
"Victoria/Victoria"," 131","Victoria",0,22,2,14,0,54,58,1,151,249
"Victoria/Victoria"," 132A","Victoria",0,47,2,15,0,79,57,0,200,338
"Victoria/Victoria"," 132B","Victoria",0,37,0,11,0,45,59,0,152,252
"Victoria/Victoria"," 133","Victoria",0,34,0,19,2,65,108,0,228,419
"Victoria/Victoria"," 134A","Victoria",2,32,1,13,3,48,38,0,137,313
"Victoria/Victoria"," 134B","Mobile poll/Bureau itinérant",5,28,3,4,0,21,22,3,86,65
"Victoria/Victoria"," 135A","Victoria",3,26,0,23,1,37,78,0,168,270
"Victoria/Victoria"," 135B","Mobile poll/Bureau itinérant",Merged with No. 134B/Fusionné avec le nº 134B,,,,,,,,,10
"Victoria/Victoria"," 136","Victoria",1,53,0,12,0,60,87,0,213,376
"Victoria/Victoria"," 137","Victoria",1,34,1,10,0,45,71,0,162,282
"Victoria/Victoria"," 138","Victoria",1,32,1,25,1,46,108,0,214,476
"Victoria/Victoria"," 139","Victoria",0,32,0,10,0,42,65,0,149,274
"Victoria/Victoria"," 140A","Victoria",1,54,0,9,0,37,70,0,171,292
"Victoria/Victoria"," 140B","Mobile poll/Bureau itinérant",3,55,1,8,1,44,26,1,139,137
