Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rick Barsky,Marcel Bourassa,Myron Luczka,Carol Skelton,Nettie Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 1","Glenside",4,0,5,72,21,0,102,193
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 2","Eagle Creek",1,0,11,77,19,1,109,234
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 3","Biggar",1,0,2,107,31,0,141,237
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 4","Springwater",2,0,6,134,19,0,161,361
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 5","Biggar",2,3,19,115,49,0,188,519
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 6","Biggar",6,2,9,70,28,0,115,253
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 7","Biggar",3,0,8,51,35,0,97,180
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 8","Biggar",0,0,9,37,23,0,69,168
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 9","Biggar",1,2,2,55,28,1,89,225
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 10","Biggar",3,2,5,93,54,0,157,309
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 11","Herschel",7,0,9,84,28,0,128,202
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 12","Marriott",1,0,5,106,27,0,139,237
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 13","Rosetown",0,1,2,131,15,0,149,329
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 14","Rosetown",3,0,4,162,23,1,193,357
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 15","Rosetown",1,0,10,123,53,0,187,369
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 16","Rosetown",6,0,7,111,25,0,149,237
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 17","Rosetown",3,1,6,101,39,0,150,247
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 18","Rosetown",3,1,6,102,32,1,145,260
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 19","Rosetown",1,2,8,136,51,0,198,304
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 20","Rosetown",1,3,19,125,50,0,198,409
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 21","Langham",5,1,23,126,50,0,205,331
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 22","Asquith",9,1,24,180,91,1,306,534
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 23","Perdue",0,0,3,158,53,1,215,378
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 24","Perdue",6,2,5,129,60,1,203,307
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 25","Asquith",9,2,24,170,84,0,289,459
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 26","Asquith",5,1,11,162,63,0,242,366
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 27","Vanscoy",2,1,16,65,45,0,129,194
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 28","Delisle",1,0,3,123,61,0,188,312
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 29","Delisle",2,1,17,75,52,0,147,262
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 30","Delisle",1,0,8,141,60,0,210,383
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 31","Vanscoy",18,5,32,193,148,0,396,632
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 32","Pike Lake",2,2,9,91,53,1,158,215
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 33","Cedar Villa Estates",11,1,23,190,99,0,324,419
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 34","Harris",1,3,5,119,88,0,216,331
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 35","Donovan",0,3,2,86,14,1,106,240
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 36","Pike Lake",19,0,23,181,92,0,315,453
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 37","Saskatoon",7,2,32,123,101,2,267,517
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 38","Saskatoon",5,0,42,101,119,0,267,515
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 39","Saskatoon",4,0,34,82,96,0,216,460
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 40","Saskatoon",5,0,23,91,60,0,179,344
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 41","Saskatoon",4,2,25,53,55,0,139,293
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 42","Saskatoon",4,2,26,58,60,0,150,263
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 43","Saskatoon",7,0,43,62,114,0,226,446
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 44","Saskatoon",4,1,27,45,50,0,127,298
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 45","Saskatoon",4,5,36,62,73,0,180,456
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 46","Saskatoon",3,4,22,70,100,0,199,367
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 47","Saskatoon",4,1,14,74,80,0,173,335
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 48","Saskatoon",2,1,31,35,58,0,127,342
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 49","Saskatoon",3,1,14,62,84,0,164,269
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 50","Saskatoon",3,1,37,89,77,1,208,370
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 51","Saskatoon",1,1,24,55,76,0,157,268
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 52","Saskatoon",5,2,19,37,55,0,118,286
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 53","Saskatoon",3,1,25,61,72,0,162,351
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 54","Saskatoon",4,2,13,40,58,1,118,267
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 55","Saskatoon",2,1,26,73,83,1,186,358
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 56","Saskatoon",2,0,25,75,87,0,189,375
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 57","Saskatoon",2,3,29,93,84,0,211,376
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 58","Saskatoon",5,2,23,36,53,1,120,257
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 59","Saskatoon",8,5,15,45,60,0,133,255
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 60","Saskatoon",3,2,32,58,54,1,150,285
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 61","Saskatoon",1,2,10,47,48,0,108,243
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 62","Saskatoon",12,2,33,45,102,0,194,474
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 63","Saskatoon",2,3,19,30,51,0,105,280
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 64","Saskatoon",7,5,24,70,60,0,166,301
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 65","Saskatoon",14,1,20,70,89,2,196,411
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 66A","Saskatoon",2,0,11,50,57,0,120,208
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 66B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,53
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 67A","Saskatoon",7,0,15,76,55,0,153,253
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 67B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,81
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 68","Saskatoon",6,1,27,55,65,1,155,290
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 69","Saskatoon",3,2,24,54,49,0,132,299
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 70","Saskatoon",4,1,25,62,94,1,187,371
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 71","Saskatoon",6,0,22,66,67,0,161,325
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 72","Saskatoon",3,2,13,30,58,0,106,195
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 73","Saskatoon",5,3,34,48,74,1,165,306
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 74","Saskatoon",6,2,25,82,95,1,211,409
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 75","Saskatoon",5,3,15,71,80,0,174,368
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 76","Saskatoon",4,1,10,65,83,0,163,322
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 77","Saskatoon",4,6,32,63,103,0,208,374
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 78","Saskatoon",8,1,30,50,94,0,183,350
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 79","Saskatoon",9,1,27,69,136,1,243,435
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 80","Saskatoon",4,1,16,54,48,0,123,215
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 81","Saskatoon",6,1,25,76,90,0,198,354
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 82","Saskatoon",2,1,24,120,116,0,263,439
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 83","Saskatoon",2,1,24,61,80,0,168,298
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 84","Saskatoon",6,1,21,45,56,0,129,236
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 85","Saskatoon",8,0,23,51,89,0,171,347
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 86","Saskatoon",7,4,11,45,111,0,178,308
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 87","Saskatoon",4,1,23,64,61,1,154,272
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 88","Saskatoon",6,3,39,95,107,0,250,453
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 89","Saskatoon",4,2,8,31,48,0,93,214
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 90","Saskatoon",6,1,25,34,60,4,130,320
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 91","Saskatoon",0,0,38,43,80,0,161,405
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 92","Saskatoon",5,1,21,57,81,0,165,350
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 93","Saskatoon",4,1,23,45,83,0,156,333
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 94","Saskatoon",10,4,23,36,77,1,151,416
