Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Bill Caton,Mike Eason,Amanda Knorr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 1","Eatonia",155,20,25,8,1,209,368
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 2","Eatonia",141,28,33,14,0,216,356
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 3","Glidden",71,6,22,5,0,104,221
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 4","Eston",116,12,19,1,1,149,247
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 5","Eston",213,41,27,10,0,291,440
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 6","Eston",186,22,24,9,0,241,416
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 7","Mendham",66,5,0,0,0,71,170
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 8","Burstall",144,16,33,9,0,202,317
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 9","Leader",143,44,20,12,0,219,407
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 10","Leader",175,28,32,3,0,238,409
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 11","Leader",76,13,18,2,1,110,176
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 12","Sceptre",111,15,21,10,1,158,251
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 13","Lancer",78,9,18,9,2,116,199
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 14","Abbey",102,17,32,3,0,154,216
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 15","Richmound",108,12,29,7,0,156,222
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 16","Fox Valley",195,15,36,11,0,257,463
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 17","Elrose",104,15,39,6,1,165,326
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 18","Elrose",193,37,57,12,1,300,460
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 19","Wiseton",Void/Supprimé,,,,,,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 20","Milden",130,14,26,5,0,175,267
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 21","Conquest",105,22,43,8,0,178,265
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 22A","Dinsmore",19,6,3,3,1,32,58
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 22B","Dinsmore",80,15,24,6,0,125,178
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 23","Dinsmore",196,33,48,9,3,289,478
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 24","Birsay",172,23,25,9,0,229,382
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 25","Lacadena",175,45,80,11,1,312,442
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 26","Kyle",105,36,67,6,0,214,354
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 27","Beechy",122,23,20,6,0,171,286
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 28","Beechy",109,29,33,2,0,173,245
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 29","Lucky Lake",146,25,29,6,0,206,354
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 30","Cabri",70,15,31,4,0,120,164
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 31","Cabri",154,26,52,9,0,241,387
