Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lewis Dahlby,Scott Froom,Jon Kingsbury,James Moore,Mary Woo Sims,Greg Watrich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 1","Indian Arm",Merged with No. 2/Fusionné avec le nº 2,,,,,,,,20
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 2","Anmore",2,23,63,138,78,5,2,311,590
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 3","Anmore",2,10,76,159,49,10,0,306,504
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 4","Belcarra",1,15,65,100,41,2,0,224,322
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 5","Port Moody",0,7,43,71,30,4,0,155,234
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 6","Port Moody",1,18,58,133,63,7,0,280,419
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 7","Port Moody",3,6,54,84,43,5,1,196,300
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 8","Port Moody",0,10,75,106,57,11,0,259,358
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 9","Port Moody",0,5,38,87,23,9,0,162,297
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 10A","Port Moody",1,7,75,141,26,7,0,257,469
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 10B","Port Moody",1,5,58,134,24,12,0,234,374
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 11","Port Moody",1,18,62,127,54,6,1,269,443
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 12","Port Moody",3,9,57,72,57,3,0,201,355
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 13","Port Moody",0,17,58,109,76,11,0,271,446
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 14","Port Moody",4,6,44,107,34,4,0,199,342
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 15","Port Moody",0,8,59,87,33,0,0,187,331
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16A","Port Moody",3,17,96,132,43,3,0,294,440
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16B","Port Moody",2,7,130,105,38,2,0,284,437
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 17A","Port Moody",0,6,84,84,20,12,0,206,387
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 17B","Port Moody",2,8,55,72,13,13,1,164,302
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 18","Port Moody",4,12,120,129,37,14,2,318,555
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 19","Port Moody",1,6,63,102,29,13,0,214,370
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 20","Port Moody",4,2,52,107,32,6,0,203,299
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 21","Port Moody",2,13,62,145,52,9,0,283,459
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 22","Port Moody",4,19,72,105,63,5,3,271,438
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 23","Port Moody",2,18,52,72,69,4,1,218,367
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 24","Port Moody",Void/Supprimé,,,,,,,,
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 25","Port Moody",0,16,81,191,87,15,1,391,687
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 26","Port Moody",1,11,50,67,57,2,0,188,303
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 27","Port Moody",0,22,41,64,82,7,0,216,377
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 28","Coquitlam",3,6,71,93,73,11,1,258,427
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 29","Coquitlam",2,13,85,128,68,19,0,315,505
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 30","Coquitlam",0,6,36,86,52,11,1,192,312
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 31","Coquitlam",2,3,84,78,52,18,1,238,426
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 32","Coquitlam",0,9,61,92,66,14,2,244,343
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 33A","Coquitlam",1,2,11,13,22,4,2,55,61
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 33B","Coquitlam",5,4,73,70,84,21,2,259,396
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 34","Coquitlam",4,14,72,61,58,20,3,232,532
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 35","Coquitlam",0,8,39,81,53,14,0,195,376
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 36","Coquitlam",0,7,39,42,50,10,0,148,275
