Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Cannan,Kevin M. Hagglund,Vern Nielsen,Angela Reid,David Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kelowna--Lake Country/Kelowna--Lake Country"," 1","Carrs Landing",88,25,75,20,3,0,211,424
"Kelowna--Lake Country/Kelowna--Lake Country"," 2A","Oyama",64,27,31,22,2,0,146,261
"Kelowna--Lake Country/Kelowna--Lake Country"," 2B","Oyama",62,21,26,13,0,0,122,204
"Kelowna--Lake Country/Kelowna--Lake Country"," 3","Oyama",85,18,40,16,0,0,159,341
"Kelowna--Lake Country/Kelowna--Lake Country"," 4","Oyama",148,42,68,38,0,0,296,525
"Kelowna--Lake Country/Kelowna--Lake Country"," 5","Oyama",140,69,77,32,3,0,321,574
"Kelowna--Lake Country/Kelowna--Lake Country"," 6A","Okanagan Centre",65,30,46,37,0,0,178,317
"Kelowna--Lake Country/Kelowna--Lake Country"," 6B","Okanagan Centre",66,27,38,27,0,0,158,285
"Kelowna--Lake Country/Kelowna--Lake Country"," 7","Winfield",119,47,51,30,0,0,247,453
"Kelowna--Lake Country/Kelowna--Lake Country"," 8","Winfield",85,41,42,22,2,0,192,412
"Kelowna--Lake Country/Kelowna--Lake Country"," 9A","Okanagan Centre",67,24,39,21,0,0,151,269
"Kelowna--Lake Country/Kelowna--Lake Country"," 9B","Okanagan Centre",70,11,30,9,2,1,123,244
"Kelowna--Lake Country/Kelowna--Lake Country"," 10","Winfield",102,58,57,23,1,0,241,469
"Kelowna--Lake Country/Kelowna--Lake Country"," 11","Winfield",76,31,33,19,1,1,161,317
"Kelowna--Lake Country/Kelowna--Lake Country"," 12","Duck Lake Reserve",Merged with No. 194/Fusionné avec le nº 194,,,,,,,9
"Kelowna--Lake Country/Kelowna--Lake Country"," 13","Duck Lake Reserve",56,8,25,3,0,0,92,188
"Kelowna--Lake Country/Kelowna--Lake Country"," 14A","Duck Lake Reserve",112,41,47,6,0,0,206,491
"Kelowna--Lake Country/Kelowna--Lake Country"," 14B","Duck Lake Reserve",117,37,29,10,0,1,194,443
"Kelowna--Lake Country/Kelowna--Lake Country"," 15","Duck Lake Reserve",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,,4
"Kelowna--Lake Country/Kelowna--Lake Country"," 16","Kelowna",105,48,50,31,2,0,236,494
"Kelowna--Lake Country/Kelowna--Lake Country"," 17","Kelowna",109,36,80,29,0,0,254,471
"Kelowna--Lake Country/Kelowna--Lake Country"," 18A","Kelowna",148,16,52,12,0,0,228,451
"Kelowna--Lake Country/Kelowna--Lake Country"," 18B","Kelowna",118,21,48,8,0,0,195,351
"Kelowna--Lake Country/Kelowna--Lake Country"," 19","Kelowna",165,41,104,34,2,1,347,583
"Kelowna--Lake Country/Kelowna--Lake Country"," 20A","Kelowna",81,40,41,11,0,1,174,286
"Kelowna--Lake Country/Kelowna--Lake Country"," 20B","Kelowna",68,15,27,12,0,1,123,215
"Kelowna--Lake Country/Kelowna--Lake Country"," 21A","Kelowna",70,14,27,6,1,0,118,281
"Kelowna--Lake Country/Kelowna--Lake Country"," 21B","Kelowna",30,59,40,20,1,0,150,164
