Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerry Ackerman,Jeffrey Bogaerts,Helen Forsey,Mike Nickerson,Ernest Rathwell,Scott Reid,Geoff Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 1","Mayo",0,0,0,3,0,12,4,0,19,45
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 2","Denbigh--Abinger--Ashby",3,7,30,6,4,114,43,0,207,324
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 3","Denbigh--Abinger--Ashby",1,1,8,3,0,53,25,0,91,259
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 4","Kaladar--Anglesea--Effingham",0,3,17,8,1,95,36,0,160,362
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 5","Kaladar--Anglesea--Effingham",7,3,34,3,3,137,62,1,250,420
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 6","Kaladar--Anglesea--Effingham",3,6,58,5,2,124,56,0,254,484
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 7","Kaladar--Anglesea--Effingham",1,1,24,3,0,67,22,1,119,196
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 8","Barrie",4,2,26,4,0,73,36,1,146,259
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 9","Barrie",5,2,18,5,0,60,28,1,119,225
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 10","Clarendon--Miller",0,1,14,10,0,67,29,0,121,195
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 11","Clarendon--Miller",1,5,29,1,2,80,46,1,165,264
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 12","Palmerston and North and South Canonto",0,0,47,7,0,107,24,1,186,291
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 13","Kennebec",4,4,26,4,2,68,58,0,166,291
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 14","Kennebec",4,3,59,9,2,127,76,1,281,498
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 15","Olden",5,4,43,8,3,97,34,1,195,364
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 16","Olden",2,2,19,6,1,59,32,0,121,262
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 17","Oso",1,1,28,9,1,67,39,0,146,260
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 18","Oso",0,4,46,14,3,83,71,0,221,493
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 19","Oso",6,2,36,12,0,57,49,0,162,361
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 20","Hinchinbrooke",8,2,10,2,0,36,29,0,87,200
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 21","Hinchinbrooke",11,4,34,16,1,156,64,0,286,450
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 22","Hinchinbrooke",5,3,34,10,3,125,51,0,231,367
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 23","French Line",0,1,8,7,1,59,19,0,95,147
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 24","French Line",1,2,20,16,1,103,17,0,160,346
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 25","Lanark",2,2,26,27,2,113,29,0,201,420
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 26","Lanark",0,1,29,24,3,188,40,0,285,543
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 27","Lanark",0,3,37,11,4,118,17,1,191,398
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 28","Lanark",2,2,26,22,1,139,36,1,229,423
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 29","Lanark",1,2,30,20,3,139,26,1,222,240
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 30","Clyde Forks",0,0,10,6,0,45,14,0,75,178
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 31","Dalhousie Lake",0,1,50,32,2,164,28,1,278,547
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 32","Dalhousie Lake",0,1,26,6,4,86,20,0,143,206
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 33","North Sherbrooke",0,0,40,27,4,161,44,0,276,405
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 34","Fallbrook",0,2,33,18,2,64,12,0,131,336
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 35","Harper",0,2,26,19,1,151,36,0,235,413
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 36","Brooke",2,4,43,21,0,133,25,1,229,400
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 37","Bathurst",0,2,26,16,1,142,34,0,221,397
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 38","Glen Tay",1,1,11,14,1,40,18,0,86,177
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 39A","Stanleyville",1,1,44,21,3,155,25,0,250,435
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 39B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,72
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 40","Stanleyville",1,2,16,11,0,101,33,2,166,249
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 41","North Burgess",0,3,64,33,2,242,74,2,420,802
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 42","Maberly",3,5,57,56,4,234,68,0,427,690
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 43","Ashton Station",0,2,15,13,2,91,35,1,159,289
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 44","Ashton Station",0,5,29,11,4,150,45,1,245,470
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 45","Prospect",0,5,47,24,3,179,75,1,334,564
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 46","Beckwith",0,8,65,20,7,262,76,0,438,765
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 47","Ashton Station",0,3,25,8,2,133,35,2,208,352
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 48","Ashton Station",1,10,60,20,6,252,79,0,428,801
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 49","McDiarmid's Shore",0,1,38,9,2,109,26,0,185,382
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 50","Ashton Station",0,3,30,16,3,111,21,0,184,367
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 51","Beckwith",0,5,35,9,3,194,52,0,298,525
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 52","Franktown",0,5,64,6,5,196,55,1,332,656
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 53","Innisville",0,3,12,17,4,152,41,1,230,437
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 54","Montague",0,4,36,21,5,181,56,0,303,420
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 55","Numogate",0,1,28,4,2,118,17,0,170,294
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 56","Nolans Corners",1,7,28,5,1,157,40,0,239,379
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 57A","Kilmarnock",0,7,29,13,1,119,17,0,186,344
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 57B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,397
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 58","Numogate",0,1,16,4,1,76,15,1,114,202
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 59","Montague",0,0,32,1,2,114,29,0,178,313
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 60","Montague",1,1,22,2,4,87,30,1,148,307
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 61","Ferguson Falls",1,0,27,17,2,179,27,0,253,453
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 62","McNaughton Shore",0,1,26,5,0,135,36,0,203,370
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 63","Drummond",0,1,14,7,0,101,9,0,132,230
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 64","Glenview",0,2,36,12,5,169,45,0,269,393
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 65","North Elmsley",0,4,42,11,2,167,45,2,273,413
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 66","Bathurst",1,2,48,16,3,204,57,0,331,576
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 67","Drummond",0,0,17,8,0,114,24,0,163,302
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 68","Port Elmsley",1,6,43,19,1,243,44,0,357,554
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 69","North Elmsley",0,2,37,8,0,152,47,0,246,469
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 70","North Elmsley",1,0,29,25,1,100,40,0,196,360
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 71","Elmgrove",0,2,24,9,0,83,39,0,157,282
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 72","Carleton Place",1,1,39,19,2,147,26,2,237,402
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 73","Carleton Place",0,4,41,11,2,133,36,2,229,397
