Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rona Ambrose,Brad Enge,John Lackey,Jason Rockwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 1","Beach Corner",245,30,23,33,0,331,464
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 2","Beach Corner",216,25,22,19,1,283,395
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 3","Beach Corner",Merged with No. 6/Fusionné avec le nº 6,,,,,,162
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 4","Beach Corner",254,48,22,39,0,363,526
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 5","Beach Corner",142,31,12,31,0,216,281
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 6","Beach Corner",211,18,14,24,1,268,227
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 7A","Beach Corner",139,13,16,28,0,196,411
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 7B","Beach Corner",158,11,11,26,1,207,419
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 8","Beach Corner",191,17,12,25,1,246,348
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 9","Beach Corner",84,9,16,11,0,120,212
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 10A","Stony Plain",106,14,7,20,0,147,289
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 10B","Stony Plain",125,12,10,13,0,160,302
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 11","Stony Plain",155,36,17,39,0,247,461
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 12A","Stony Plain",183,21,7,17,0,228,464
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 12B","Stony Plain",197,24,18,16,0,255,457
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 13","Stony Plain",128,17,16,27,0,188,340
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 14","Stony Plain",69,9,7,19,0,104,285
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 15","Stony Plain",187,14,14,26,0,241,448
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 16","Stony Plain",161,31,16,32,0,240,491
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 17","Stony Plain",139,11,16,14,1,181,356
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 18","Stony Plain",148,22,7,21,0,198,322
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 19","Stony Plain",206,25,18,20,0,269,545
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 20","Stony Plain",152,14,14,29,0,209,480
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 21","Stony Plain",176,25,18,25,0,244,356
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 22","Stony Plain",207,17,17,42,1,284,526
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 23","Stony Plain",172,30,17,34,0,253,420
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 24A","Stony Plain",141,18,4,15,1,179,343
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 24B","Stony Plain",170,16,4,23,1,214,388
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 25A","Stony Plain",254,28,10,27,0,319,489
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 25B","Stony Plain",256,25,7,17,0,305,501
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 26","Stony Plain",153,14,12,16,0,195,405
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 27","Stony Plain",150,10,9,13,2,184,327
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 28A","Spruce Grove",132,14,3,17,0,166,297
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 28B","Spruce Grove",160,13,8,24,0,205,328
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 29","Spruce Grove",219,16,14,39,0,288,558
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 30A","Spruce Grove",205,35,10,17,0,267,463
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 30B","Spruce Grove",228,36,27,14,0,305,463
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 31A","Spruce Grove",148,20,4,22,1,195,375
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 31B","Spruce Grove",128,22,12,28,0,190,373
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 32","Spruce Grove",205,27,17,47,1,297,488
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 33A","Spruce Grove",163,22,11,18,0,214,399
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 33B","Spruce Grove",126,26,7,21,0,180,329
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 34","Spruce Grove",142,27,18,22,0,209,353
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 35","Spruce Grove",191,29,26,25,0,271,463
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 36","Spruce Grove",147,15,23,24,0,209,389
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 37","Spruce Grove",119,23,16,12,0,170,353
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 38","Spruce Grove",221,28,26,30,0,305,493
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 39","Spruce Grove",207,30,16,18,0,271,474
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 40","Spruce Grove",193,24,22,34,0,273,483
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 41A","Spruce Grove",239,22,9,38,1,309,554
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 41B","Spruce Grove",225,43,18,27,4,317,567
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 42","Spruce Grove",111,13,11,10,0,145,294
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 43","Spruce Grove",222,24,17,21,0,284,447
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 44","Spruce Grove",166,22,15,20,0,223,395
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 45","Spruce Grove",126,23,15,24,1,189,376
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 46","Spruce Grove",182,30,11,13,0,236,405
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 47","Spruce Grove",247,31,14,24,0,316,545
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 48","Spruce Grove",159,15,19,20,0,213,407
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 49","Spruce Grove",170,25,15,46,0,256,445
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 50","Spruce Grove",129,28,14,23,2,196,442
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 51","Spruce Grove",135,25,12,32,0,204,473
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 52","Spruce Grove",161,22,15,24,0,222,404
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 53","Spruce Grove",145,19,22,42,1,229,474
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 54","Spruce Grove",143,17,11,19,1,191,390
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 55","Spruce Grove",165,23,11,23,0,222,513
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 56A","Spring Lake",146,23,15,30,0,214,352
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 56B","Spring Lake",143,10,15,21,1,190,310
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 57A","Golden Spike",119,9,5,5,0,138,293
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 57B","Golden Spike",107,10,7,11,0,135,317
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 58","Golden Spike",204,29,13,28,1,275,460
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 59","Golden Spike",212,20,15,13,1,261,533
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 60","Holborn",196,21,19,33,1,270,325
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 61A","Golden Spike",194,22,21,21,1,259,399
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 61B","Golden Spike",174,20,19,20,0,233,393
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 62A","Beach Corner",131,19,16,11,1,178,322
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 62B","Beach Corner",151,16,5,22,0,194,312
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 63","Acheson",233,26,8,24,0,291,462
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 64","Acheson",204,20,10,19,0,253,396
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 65A","Acheson",104,17,9,18,0,148,337
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 65B","Acheson",113,12,5,12,0,142,309
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 66","Acheson",113,22,5,28,0,168,373
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 67","Acheson",Merged with No. 66/Fusionné avec le nº 66,,,,,,34
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 68A","Acheson",172,16,7,11,0,206,371
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 68B","Acheson",177,9,8,10,0,204,394
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 69","Golden Spike",240,24,18,20,0,302,498
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 70","Golden Spike",105,21,8,8,0,142,249
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 71A","Stony Plain 135",15,123,2,1,1,142,280
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 71B","Stony Plain 135",8,200,2,6,1,217,396
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 72","Woodbend",259,47,23,33,0,362,514
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 73","Woodbend",266,42,24,28,0,360,485
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 74","Golden Spike",188,33,9,32,1,263,419
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 75","Woodbend",Merged with No. 76/Fusionné avec le nº 76,,,,,,37
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 76","Woodbend",130,19,19,19,0,187,257
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 77","Woodbend",162,21,11,19,1,214,314
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 78","Woodbend",238,26,29,35,1,329,478
