Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barry Devolin,Andy Harjula,Anne MacDermid,Greg Walling,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 1","Oxtongue Lake",37,6,17,26,0,86,118
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 2","Sherborne and Others",87,19,46,89,1,242,380
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 3","Stanhope",100,14,49,67,1,231,348
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 4","Stanhope",94,14,42,86,0,236,378
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5","Anson",133,22,33,99,2,289,581
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 6","Anson, Hindon and Minden",66,12,33,46,1,158,242
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 7","Anson, Hindon and Minden",117,10,36,77,0,240,488
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 8","Anson, Hindon and Minden",48,5,18,35,0,106,223
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9A","Anson, Hindon and Minden",54,9,29,64,1,157,330
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9B","Anson, Hindon and Minden",51,8,28,44,0,131,301
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10","Anson, Hindon and Minden",116,10,35,86,1,248,509
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 11","Anson, Hindon and Minden",133,5,44,60,0,242,444
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 12","Snowdon",52,10,19,17,2,100,162
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 13","Snowdon",73,11,32,58,2,176,356
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 14","Lutterworth",59,7,25,41,1,133,313
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 15","Lutterworth",95,7,45,52,0,199,463
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 16","Snowdon",53,7,13,26,0,99,188
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 17","Glamorgan",82,13,48,36,1,180,310
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 18","Dysart and Others",154,19,28,91,2,294,599
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 19","Dysart and Others",107,16,27,61,0,211,417
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 20","Haliburton",62,8,28,26,0,124,233
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 21","Haliburton",62,3,16,32,0,113,233
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 22A","Haliburton",77,10,19,40,1,147,357
