Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Bourgeois,Martin Drapeau,Daniel Lebel,Michel Le Clair,Maxime Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Terrebonne--Blainville/Terrebonne--Blainville"," 1","Sainte-Anne-des-Plaines",129,11,46,16,19,5,226,465
"Terrebonne--Blainville/Terrebonne--Blainville"," 2","Sainte-Anne-des-Plaines",122,7,56,10,16,3,214,466
"Terrebonne--Blainville/Terrebonne--Blainville"," 3","Sainte-Anne-des-Plaines",113,10,39,14,13,3,192,343
"Terrebonne--Blainville/Terrebonne--Blainville"," 4","Sainte-Anne-des-Plaines",143,13,27,17,10,4,214,395
"Terrebonne--Blainville/Terrebonne--Blainville"," 5","Sainte-Anne-des-Plaines",169,8,41,15,12,5,250,429
"Terrebonne--Blainville/Terrebonne--Blainville"," 6","Sainte-Anne-des-Plaines",192,6,43,17,21,3,282,571
"Terrebonne--Blainville/Terrebonne--Blainville"," 7A","Sainte-Anne-des-Plaines",126,6,30,10,3,3,178,289
"Terrebonne--Blainville/Terrebonne--Blainville"," 7B","Sainte-Anne-des-Plaines",131,5,41,11,6,2,196,316
"Terrebonne--Blainville/Terrebonne--Blainville"," 8","Sainte-Anne-des-Plaines",173,11,31,17,10,5,247,365
"Terrebonne--Blainville/Terrebonne--Blainville"," 9","Sainte-Anne-des-Plaines",181,9,62,21,15,5,293,520
"Terrebonne--Blainville/Terrebonne--Blainville"," 10","Sainte-Anne-des-Plaines",154,4,66,18,23,5,270,417
"Terrebonne--Blainville/Terrebonne--Blainville"," 11","Sainte-Anne-des-Plaines",150,2,48,17,15,1,233,397
"Terrebonne--Blainville/Terrebonne--Blainville"," 12","Sainte-Anne-des-Plaines",153,11,37,19,26,4,250,515
"Terrebonne--Blainville/Terrebonne--Blainville"," 13","Sainte-Anne-des-Plaines",137,8,43,22,11,4,225,361
"Terrebonne--Blainville/Terrebonne--Blainville"," 14","Sainte-Anne-des-Plaines",146,8,41,30,12,4,241,397
"Terrebonne--Blainville/Terrebonne--Blainville"," 15","Sainte-Anne-des-Plaines",178,7,43,14,12,9,263,419
"Terrebonne--Blainville/Terrebonne--Blainville"," 16","Sainte-Anne-des-Plaines",195,11,44,14,9,6,279,512
"Terrebonne--Blainville/Terrebonne--Blainville"," 17","Sainte-Anne-des-Plaines",124,4,40,21,14,1,204,389
"Terrebonne--Blainville/Terrebonne--Blainville"," 18","Sainte-Anne-des-Plaines",103,10,47,9,28,7,204,379
"Terrebonne--Blainville/Terrebonne--Blainville"," 19","Sainte-Anne-des-Plaines",204,11,49,12,16,7,299,523
"Terrebonne--Blainville/Terrebonne--Blainville"," 20","Sainte-Anne-des-Plaines",137,3,36,12,17,0,205,361
"Terrebonne--Blainville/Terrebonne--Blainville"," 21","Sainte-Anne-des-Plaines",179,17,56,19,17,2,290,537
"Terrebonne--Blainville/Terrebonne--Blainville"," 22","Terrebonne",151,16,55,14,25,0,261,519
"Terrebonne--Blainville/Terrebonne--Blainville"," 23","Terrebonne",166,11,46,15,23,4,265,444
"Terrebonne--Blainville/Terrebonne--Blainville"," 24","Terrebonne",204,12,46,27,13,0,302,531
"Terrebonne--Blainville/Terrebonne--Blainville"," 25","Terrebonne",125,12,51,9,23,0,220,414
"Terrebonne--Blainville/Terrebonne--Blainville"," 26","Terrebonne",108,10,47,14,32,4,215,331
"Terrebonne--Blainville/Terrebonne--Blainville"," 27","Terrebonne",179,13,50,20,23,4,289,424
"Terrebonne--Blainville/Terrebonne--Blainville"," 28","Terrebonne",178,21,42,25,30,10,306,467
"Terrebonne--Blainville/Terrebonne--Blainville"," 29","Terrebonne",210,5,46,25,27,4,317,498
"Terrebonne--Blainville/Terrebonne--Blainville"," 30A","Terrebonne",166,14,38,14,25,7,264,426
"Terrebonne--Blainville/Terrebonne--Blainville"," 30B","Terrebonne",169,6,54,15,20,3,267,428
