Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexander T. Bussmann,Roy Cullen,Anna Di Carlo,George Jan Havlovic,Amanjit Singh Khroad,Ali Naqvi,George Szebik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Etobicoke North/Etobicoke-Nord"," 58","Etobicoke",0,103,0,1,35,25,1,0,165,389
"Etobicoke North/Etobicoke-Nord"," 59","Etobicoke",5,199,9,2,54,30,2,3,304,505
"Etobicoke North/Etobicoke-Nord"," 60","Etobicoke",4,113,0,5,57,18,4,0,201,348
"Etobicoke North/Etobicoke-Nord"," 61","Etobicoke",3,140,0,4,81,22,0,3,253,379
"Etobicoke North/Etobicoke-Nord"," 62","Etobicoke",4,164,1,10,71,33,1,1,285,437
"Etobicoke North/Etobicoke-Nord"," 63","Etobicoke",2,177,0,12,69,17,4,0,281,430
"Etobicoke North/Etobicoke-Nord"," 64","Etobicoke",6,140,1,6,62,35,1,2,253,522
"Etobicoke North/Etobicoke-Nord"," 65","Etobicoke",3,86,0,6,41,19,0,0,155,362
"Etobicoke North/Etobicoke-Nord"," 66","Etobicoke",2,119,2,15,71,24,3,1,237,376
"Etobicoke North/Etobicoke-Nord"," 67","Etobicoke",4,121,1,11,65,26,6,6,240,344
"Etobicoke North/Etobicoke-Nord"," 68","Etobicoke",3,123,2,12,74,24,5,0,243,389
"Etobicoke North/Etobicoke-Nord"," 69","Etobicoke",1,143,0,10,76,20,4,1,255,439
"Etobicoke North/Etobicoke-Nord"," 70","Etobicoke",2,121,1,7,76,17,4,2,230,394
"Etobicoke North/Etobicoke-Nord"," 71","Etobicoke",1,126,0,10,45,30,2,0,214,326
"Etobicoke North/Etobicoke-Nord"," 72","Etobicoke",6,127,2,9,47,26,2,3,222,346
"Etobicoke North/Etobicoke-Nord"," 73","Etobicoke",4,131,3,2,59,12,2,3,216,334
"Etobicoke North/Etobicoke-Nord"," 74","Etobicoke",0,164,1,11,65,27,4,6,278,458
"Etobicoke North/Etobicoke-Nord"," 75","Etobicoke",2,106,0,6,42,15,6,1,178,346
"Etobicoke North/Etobicoke-Nord"," 76","Etobicoke",3,161,2,5,49,30,1,1,252,497
"Etobicoke North/Etobicoke-Nord"," 77","Etobicoke",8,168,3,8,81,33,3,5,309,507
"Etobicoke North/Etobicoke-Nord"," 78","North York",Void/Supprimé,,,,,,,,,
"Etobicoke North/Etobicoke-Nord"," 79","Etobicoke",2,150,4,4,56,31,2,0,249,417
"Etobicoke North/Etobicoke-Nord"," 80","Etobicoke",2,113,1,7,72,32,1,2,230,347
"Etobicoke North/Etobicoke-Nord"," 81","Etobicoke",6,141,1,10,58,28,5,2,251,389
"Etobicoke North/Etobicoke-Nord"," 82","Etobicoke",8,159,1,5,53,35,0,0,261,396
"Etobicoke North/Etobicoke-Nord"," 83","Etobicoke",1,119,1,10,39,9,0,0,179,300
"Etobicoke North/Etobicoke-Nord"," 84","Etobicoke",6,140,0,5,25,9,1,4,190,324
"Etobicoke North/Etobicoke-Nord"," 85A","Etobicoke",0,67,2,4,38,7,0,0,118,266
"Etobicoke North/Etobicoke-Nord"," 85B","Mobile poll/Bureau itinérant",Merged with No. 92B/Fusionné avec le nº 92B,,,,,,,,,71
"Etobicoke North/Etobicoke-Nord"," 86","Etobicoke",2,123,1,1,25,26,2,2,182,368
"Etobicoke North/Etobicoke-Nord"," 87","Etobicoke",0,97,0,2,31,8,0,0,138,305
"Etobicoke North/Etobicoke-Nord"," 88","Etobicoke",5,137,1,6,32,33,0,1,215,404
"Etobicoke North/Etobicoke-Nord"," 89","Etobicoke",5,140,1,25,84,25,2,1,283,384
"Etobicoke North/Etobicoke-Nord"," 90","Etobicoke",3,99,1,12,67,55,1,1,239,389
"Etobicoke North/Etobicoke-Nord"," 91","Etobicoke",5,143,0,17,74,35,3,0,277,414
"Etobicoke North/Etobicoke-Nord"," 92A","Etobicoke",1,109,1,10,45,34,2,2,204,404
"Etobicoke North/Etobicoke-Nord"," 92B","Mobile poll/Bureau itinérant",9,81,2,3,32,16,2,2,147,248
"Etobicoke North/Etobicoke-Nord"," 93","Etobicoke",2,100,0,3,63,26,7,1,202,325
"Etobicoke North/Etobicoke-Nord"," 94","Etobicoke",3,115,4,7,91,26,3,2,251,494
"Etobicoke North/Etobicoke-Nord"," 95","Etobicoke",4,157,2,14,70,20,1,1,269,454
"Etobicoke North/Etobicoke-Nord"," 96","Etobicoke",0,107,0,11,71,19,2,0,210,347
"Etobicoke North/Etobicoke-Nord"," 97","Etobicoke",6,107,1,9,70,31,4,0,228,379
"Etobicoke North/Etobicoke-Nord"," 98","Etobicoke",4,124,3,6,63,25,4,2,231,392
"Etobicoke North/Etobicoke-Nord"," 99","Etobicoke",4,90,1,4,36,28,2,0,165,336
"Etobicoke North/Etobicoke-Nord"," 100","Etobicoke",7,88,2,9,45,33,4,1,189,409
"Etobicoke North/Etobicoke-Nord"," 101","Etobicoke",0,72,1,10,37,13,3,0,136,252
"Etobicoke North/Etobicoke-Nord"," 102","Etobicoke",9,170,3,6,63,28,3,0,282,477
"Etobicoke North/Etobicoke-Nord"," 103","Etobicoke",8,115,1,2,42,28,1,0,197,339
"Etobicoke North/Etobicoke-Nord"," 104","Etobicoke",6,88,0,5,41,13,0,3,156,263
"Etobicoke North/Etobicoke-Nord"," 105","Etobicoke",3,68,0,3,17,33,0,0,124,277
"Etobicoke North/Etobicoke-Nord"," 106","Etobicoke",7,120,1,15,49,43,7,1,243,336
"Etobicoke North/Etobicoke-Nord"," 107","Etobicoke",7,86,2,8,41,19,5,2,170,328
"Etobicoke North/Etobicoke-Nord"," 108","Etobicoke",2,95,0,7,45,19,2,1,171,250
"Etobicoke North/Etobicoke-Nord"," 109","Etobicoke",5,102,0,17,58,47,0,2,231,361
"Etobicoke North/Etobicoke-Nord"," 110","Etobicoke",4,120,2,6,69,36,1,3,241,414
"Etobicoke North/Etobicoke-Nord"," 111","Etobicoke",4,79,4,6,26,38,2,0,159,298
"Etobicoke North/Etobicoke-Nord"," 112","Etobicoke",4,228,2,9,32,39,3,2,319,648
"Etobicoke North/Etobicoke-Nord"," 113","Etobicoke",2,101,1,1,16,27,0,0,148,314
"Etobicoke North/Etobicoke-Nord"," 114","Etobicoke",6,201,2,9,57,22,1,2,300,683
"Etobicoke North/Etobicoke-Nord"," 115","Etobicoke",3,132,0,4,15,23,1,2,180,423
"Etobicoke North/Etobicoke-Nord"," 116","Etobicoke",1,121,1,7,64,56,2,0,252,453
"Etobicoke North/Etobicoke-Nord"," 117","Etobicoke",3,155,3,17,35,15,1,0,229,432
"Etobicoke North/Etobicoke-Nord"," 118","Etobicoke",8,147,0,12,50,25,0,1,243,498
"Etobicoke North/Etobicoke-Nord"," 119","Etobicoke",1,103,0,11,23,26,3,4,171,336
"Etobicoke North/Etobicoke-Nord"," 120","Etobicoke",1,17,0,0,10,9,0,0,37,89
"Etobicoke North/Etobicoke-Nord"," 121","Etobicoke",7,156,4,14,55,14,2,2,254,451
"Etobicoke North/Etobicoke-Nord"," 122","Etobicoke",4,228,3,7,52,20,5,8,327,565
"Etobicoke North/Etobicoke-Nord"," 123","Etobicoke",2,52,0,10,41,14,1,1,121,222
"Etobicoke North/Etobicoke-Nord"," 124","Etobicoke",5,134,0,10,65,27,5,3,249,399
"Etobicoke North/Etobicoke-Nord"," 125","Etobicoke",0,97,1,7,35,27,1,4,172,312
"Etobicoke North/Etobicoke-Nord"," 126","Etobicoke",6,124,1,7,38,21,0,0,197,319
"Etobicoke North/Etobicoke-Nord"," 127","Etobicoke",11,178,1,6,41,18,0,0,255,387
"Etobicoke North/Etobicoke-Nord"," 128","Etobicoke",4,151,1,5,40,11,1,0,213,394
"Etobicoke North/Etobicoke-Nord"," 129","Etobicoke",4,56,2,2,33,25,0,2,124,249
"Etobicoke North/Etobicoke-Nord"," 130","Etobicoke",3,74,3,6,37,15,0,1,139,297
"Etobicoke North/Etobicoke-Nord"," 131","Etobicoke",6,75,2,2,34,23,0,0,142,325
"Etobicoke North/Etobicoke-Nord"," 132","Etobicoke",3,87,0,6,22,18,1,0,137,278
"Etobicoke North/Etobicoke-Nord"," 400","Etobicoke",2,115,1,1,12,8,0,0,139,280
"Etobicoke North/Etobicoke-Nord"," 401","Etobicoke",1,96,2,2,14,11,0,6,132,329
"Etobicoke North/Etobicoke-Nord"," 402","Etobicoke",0,121,0,9,35,18,2,0,185,373
"Etobicoke North/Etobicoke-Nord"," 403","Etobicoke",0,113,0,2,27,19,5,2,168,365
"Etobicoke North/Etobicoke-Nord"," 404","Etobicoke",5,146,1,2,47,16,5,2,224,431
"Etobicoke North/Etobicoke-Nord"," 405","Etobicoke",0,80,0,2,18,13,1,0,114,274
"Etobicoke North/Etobicoke-Nord"," 406","Etobicoke",2,66,0,5,19,11,0,1,104,270
"Etobicoke North/Etobicoke-Nord"," 407","Etobicoke",1,116,1,2,30,13,2,3,168,321
"Etobicoke North/Etobicoke-Nord"," 408","Etobicoke",2,109,1,1,44,16,0,2,175,367
