Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon-Pierre Beaudet,Jean Bédard,Sylvie Boucher,Mario Laprise,Yves Picard,Christian Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beauport--Limoilou/Beauport--Limoilou"," 1","Beauport",13,1,111,9,8,100,3,245,488
"Beauport--Limoilou/Beauport--Limoilou"," 2","Beauport",10,1,101,6,6,81,2,207,390
"Beauport--Limoilou/Beauport--Limoilou"," 3","Beauport",14,0,117,11,8,67,8,225,419
"Beauport--Limoilou/Beauport--Limoilou"," 4","Beauport",8,1,101,7,11,94,3,225,451
"Beauport--Limoilou/Beauport--Limoilou"," 5","Beauport",10,1,143,7,5,85,5,256,504
"Beauport--Limoilou/Beauport--Limoilou"," 6","Beauport",13,1,93,3,9,67,1,187,383
"Beauport--Limoilou/Beauport--Limoilou"," 7","Beauport",7,1,122,6,20,109,0,265,492
"Beauport--Limoilou/Beauport--Limoilou"," 8","Beauport",19,0,101,4,10,83,1,218,383
"Beauport--Limoilou/Beauport--Limoilou"," 9","Beauport",14,0,75,8,17,75,4,193,330
"Beauport--Limoilou/Beauport--Limoilou"," 10","Beauport",19,0,107,7,11,92,8,244,483
"Beauport--Limoilou/Beauport--Limoilou"," 11A","Beauport",4,0,84,3,10,44,1,146,296
"Beauport--Limoilou/Beauport--Limoilou"," 11B","Beauport",9,0,71,4,8,55,0,147,311
"Beauport--Limoilou/Beauport--Limoilou"," 12","Beauport",11,2,96,10,13,50,1,183,428
"Beauport--Limoilou/Beauport--Limoilou"," 13","Beauport",21,1,165,11,10,107,4,319,538
"Beauport--Limoilou/Beauport--Limoilou"," 14A","Beauport",17,0,114,2,7,52,5,197,350
"Beauport--Limoilou/Beauport--Limoilou"," 14B","Beauport",11,0,93,4,2,39,2,151,281
"Beauport--Limoilou/Beauport--Limoilou"," 15","Beauport",15,0,111,5,14,83,6,234,351
"Beauport--Limoilou/Beauport--Limoilou"," 16","Beauport",11,2,87,2,8,106,1,217,411
"Beauport--Limoilou/Beauport--Limoilou"," 17","Beauport",27,1,147,13,7,124,0,319,503
"Beauport--Limoilou/Beauport--Limoilou"," 18","Beauport",26,2,123,9,8,105,0,273,474
"Beauport--Limoilou/Beauport--Limoilou"," 19","Beauport",17,1,109,9,13,99,2,250,468
"Beauport--Limoilou/Beauport--Limoilou"," 20A","Beauport",20,1,90,7,1,80,2,201,310
"Beauport--Limoilou/Beauport--Limoilou"," 20B","Beauport",14,1,69,6,8,78,2,178,310
"Beauport--Limoilou/Beauport--Limoilou"," 21A","Beauport",14,0,77,8,8,67,1,175,317
"Beauport--Limoilou/Beauport--Limoilou"," 21B","Beauport",10,1,62,3,2,72,2,152,299
"Beauport--Limoilou/Beauport--Limoilou"," 22","Beauport",23,1,90,7,8,127,3,259,489
"Beauport--Limoilou/Beauport--Limoilou"," 23","Beauport",21,0,142,11,14,92,0,280,451
