Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeremy Harrison,Anita Jackson,John A. McDonald,Gary Merasty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1","Camsell Portage",0,3,0,5,0,8,30
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 2","Uranium City",16,6,0,8,0,30,71
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 3","Fond-du-Lac",9,15,1,105,1,131,385
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4","Stony Rapids",17,24,2,31,0,74,171
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5A","Black Lake",14,38,4,54,0,110,241
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5B","Black Lake",3,43,6,92,1,145,248
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6A","Black Lake",Merged with No. 5A/Fusionné avec le nº 5A,,,,,,5
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6B","Black Lake",Merged with No. 5B/Fusionné avec le nº 5B,,,,,,41
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7A","Wollaston Lake",9,40,1,73,1,124,305
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7B","Wollaston Lake",7,29,5,46,0,87,184
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 8","Wollaston Lake",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,34
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 9","Descharme Lake",2,1,0,2,0,5,6
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10","Turnor Lake",10,15,3,127,0,155,306
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11","La Loche",21,8,0,22,1,52,137
