Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rick Goldring,David Laird,Paddy Torsney,Mike Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Burlington/Burlington"," 130","Burlington",11,22,113,102,1,249,447
"Burlington/Burlington"," 131","Burlington",4,21,69,77,0,171,341
"Burlington/Burlington"," 132","Burlington",13,45,55,53,2,168,399
"Burlington/Burlington"," 133","Burlington",10,23,51,85,1,170,261
"Burlington/Burlington"," 134","Burlington",14,52,82,90,0,238,362
"Burlington/Burlington"," 135","Burlington",12,23,68,74,0,177,313
"Burlington/Burlington"," 136","Burlington",15,56,88,115,5,279,455
"Burlington/Burlington"," 137","Burlington",30,44,72,104,0,250,456
"Burlington/Burlington"," 138","Burlington",14,36,37,87,0,174,233
"Burlington/Burlington"," 139","Burlington",7,27,53,46,1,134,252
"Burlington/Burlington"," 140","Burlington",20,41,82,78,2,223,360
"Burlington/Burlington"," 141","Burlington",12,27,88,82,1,210,315
"Burlington/Burlington"," 142A","Burlington",7,29,45,62,1,144,275
"Burlington/Burlington"," 142B","Burlington",15,21,51,71,1,159,294
"Burlington/Burlington"," 143A","Burlington",15,28,47,61,0,151,248
"Burlington/Burlington"," 143B","Burlington",10,24,72,75,0,181,286
"Burlington/Burlington"," 144","Burlington",16,18,118,98,1,251,400
"Burlington/Burlington"," 145","Burlington",10,30,75,71,0,186,301
"Burlington/Burlington"," 146","Burlington",13,33,83,90,0,219,334
"Burlington/Burlington"," 147","Burlington",12,31,76,83,2,204,379
"Burlington/Burlington"," 148","Burlington",12,20,63,72,1,168,295
"Burlington/Burlington"," 149","Burlington",14,25,96,78,1,214,298
"Burlington/Burlington"," 150","Burlington",7,19,104,55,0,185,258
"Burlington/Burlington"," 151","Burlington",24,29,97,95,0,245,347
"Burlington/Burlington"," 152","Burlington",23,36,96,107,1,263,380
"Burlington/Burlington"," 153","Burlington",11,27,67,55,2,162,256
"Burlington/Burlington"," 154","Burlington",8,30,64,45,0,147,215
"Burlington/Burlington"," 155","Burlington",17,41,92,102,0,252,387
"Burlington/Burlington"," 156","Burlington",7,26,54,60,1,148,378
"Burlington/Burlington"," 157","Burlington",6,16,43,50,1,116,248
"Burlington/Burlington"," 158","Burlington",18,17,78,67,1,181,305
"Burlington/Burlington"," 159","Burlington",15,33,118,86,1,253,356
"Burlington/Burlington"," 160","Burlington",7,10,45,66,0,128,232
"Burlington/Burlington"," 161","Burlington",13,40,111,71,0,235,365
"Burlington/Burlington"," 162","Burlington",10,20,79,64,0,173,322
"Burlington/Burlington"," 163","Burlington",18,46,106,84,0,254,387
"Burlington/Burlington"," 164","Burlington",6,26,51,40,2,125,223
"Burlington/Burlington"," 165","Burlington",6,23,91,82,1,203,364
"Burlington/Burlington"," 166","Burlington",13,12,95,155,0,275,472
"Burlington/Burlington"," 167","Burlington",15,16,91,123,1,246,395
"Burlington/Burlington"," 168","Burlington",14,32,149,99,1,295,431
"Burlington/Burlington"," 169","Burlington",8,9,89,65,0,171,305
"Burlington/Burlington"," 170","Burlington",7,12,82,63,0,164,250
"Burlington/Burlington"," 171","Burlington",11,25,66,63,0,165,346
"Burlington/Burlington"," 172","Burlington",8,13,62,87,1,171,283
"Burlington/Burlington"," 173","Burlington",11,38,86,100,0,235,403
"Burlington/Burlington"," 174","Burlington",4,16,126,128,0,274,427
"Burlington/Burlington"," 175","Burlington",14,23,94,112,0,243,377
"Burlington/Burlington"," 176A","Burlington",4,12,73,84,0,173,271
"Burlington/Burlington"," 176B","Burlington",11,4,69,72,1,157,266
"Burlington/Burlington"," 177","Burlington",9,18,71,90,1,189,279
"Burlington/Burlington"," 178","Burlington",0,11,64,97,0,172,257
"Burlington/Burlington"," 179","Burlington",7,15,65,85,0,172,249
"Burlington/Burlington"," 180","Burlington",10,31,59,61,0,161,339
"Burlington/Burlington"," 181","Burlington",15,73,61,92,1,242,440
"Burlington/Burlington"," 182","Burlington",13,15,77,79,0,184,347
"Burlington/Burlington"," 183","Burlington",8,9,61,60,0,138,223
"Burlington/Burlington"," 184","Burlington",10,13,55,40,0,118,240
"Burlington/Burlington"," 185","Burlington",8,42,50,58,1,159,307
"Burlington/Burlington"," 186","Burlington",13,31,63,66,1,174,288
"Burlington/Burlington"," 187","Burlington",27,26,114,95,2,264,392
"Burlington/Burlington"," 188","Burlington",33,19,103,77,0,232,372
"Burlington/Burlington"," 189","Burlington",12,57,117,93,1,280,498
"Burlington/Burlington"," 190","Burlington",4,16,71,50,0,141,280
"Burlington/Burlington"," 191","Burlington",6,58,61,61,2,188,349
"Burlington/Burlington"," 192","Burlington",20,48,81,85,1,235,397
"Burlington/Burlington"," 193","Burlington",6,38,59,53,0,156,297
"Burlington/Burlington"," 194","Burlington",21,35,138,123,2,319,492
"Burlington/Burlington"," 195A","Burlington",6,32,64,60,0,162,259
"Burlington/Burlington"," 195B","Burlington",6,17,83,67,0,173,250
"Burlington/Burlington"," 196","Burlington",2,29,82,91,0,204,340
"Burlington/Burlington"," 197","Burlington",19,35,78,56,0,188,344
"Burlington/Burlington"," 198","Burlington",6,15,122,105,0,248,375
"Burlington/Burlington"," 199","Burlington",11,31,64,60,0,166,310
"Burlington/Burlington"," 200","Burlington",10,38,120,140,4,312,446
"Burlington/Burlington"," 201","Burlington",1,5,51,54,0,111,197
"Burlington/Burlington"," 202","Burlington",11,22,87,86,1,207,369
"Burlington/Burlington"," 203","Burlington",10,23,53,78,0,164,185
"Burlington/Burlington"," 204","Burlington",Merged with No. 203/Fusionné avec le nº 203,,,,,,132
"Burlington/Burlington"," 205","Burlington",6,31,94,72,2,205,359
"Burlington/Burlington"," 206","Burlington",6,26,68,98,0,198,318
"Burlington/Burlington"," 207","Burlington",22,24,61,92,0,199,352
"Burlington/Burlington"," 208","Burlington",9,44,81,77,0,211,354
"Burlington/Burlington"," 209","Burlington",13,33,79,97,1,223,347
"Burlington/Burlington"," 210","Burlington",7,32,90,116,2,247,446
"Burlington/Burlington"," 211","Burlington",12,27,67,87,1,194,296
"Burlington/Burlington"," 212","Burlington",16,33,122,120,2,293,433
"Burlington/Burlington"," 213","Burlington",10,60,76,91,0,237,478
"Burlington/Burlington"," 214A","Burlington",6,31,45,26,0,108,263
"Burlington/Burlington"," 214B","Burlington",8,25,56,44,1,134,304
"Burlington/Burlington"," 215","Burlington",9,32,51,57,1,150,405
"Burlington/Burlington"," 216","Burlington",15,24,108,99,0,246,408
"Burlington/Burlington"," 217","Burlington",16,14,92,121,0,243,378
"Burlington/Burlington"," 218","Burlington",13,30,80,100,0,223,380
"Burlington/Burlington"," 219","Burlington",10,33,87,107,0,237,383
"Burlington/Burlington"," 220","Burlington",8,37,108,99,1,253,427
"Burlington/Burlington"," 221","Burlington",9,15,81,123,0,228,363
"Burlington/Burlington"," 222","Burlington",13,26,99,105,0,243,418
"Burlington/Burlington"," 223","Burlington",22,26,108,107,0,263,409
"Burlington/Burlington"," 224","Burlington",20,35,96,94,1,246,378
"Burlington/Burlington"," 225","Burlington",13,24,93,98,0,228,378
"Burlington/Burlington"," 226","Burlington",19,37,79,116,1,252,418
"Burlington/Burlington"," 227A","Burlington",5,34,40,66,0,145,251
"Burlington/Burlington"," 227B","Burlington",7,38,43,57,0,145,266
"Burlington/Burlington"," 228","Burlington",1,22,60,61,0,144,268
"Burlington/Burlington"," 229","Burlington",11,24,92,114,3,244,407
"Burlington/Burlington"," 230","Burlington",8,37,98,110,1,254,436
"Burlington/Burlington"," 231A","Burlington",9,20,107,99,1,236,372
"Burlington/Burlington"," 231B","Burlington",9,34,66,88,0,197,343
"Burlington/Burlington"," 232A","Burlington",13,24,54,74,1,166,291
"Burlington/Burlington"," 232B","Burlington",17,26,64,64,0,171,296
"Burlington/Burlington"," 400","Burlington",0,15,68,88,2,173,218
"Burlington/Burlington"," 401","Burlington",9,21,95,111,0,236,290
"Burlington/Burlington"," 402","Burlington",13,31,120,114,2,280,379
"Burlington/Burlington"," 403","Burlington",4,23,93,82,4,206,297
"Burlington/Burlington"," 404","Burlington",4,22,102,61,0,189,257
"Burlington/Burlington"," 405","Burlington",8,34,88,71,3,204,259
"Burlington/Burlington"," 406","Burlington",7,42,95,83,0,227,288
"Burlington/Burlington"," 407","Burlington",4,22,66,72,0,164,233
"Burlington/Burlington"," 408","Burlington",2,20,61,57,1,141,183
"Burlington/Burlington"," 409","Burlington",12,17,77,81,1,188,259
"Burlington/Burlington"," 410","Burlington",5,6,82,77,1,171,196
"Burlington/Burlington"," 411","Burlington",8,20,61,62,0,151,203
"Burlington/Burlington"," 412","Burlington",8,24,85,48,3,168,211
"Burlington/Burlington"," 413","Burlington",4,20,56,60,0,140,221
"Burlington/Burlington"," 414","Burlington",5,11,26,43,3,88,118
"Burlington/Burlington"," 500","Mobile poll/Bureau itinérant",1,19,57,15,4,96,136
"Burlington/Burlington"," 501","Mobile poll/Bureau itinérant",2,6,26,16,0,50,147
"Burlington/Burlington"," 502","Mobile poll/Bureau itinérant",11,23,53,56,2,145,181
"Burlington/Burlington"," 503","Mobile poll/Bureau itinérant",5,12,57,31,3,108,196
"Burlington/Burlington"," 504","Mobile poll/Bureau itinérant",5,19,53,45,2,124,151
"Burlington/Burlington"," 505","Mobile poll/Bureau itinérant",4,24,73,45,0,146,198
"Burlington/Burlington"," 506","Mobile poll/Bureau itinérant",0,11,52,44,4,111,189
"Burlington/Burlington"," 507","Mobile poll/Bureau itinérant",0,8,49,57,1,115,173
"Burlington/Burlington"," 508","Mobile poll/Bureau itinérant",3,21,49,64,2,139,179
"Burlington/Burlington"," 509","Mobile poll/Bureau itinérant",0,9,25,24,0,58,138
"Burlington/Burlington"," 600","Burlington",21,36,192,249,1,499,
"Burlington/Burlington"," 601","Burlington",31,50,255,426,2,764,
"Burlington/Burlington"," 602","Burlington",31,44,249,362,0,686,
"Burlington/Burlington"," 603","Burlington",5,31,102,155,0,293,
"Burlington/Burlington"," 604","Burlington",35,44,286,463,4,832,
"Burlington/Burlington"," 605","Burlington",26,67,295,327,1,716,
"Burlington/Burlington"," 606","Burlington",23,63,195,325,2,608,
"Burlington/Burlington"," 607","Burlington",31,60,230,299,4,624,
"Burlington/Burlington"," 608","Burlington",27,72,215,300,1,615,
"Burlington/Burlington"," 609","Burlington",24,27,194,281,0,526,
"Burlington/Burlington"," 610","Burlington",10,45,162,253,0,470,
"Burlington/Burlington"," 611","Burlington",25,51,200,302,2,580,
"Burlington/Burlington"," 612","Burlington",24,55,253,391,2,725,
"Burlington/Burlington",,Group 1/Groupe 1,6,10,42,37,3,98,212
"Burlington/Burlington",,Group 2/Groupe 2,53,114,748,879,10,1804,
