Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trey Capnerhurst,Arlene Chapman,Peter Goldring,Nicole Martel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton East/Edmonton-Est"," 1A","Edmonton",8,29,122,63,0,222,483
"Edmonton East/Edmonton-Est"," 1B","Edmonton",7,36,91,42,0,176,391
"Edmonton East/Edmonton-Est"," 2A","Edmonton",5,28,112,61,0,206,447
"Edmonton East/Edmonton-Est"," 2B","Edmonton",3,17,117,67,0,204,463
"Edmonton East/Edmonton-Est"," 3A","Edmonton",7,16,94,94,0,211,449
"Edmonton East/Edmonton-Est"," 3B","Edmonton",2,17,85,88,0,192,396
"Edmonton East/Edmonton-Est"," 3-1A","Edmonton",13,19,108,51,0,191,374
"Edmonton East/Edmonton-Est"," 3-1B","Edmonton",3,15,91,48,3,160,393
"Edmonton East/Edmonton-Est"," 4","Edmonton",11,22,100,100,0,233,520
"Edmonton East/Edmonton-Est"," 5","Edmonton",17,51,133,58,0,259,512
"Edmonton East/Edmonton-Est"," 6","Edmonton",4,29,108,60,1,202,405
"Edmonton East/Edmonton-Est"," 7","Edmonton",6,21,85,53,0,165,269
"Edmonton East/Edmonton-Est"," 8","Edmonton",3,36,104,52,1,196,389
"Edmonton East/Edmonton-Est"," 9","Edmonton",3,20,97,51,2,173,322
"Edmonton East/Edmonton-Est"," 10","Edmonton",2,33,83,65,1,184,359
"Edmonton East/Edmonton-Est"," 11","Edmonton",12,28,136,80,1,257,402
"Edmonton East/Edmonton-Est"," 12","Edmonton",6,20,34,50,2,112,440
"Edmonton East/Edmonton-Est"," 13","Edmonton",5,12,40,43,0,100,278
"Edmonton East/Edmonton-Est"," 14","Edmonton",9,20,112,61,3,205,374
"Edmonton East/Edmonton-Est"," 15","Edmonton",9,28,72,84,1,194,396
"Edmonton East/Edmonton-Est"," 16","Edmonton",10,24,100,75,0,209,417
"Edmonton East/Edmonton-Est"," 17","Edmonton",8,26,48,44,0,126,372
"Edmonton East/Edmonton-Est"," 18","Edmonton",3,22,49,37,2,113,282
"Edmonton East/Edmonton-Est"," 19","Edmonton",3,28,104,70,0,205,360
"Edmonton East/Edmonton-Est"," 20","Edmonton",1,26,65,18,0,110,262
"Edmonton East/Edmonton-Est"," 21","Edmonton",21,21,114,36,0,192,374
"Edmonton East/Edmonton-Est"," 22","Edmonton",8,26,76,50,1,161,352
"Edmonton East/Edmonton-Est"," 23A","Edmonton",8,21,113,106,1,249,531
"Edmonton East/Edmonton-Est"," 23B","Edmonton",7,20,110,73,0,210,466
"Edmonton East/Edmonton-Est"," 24","Edmonton",6,24,100,95,1,226,478
"Edmonton East/Edmonton-Est"," 25","Edmonton",4,15,108,83,0,210,446
"Edmonton East/Edmonton-Est"," 26A","Edmonton",0,21,64,50,0,135,345
"Edmonton East/Edmonton-Est"," 26B","Edmonton",3,11,79,72,1,166,334
"Edmonton East/Edmonton-Est"," 27A","Edmonton",7,15,91,51,0,164,350
"Edmonton East/Edmonton-Est"," 27B","Edmonton",5,19,84,56,0,164,343
"Edmonton East/Edmonton-Est"," 28A","Edmonton",7,19,104,79,0,209,409
"Edmonton East/Edmonton-Est"," 28B","Edmonton",6,22,102,77,1,208,403
"Edmonton East/Edmonton-Est"," 29","Edmonton",7,19,87,55,2,170,348
"Edmonton East/Edmonton-Est"," 30","Edmonton",3,18,130,73,0,224,510
"Edmonton East/Edmonton-Est"," 31A","Edmonton",11,16,75,55,0,157,309
"Edmonton East/Edmonton-Est"," 31B","Edmonton",5,16,76,43,1,141,331
"Edmonton East/Edmonton-Est"," 32","Edmonton",12,39,127,78,0,256,427
"Edmonton East/Edmonton-Est"," 33","Edmonton",11,45,155,97,2,310,539
"Edmonton East/Edmonton-Est"," 34","Edmonton",8,37,124,30,0,199,299
"Edmonton East/Edmonton-Est"," 35","Edmonton",11,36,91,63,0,201,289
"Edmonton East/Edmonton-Est"," 36","Edmonton",9,32,102,61,0,204,365
"Edmonton East/Edmonton-Est"," 37","Edmonton",8,23,79,54,0,164,277
"Edmonton East/Edmonton-Est"," 38","Edmonton",9,32,156,64,1,262,408
"Edmonton East/Edmonton-Est"," 39","Edmonton",12,32,67,38,0,149,338
"Edmonton East/Edmonton-Est"," 40","Edmonton",10,33,79,56,0,178,359
"Edmonton East/Edmonton-Est"," 41","Edmonton",7,21,59,38,0,125,375
"Edmonton East/Edmonton-Est"," 42","Edmonton",6,27,72,62,0,167,316
"Edmonton East/Edmonton-Est"," 43","Edmonton",5,31,69,42,2,149,480
"Edmonton East/Edmonton-Est"," 44","Edmonton",11,22,114,53,0,200,388
"Edmonton East/Edmonton-Est"," 45","Edmonton",10,35,95,55,2,197,354
"Edmonton East/Edmonton-Est"," 46","Edmonton",11,40,105,60,0,216,368
"Edmonton East/Edmonton-Est"," 47","Edmonton",Merged with No. 48/Fusionné avec le nº 48,,,,,,137
"Edmonton East/Edmonton-Est"," 48","Edmonton",10,30,190,57,0,287,327
"Edmonton East/Edmonton-Est"," 49A","Edmonton",14,37,147,60,0,258,476
"Edmonton East/Edmonton-Est"," 49B","Edmonton",10,28,146,63,1,248,433
"Edmonton East/Edmonton-Est"," 50A","Edmonton",5,32,90,68,0,195,434
"Edmonton East/Edmonton-Est"," 50B","Edmonton",6,20,104,55,0,185,391
"Edmonton East/Edmonton-Est"," 51A","Edmonton",8,27,109,68,0,212,421
"Edmonton East/Edmonton-Est"," 51B","Edmonton",7,25,88,33,0,153,294
"Edmonton East/Edmonton-Est"," 52","Edmonton",4,18,82,40,0,144,280
"Edmonton East/Edmonton-Est"," 53","Edmonton",10,21,134,66,0,231,473
"Edmonton East/Edmonton-Est"," 54","Edmonton",9,23,102,85,0,219,416
"Edmonton East/Edmonton-Est"," 55","Edmonton",10,22,144,47,0,223,406
"Edmonton East/Edmonton-Est"," 56","Edmonton",8,13,115,51,0,187,346
"Edmonton East/Edmonton-Est"," 57","Edmonton",8,23,80,28,1,140,264
"Edmonton East/Edmonton-Est"," 58","Edmonton",1,24,84,46,0,155,260
"Edmonton East/Edmonton-Est"," 59","Edmonton",4,15,109,55,1,184,364
"Edmonton East/Edmonton-Est"," 60","Edmonton",5,47,180,57,0,289,537
"Edmonton East/Edmonton-Est"," 61","Edmonton",11,33,102,46,1,193,416
"Edmonton East/Edmonton-Est"," 62A","Edmonton",11,20,71,16,0,118,314
"Edmonton East/Edmonton-Est"," 62B","Edmonton",4,22,78,44,0,148,312
"Edmonton East/Edmonton-Est"," 63","Edmonton",12,27,125,64,0,228,411
"Edmonton East/Edmonton-Est"," 64","Edmonton",7,39,142,58,0,246,394
"Edmonton East/Edmonton-Est"," 65","Edmonton",11,31,85,42,0,169,471
"Edmonton East/Edmonton-Est"," 66","Edmonton",4,17,59,36,0,116,260
"Edmonton East/Edmonton-Est"," 67","Edmonton",18,30,108,61,0,217,474
"Edmonton East/Edmonton-Est"," 68A","Edmonton",5,42,144,63,0,254,500
"Edmonton East/Edmonton-Est"," 68B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,56
"Edmonton East/Edmonton-Est"," 68C","Edmonton",9,49,121,69,0,248,500
"Edmonton East/Edmonton-Est"," 68D","Edmonton",17,57,127,56,1,258,478
"Edmonton East/Edmonton-Est"," 68-1","Edmonton",6,41,123,50,0,220,461
"Edmonton East/Edmonton-Est"," 69","Edmonton",9,23,113,44,1,190,355
"Edmonton East/Edmonton-Est"," 70","Edmonton",10,32,133,33,0,208,358
"Edmonton East/Edmonton-Est"," 71","Edmonton",14,26,85,33,1,159,310
"Edmonton East/Edmonton-Est"," 72","Edmonton",11,62,141,45,0,259,569
"Edmonton East/Edmonton-Est"," 73","Edmonton",13,19,64,43,1,140,369
"Edmonton East/Edmonton-Est"," 74","Edmonton",4,49,99,39,0,191,470
"Edmonton East/Edmonton-Est"," 75","Edmonton",8,35,130,40,0,213,364
"Edmonton East/Edmonton-Est"," 76","Edmonton",13,44,144,50,0,251,460
"Edmonton East/Edmonton-Est"," 77","Edmonton",12,38,113,70,0,233,413
"Edmonton East/Edmonton-Est"," 78","Edmonton",9,18,132,83,0,242,389
"Edmonton East/Edmonton-Est"," 79A","Edmonton",3,19,69,28,0,119,252
"Edmonton East/Edmonton-Est"," 79B","Mobile poll/Bureau itinérant",1,14,51,18,1,85,54
"Edmonton East/Edmonton-Est"," 80","Edmonton",4,26,127,63,0,220,393
"Edmonton East/Edmonton-Est"," 81","Edmonton",13,59,118,77,0,267,455
"Edmonton East/Edmonton-Est"," 82","Edmonton",10,34,144,60,0,248,446
"Edmonton East/Edmonton-Est"," 83","Edmonton",6,23,100,31,0,160,378
"Edmonton East/Edmonton-Est"," 84","Edmonton",1,22,87,32,0,142,331
"Edmonton East/Edmonton-Est"," 85","Edmonton",7,21,43,24,0,95,225
"Edmonton East/Edmonton-Est"," 86","Edmonton",11,24,70,63,2,170,319
"Edmonton East/Edmonton-Est"," 87","Edmonton",10,34,101,38,0,183,323
"Edmonton East/Edmonton-Est"," 88","Edmonton",6,20,48,23,0,97,329
"Edmonton East/Edmonton-Est"," 89","Edmonton",6,31,64,31,0,132,327
"Edmonton East/Edmonton-Est"," 90","Edmonton",4,32,70,35,0,141,289
"Edmonton East/Edmonton-Est"," 91","Edmonton",11,39,102,34,1,187,405
"Edmonton East/Edmonton-Est"," 92","Edmonton",6,39,84,44,0,173,403
"Edmonton East/Edmonton-Est"," 93","Edmonton",6,38,104,43,0,191,418
"Edmonton East/Edmonton-Est"," 94","Edmonton",7,22,76,30,0,135,399
"Edmonton East/Edmonton-Est"," 95","Edmonton",5,33,86,48,0,172,352
"Edmonton East/Edmonton-Est"," 96","Edmonton",4,34,126,58,0,222,457
"Edmonton East/Edmonton-Est"," 97","Edmonton",11,30,98,43,0,182,409
"Edmonton East/Edmonton-Est"," 98","Edmonton",10,39,71,30,0,150,385
"Edmonton East/Edmonton-Est"," 99","Edmonton",6,31,91,49,0,177,342
"Edmonton East/Edmonton-Est"," 100","Edmonton",9,27,114,46,0,196,311
"Edmonton East/Edmonton-Est"," 101","Edmonton",13,28,114,55,0,210,341
"Edmonton East/Edmonton-Est"," 102","Edmonton",13,39,90,37,1,180,316
"Edmonton East/Edmonton-Est"," 103","Edmonton",10,15,58,37,0,120,219
