Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy André,Anne-Marie Aubert,Marie-Claude Godue,Nathalie Gratton,Serge Lafrenière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Berthier--Maskinongé/Berthier--Maskinongé"," 1","Saint-Alexis-des-Monts",64,10,40,3,12,1,130,216
"Berthier--Maskinongé/Berthier--Maskinongé"," 2","Saint-Élie",145,19,110,12,22,7,315,526
"Berthier--Maskinongé/Berthier--Maskinongé"," 3","Saint-Élie",104,4,79,9,27,6,229,394
"Berthier--Maskinongé/Berthier--Maskinongé"," 4","Saint-Élie",69,4,76,10,14,4,177,352
"Berthier--Maskinongé/Berthier--Maskinongé"," 5","Charette",61,9,62,1,17,2,152,293
"Berthier--Maskinongé/Berthier--Maskinongé"," 6","Charette",105,12,92,9,22,3,243,454
"Berthier--Maskinongé/Berthier--Maskinongé"," 7","Saint-Paulin",119,17,115,16,29,3,299,454
"Berthier--Maskinongé/Berthier--Maskinongé"," 8","Saint-Paulin",88,14,109,6,33,2,252,396
"Berthier--Maskinongé/Berthier--Maskinongé"," 9","Saint-Paulin",104,17,102,6,33,3,265,453
"Berthier--Maskinongé/Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",110,4,66,6,23,6,215,378
"Berthier--Maskinongé/Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",92,9,66,4,22,0,193,389
"Berthier--Maskinongé/Berthier--Maskinongé"," 12","Saint-Alexis-des-Monts",118,4,59,10,17,1,209,393
"Berthier--Maskinongé/Berthier--Maskinongé"," 13","Saint-Alexis-des-Monts",100,3,60,4,32,2,201,350
"Berthier--Maskinongé/Berthier--Maskinongé"," 14","Saint-Alexis-des-Monts",73,5,33,3,38,2,154,272
"Berthier--Maskinongé/Berthier--Maskinongé"," 15","Saint-Alexis-des-Monts",127,10,71,9,19,4,240,491
"Berthier--Maskinongé/Berthier--Maskinongé"," 16","Sainte-Angèle-de-Prémont",98,5,66,7,11,5,192,326
"Berthier--Maskinongé/Berthier--Maskinongé"," 17","Sainte-Angèle-de-Prémont",58,7,51,6,14,1,137,211
"Berthier--Maskinongé/Berthier--Maskinongé"," 18","Saint-Mathieu",119,22,51,22,21,5,240,378
"Berthier--Maskinongé/Berthier--Maskinongé"," 19","Saint-Mathieu",146,25,61,13,25,3,273,439
"Berthier--Maskinongé/Berthier--Maskinongé"," 20","Saint-Mathieu",75,15,46,18,22,4,180,317
"Berthier--Maskinongé/Berthier--Maskinongé"," 21","Saint-Boniface-de-Shawinigan",90,25,113,25,13,2,268,426
"Berthier--Maskinongé/Berthier--Maskinongé"," 22","Saint-Boniface-de-Shawinigan",122,13,63,15,8,6,227,346
"Berthier--Maskinongé/Berthier--Maskinongé"," 23","Saint-Boniface-de-Shawinigan",97,12,71,11,9,1,201,352
"Berthier--Maskinongé/Berthier--Maskinongé"," 24A","Saint-Boniface-de-Shawinigan",98,9,74,6,18,4,209,366
"Berthier--Maskinongé/Berthier--Maskinongé"," 24B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,43
"Berthier--Maskinongé/Berthier--Maskinongé"," 25","Saint-Boniface-de-Shawinigan",121,19,68,10,11,3,232,381
"Berthier--Maskinongé/Berthier--Maskinongé"," 26","Saint-Boniface-de-Shawinigan",161,16,114,13,15,4,323,527
"Berthier--Maskinongé/Berthier--Maskinongé"," 27","Saint-Boniface-de-Shawinigan",120,9,75,6,11,4,225,364
"Berthier--Maskinongé/Berthier--Maskinongé"," 28","Saint-Boniface-de-Shawinigan",103,12,82,14,31,4,246,409
"Berthier--Maskinongé/Berthier--Maskinongé"," 29","Saint-Étienne-des-Grès",128,36,110,14,21,4,313,481
"Berthier--Maskinongé/Berthier--Maskinongé"," 30","Saint-Étienne-des-Grès",134,30,97,8,24,1,294,476
"Berthier--Maskinongé/Berthier--Maskinongé"," 31","Saint-Étienne-des-Grès",150,35,99,18,18,4,324,538
"Berthier--Maskinongé/Berthier--Maskinongé"," 32","Saint-Étienne-des-Grès",178,24,87,7,11,6,313,528
"Berthier--Maskinongé/Berthier--Maskinongé"," 33","Saint-Étienne-des-Grès",99,13,72,14,16,7,221,495
"Berthier--Maskinongé/Berthier--Maskinongé"," 34","Saint-Étienne-des-Grès",125,19,90,11,22,7,274,545
"Berthier--Maskinongé/Berthier--Maskinongé"," 35","Trois-Rivières-Ouest",72,12,40,7,23,2,156,319
