Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sandra Cooze,Judy Davis,Aaron Hynes,Scott Simms,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 1","Cottrell's Cove ",9,4,54,46,0,113,215
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 2","Leading Tickles",12,1,89,145,3,250,393
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 3A","Point Leamington",17,1,62,83,0,163,303
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 3B","Point Leamington",17,5,64,67,0,153,315
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 4","Point of Bay",5,1,45,51,0,102,195
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 5","Northern Arm",13,0,96,67,0,176,287
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 6","Botwood",11,1,97,105,1,215,528
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 7","Botwood",11,2,93,118,0,224,434
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 8","Botwood",8,0,46,60,1,115,232
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 9","Botwood",15,2,97,90,0,204,377
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 10","Botwood",3,0,57,72,0,132,263
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 11","Botwood",14,0,58,98,1,171,386
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 12","Botwood",8,0,48,69,0,125,339
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 13","Peterview",8,2,38,90,2,140,326
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 14","Peterview",7,4,28,60,1,100,312
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 15","Little Burnt Bay",4,0,50,29,2,85,233
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 16","Comfort Cove-Newstead",9,1,91,78,0,179,402
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 17","Boyd's Cove",12,1,45,66,2,126,216
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 18","Laurenceton",3,0,47,24,0,74,141
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 18-1","Brown's Arm--Porterville",6,3,138,37,0,184,270
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 19","Embree",9,0,115,39,0,163,285
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 20","Stanhope",10,0,87,32,0,129,227
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 21","Embree",9,1,61,47,0,118,232
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 22","Campbellton",14,1,116,81,1,213,408
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 23","Lewisporte",9,2,99,58,1,169,287
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 24A","Lewisporte",4,1,77,55,0,137,320
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 24B","Lewisporte",15,0,67,50,0,132,303
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 25A","Lewisporte",14,2,110,59,1,186,318
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 25B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,56
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 26A","Lewisporte",5,1,82,79,0,167,308
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 26B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,60
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 27","Lewisporte",7,1,74,52,0,134,280
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 28","Lewisporte",7,0,71,56,0,134,291
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 29","Lewisporte",7,0,69,54,1,131,285
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 30","Lewisporte",13,0,139,82,1,235,454
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 31","Campbellton--Loon Bay",5,0,61,44,1,111,194
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 32","Baytona",9,2,75,45,1,132,235
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 32-1","Birchy Bay",12,3,146,85,1,247,473
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 33","Valley Pond",5,0,18,36,0,59,97
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 34","Moreton's Harbour",24,1,69,87,0,181,295
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 35","Cottlesville",14,2,69,54,0,139,235
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 36","Summerford",21,0,110,137,2,270,573
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 37","Carter's Cove",4,2,57,33,0,96,227
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 38","Summerford",6,1,40,26,1,74,190
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 39","Virgin Arm",3,4,55,35,2,99,272
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 40","Fairbank",5,0,37,29,0,71,129
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 41","Hillgrade",6,1,35,38,0,80,186
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 42","Herring Neck",10,1,51,34,0,96,239
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 43","Pikes Arm",15,2,41,76,2,136,251
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 44","Durrell",8,2,23,64,0,97,222
