Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Graham,Erik Millett,Stan Smith,Greg Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1","Kingsclear",21,0,57,11,1,90,340
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1-1","Kingsclear",Void/Supprimé,,,,,,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 2","Kingsclear",55,2,77,111,0,245,350
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 3","Island View",38,9,90,126,1,264,397
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4A","Hanwell",41,6,58,95,0,200,292
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4B","Hanwell",43,4,77,56,2,182,279
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 5","Hanwell",77,11,150,116,1,355,505
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 6","Hanwell",67,3,83,86,2,241,408
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 7","Parc Greenwood Park",26,3,50,59,1,139,347
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 8","Hanwell",50,2,88,137,0,277,377
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 9","Hanwell",61,9,142,159,0,371,522
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10","Hanwell",74,17,105,140,3,339,628
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 11","Mazerolle Settlement",59,13,92,109,1,274,393
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 12","Mazerolle Settlement",47,9,51,91,1,199,271
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 13","Newmarket",61,6,90,137,1,295,442
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 14","Prince William",33,4,69,135,3,244,397
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 15","Magaguadavic",36,5,50,108,0,199,282
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 16","Hawkshaw--Dumfries",33,12,54,73,0,172,300
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 17","McAdam",22,2,34,143,0,201,335
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 18","McAdam",15,5,27,116,1,164,300
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 19","McAdam",16,0,14,127,1,158,284
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 20","McAdam",15,1,17,81,0,114,221
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 21","York Mills",22,2,31,93,0,148,253
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 22","Manners Sutton",24,3,44,127,0,198,294
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 23","Tweedside",37,4,58,138,0,237,344
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 24","Harvey",45,5,70,131,2,253,428
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 25","Harvey",47,8,64,103,1,223,370
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 26","Beaver Dam",92,2,103,118,3,318,486
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 27","Charters Settlement",90,6,90,134,1,321,472
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 28","Nasonworth",79,6,102,148,0,335,465
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 29","Nasonworth",50,8,86,114,0,258,382
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 30","Tracy",46,7,48,154,1,256,453
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 31","Tracy",37,4,46,183,6,276,399
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 32","Fredericton Junction",32,3,49,126,1,211,360
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 33","Fredericton Junction",28,2,43,101,4,178,305
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 34","Hoyt",38,8,63,113,2,224,308
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 35","Hoyt",24,5,54,111,1,195,307
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 36","Wirral",20,10,48,82,3,163,228
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 37","Welsford",59,6,77,97,5,244,416
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 38","Hampstead",25,8,38,78,1,150,221
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 39","Upper Gagetown",42,8,44,85,2,181,258
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40A","Gagetown",55,26,75,159,4,319,548
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,41
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,23
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 41A","Youngs Cove",39,7,34,99,4,183,326
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 41B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,64
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 42","Jemseg",21,6,42,54,0,123,176
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 43A","Shannon",32,1,44,117,1,195,291
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 43B","Mobile poll/Bureau itinérant",0,2,10,14,1,27,13
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 44","Cambridge-Narrows",45,10,91,153,1,300,584
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 45","Coles Island",25,6,30,96,2,159,221
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 46","Long Creek",50,7,45,84,1,187,317
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 47","Head of Millstream",68,9,51,94,1,223,314
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 48","Havelock",53,12,82,101,2,250,422
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 49","Smith Creek",56,4,59,87,0,206,347
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 50","Roachville",38,3,36,124,0,201,316
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 51","Berwick",52,11,45,125,1,234,352
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 52A","Studholm",31,10,32,69,2,144,256
