Province,Electors/Électeurs 2006,Electors/Électeurs 2004,Electors/Électeurs 2000,Electors/Électeurs 1997,Polling Stations/Bureaux de scrutin 2006,Polling Stations/Bureaux de scrutin 2004,Polling Stations/Bureaux de scrutin 2000,Polling Stations/Bureaux de scrutin 1997,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2006,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2004,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2000,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 1997
Newfoundland and Labrador/Terre-Neuve-et-Labrador,403982,405032,405210,407109,1475,1445,1404,1393,274,280,289,292
Prince Edward Island/Île-du-Prince-Édouard,107677,109031,103034,97802,337,331,324,320,320,329,318,306
Nova Scotia/Nouvelle-Écosse,750829,706932,694984,677164,2311,2225,2215,2206,325,318,314,307
New Brunswick/Nouveau-Brunswick,594104,597440,571569,551530,1919,1916,1790,1755,310,312,319,314
Quebec/Québec,5852528,5800109,5542169,5177159,16158,15880,15279,15025,362,365,363,345
Ontario,8536359,8294928,7713744,7115785,23781,23030,21621,20938,359,360,357,340
Manitoba,831278,841061,786309,758526,2486,2498,2419,2406,334,337,325,315
Saskatchewan,712427,723922,698145,679806,2366,2337,2295,2258,301,310,304,301
Alberta,2322108,2171584,2094001,1811413,6380,6231,5690,5544,364,349,368,327
British Columbia/Colombie-Britannique,2875950,2750577,2574322,2332083,8047,7735,7467,7281,357,356,345,320
Yukon,21493,20345,20901,19934,95,92,86,88,226,221,243,227
Northwest Territories/Territoires du Nord-Ouest,28792,28619,24716,35167,86,85,92,135,335,337,269,260
Nunavut,17088,17041,14369,0,36,54,46,0,475,316,312,0
