Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,David Emerson,Connie Fogal,Matt Kadioglu,Donna Petersen,Arno Schortinghuis,Ian Waddell,Kanman Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Kingsway/Vancouver Kingsway"," 1","Vancouver",0,125,1,0,0,12,87,44,0,269,430
"Vancouver Kingsway/Vancouver Kingsway"," 2","Vancouver",0,77,0,0,0,11,72,32,1,193,304
"Vancouver Kingsway/Vancouver Kingsway"," 3","Vancouver",0,113,0,1,0,21,124,37,0,296,501
"Vancouver Kingsway/Vancouver Kingsway"," 4","Vancouver",0,88,0,1,0,10,62,28,0,189,309
"Vancouver Kingsway/Vancouver Kingsway"," 5","Vancouver",1,131,0,3,1,15,99,57,0,307,522
"Vancouver Kingsway/Vancouver Kingsway"," 6","Vancouver",0,128,0,1,0,9,67,34,1,240,387
"Vancouver Kingsway/Vancouver Kingsway"," 7","Vancouver",0,86,0,0,0,10,92,18,0,206,329
"Vancouver Kingsway/Vancouver Kingsway"," 8","Vancouver",0,128,1,0,0,10,41,48,1,229,365
"Vancouver Kingsway/Vancouver Kingsway"," 9","Vancouver",2,160,1,0,0,8,76,60,1,308,457
"Vancouver Kingsway/Vancouver Kingsway"," 10","Vancouver",0,72,0,0,0,3,30,28,0,133,227
"Vancouver Kingsway/Vancouver Kingsway"," 11","Vancouver",0,136,0,0,0,6,36,69,0,247,451
"Vancouver Kingsway/Vancouver Kingsway"," 12","Vancouver",1,87,0,2,0,8,24,49,0,171,330
"Vancouver Kingsway/Vancouver Kingsway"," 13A","Vancouver",0,76,0,0,0,2,23,37,0,138,259
"Vancouver Kingsway/Vancouver Kingsway"," 13B","Vancouver",0,105,0,0,0,2,20,55,1,183,325
"Vancouver Kingsway/Vancouver Kingsway"," 14","Vancouver",0,94,1,0,0,10,97,13,0,215,340
"Vancouver Kingsway/Vancouver Kingsway"," 15","Vancouver",0,101,0,1,1,13,72,38,0,226,349
"Vancouver Kingsway/Vancouver Kingsway"," 16","Vancouver",0,108,0,0,1,14,103,37,0,263,404
"Vancouver Kingsway/Vancouver Kingsway"," 17","Vancouver",0,114,1,0,0,15,84,35,0,249,410
"Vancouver Kingsway/Vancouver Kingsway"," 18","Vancouver",0,139,0,0,0,16,84,47,0,286,420
"Vancouver Kingsway/Vancouver Kingsway"," 19","Vancouver",0,158,0,1,0,11,87,44,0,301,458
"Vancouver Kingsway/Vancouver Kingsway"," 20","Vancouver",0,113,0,2,0,13,88,27,1,244,377
"Vancouver Kingsway/Vancouver Kingsway"," 21","Vancouver",1,83,0,0,1,13,105,29,0,232,384
"Vancouver Kingsway/Vancouver Kingsway"," 22","Vancouver",1,117,1,0,0,18,117,27,0,281,424
"Vancouver Kingsway/Vancouver Kingsway"," 23","Vancouver",0,95,0,1,0,7,91,25,2,221,419
"Vancouver Kingsway/Vancouver Kingsway"," 24A","Vancouver",2,58,0,0,0,10,77,11,0,158,296
"Vancouver Kingsway/Vancouver Kingsway"," 24B","Vancouver",0,54,0,0,0,8,67,12,0,141,319
"Vancouver Kingsway/Vancouver Kingsway"," 25","Vancouver",1,106,1,1,1,8,51,37,0,206,443
"Vancouver Kingsway/Vancouver Kingsway"," 26","Vancouver",0,87,2,1,0,13,95,22,0,220,336
"Vancouver Kingsway/Vancouver Kingsway"," 27","Vancouver",1,86,0,0,0,6,105,23,3,224,339
"Vancouver Kingsway/Vancouver Kingsway"," 28","Vancouver",0,118,2,1,0,12,132,33,1,299,518
"Vancouver Kingsway/Vancouver Kingsway"," 29A","Vancouver",3,70,0,1,0,10,65,35,0,184,324
"Vancouver Kingsway/Vancouver Kingsway"," 29B","Vancouver",0,61,1,0,0,3,50,19,2,136,264
"Vancouver Kingsway/Vancouver Kingsway"," 30","Vancouver",3,105,0,0,1,8,92,54,1,264,472
"Vancouver Kingsway/Vancouver Kingsway"," 31","Vancouver",0,91,1,0,0,10,71,42,0,215,397
"Vancouver Kingsway/Vancouver Kingsway"," 32","Vancouver",1,65,2,1,0,5,44,27,4,149,370
"Vancouver Kingsway/Vancouver Kingsway"," 33","Vancouver",1,112,0,1,1,16,94,38,4,267,492
"Vancouver Kingsway/Vancouver Kingsway"," 34","Vancouver",2,83,0,0,0,3,66,41,2,197,381
"Vancouver Kingsway/Vancouver Kingsway"," 35A","Vancouver",0,65,1,0,0,8,91,34,0,199,325
"Vancouver Kingsway/Vancouver Kingsway"," 35B","Vancouver",0,57,0,0,1,3,61,37,0,159,259
"Vancouver Kingsway/Vancouver Kingsway"," 36","Vancouver",0,69,0,1,2,6,94,48,1,221,411
"Vancouver Kingsway/Vancouver Kingsway"," 37","Vancouver",1,116,3,3,0,8,114,30,6,281,516
"Vancouver Kingsway/Vancouver Kingsway"," 38","Vancouver",0,85,0,1,1,7,104,28,0,226,389
"Vancouver Kingsway/Vancouver Kingsway"," 39","Vancouver",0,71,0,0,0,3,56,20,0,150,272
"Vancouver Kingsway/Vancouver Kingsway"," 40","Vancouver",0,60,0,1,0,5,87,24,0,177,298
"Vancouver Kingsway/Vancouver Kingsway"," 41","Vancouver",2,111,0,3,0,4,65,40,1,226,415
"Vancouver Kingsway/Vancouver Kingsway"," 42","Vancouver",1,143,0,1,0,5,55,56,0,261,489
"Vancouver Kingsway/Vancouver Kingsway"," 43","Vancouver",0,146,0,0,0,11,36,73,1,267,430
"Vancouver Kingsway/Vancouver Kingsway"," 44","Vancouver",0,127,0,1,2,14,129,43,0,316,491
"Vancouver Kingsway/Vancouver Kingsway"," 45","Vancouver",1,81,0,0,0,10,75,23,0,190,283
"Vancouver Kingsway/Vancouver Kingsway"," 46","Vancouver",0,59,1,0,0,10,70,24,0,164,289
"Vancouver Kingsway/Vancouver Kingsway"," 47","Vancouver",1,98,1,1,0,12,84,44,6,247,415
"Vancouver Kingsway/Vancouver Kingsway"," 48","Vancouver",0,123,0,2,0,8,115,43,2,293,491
"Vancouver Kingsway/Vancouver Kingsway"," 49","Vancouver",3,101,3,1,0,16,144,36,1,305,487
"Vancouver Kingsway/Vancouver Kingsway"," 50A","Vancouver",0,79,0,0,0,9,61,31,0,180,298
"Vancouver Kingsway/Vancouver Kingsway"," 50B","Vancouver",0,85,1,1,0,13,78,23,2,203,308
"Vancouver Kingsway/Vancouver Kingsway"," 51A","Vancouver",0,60,1,0,0,3,21,58,1,144,312
"Vancouver Kingsway/Vancouver Kingsway"," 51B","Vancouver",0,56,0,0,0,1,15,36,0,108,229
"Vancouver Kingsway/Vancouver Kingsway"," 52","Vancouver",2,129,0,3,0,9,27,71,1,242,519
"Vancouver Kingsway/Vancouver Kingsway"," 53","Vancouver",2,113,0,3,0,8,68,44,0,238,422
"Vancouver Kingsway/Vancouver Kingsway"," 54","Vancouver",2,64,0,2,0,5,130,34,3,240,496
"Vancouver Kingsway/Vancouver Kingsway"," 55","Vancouver",0,124,0,1,1,10,140,54,1,331,541
"Vancouver Kingsway/Vancouver Kingsway"," 56","Vancouver",2,106,0,0,2,12,101,57,2,282,455
"Vancouver Kingsway/Vancouver Kingsway"," 57","Vancouver",1,74,1,1,0,5,75,42,0,199,312
"Vancouver Kingsway/Vancouver Kingsway"," 58","Vancouver",0,108,3,0,0,4,103,73,0,291,511
"Vancouver Kingsway/Vancouver Kingsway"," 59","Vancouver",0,91,1,1,1,13,111,54,2,274,512
"Vancouver Kingsway/Vancouver Kingsway"," 60","Vancouver",1,98,2,1,2,6,130,49,1,290,505
"Vancouver Kingsway/Vancouver Kingsway"," 61","Vancouver",2,102,2,2,0,5,99,44,0,256,461
"Vancouver Kingsway/Vancouver Kingsway"," 62A","Vancouver",0,82,1,1,0,0,45,34,1,164,296
"Vancouver Kingsway/Vancouver Kingsway"," 62B","Vancouver",0,79,2,1,0,4,32,26,1,145,257
"Vancouver Kingsway/Vancouver Kingsway"," 63","Vancouver",2,97,0,0,0,9,111,30,0,249,445
"Vancouver Kingsway/Vancouver Kingsway"," 64","Vancouver",0,81,1,1,1,6,122,42,0,254,486
"Vancouver Kingsway/Vancouver Kingsway"," 65A","Vancouver",0,45,0,0,1,6,59,30,0,141,260
"Vancouver Kingsway/Vancouver Kingsway"," 65B","Vancouver",3,61,0,1,0,8,55,33,0,161,298
"Vancouver Kingsway/Vancouver Kingsway"," 66","Vancouver",0,99,1,3,0,4,103,33,0,243,464
"Vancouver Kingsway/Vancouver Kingsway"," 67A","Vancouver",1,82,0,2,3,5,45,40,3,181,319
"Vancouver Kingsway/Vancouver Kingsway"," 67B","Vancouver",0,77,0,2,0,1,44,35,0,159,283
"Vancouver Kingsway/Vancouver Kingsway"," 68","Vancouver",3,108,1,5,0,5,93,51,6,272,534
"Vancouver Kingsway/Vancouver Kingsway"," 69","Vancouver",1,120,1,1,0,5,79,48,1,256,488
"Vancouver Kingsway/Vancouver Kingsway"," 70","Vancouver",0,110,2,1,1,18,126,45,0,303,534
"Vancouver Kingsway/Vancouver Kingsway"," 71","Vancouver",1,123,3,2,1,11,100,35,4,280,470
"Vancouver Kingsway/Vancouver Kingsway"," 72","Vancouver",1,127,0,0,2,8,97,59,0,294,499
"Vancouver Kingsway/Vancouver Kingsway"," 73","Vancouver",0,114,0,0,1,8,72,68,0,263,528
"Vancouver Kingsway/Vancouver Kingsway"," 74A","Vancouver",0,74,1,0,0,3,37,21,2,138,297
"Vancouver Kingsway/Vancouver Kingsway"," 74B","Vancouver",1,46,0,4,1,6,43,22,1,124,278
"Vancouver Kingsway/Vancouver Kingsway"," 75","Vancouver",0,118,3,3,0,4,89,52,4,273,524
"Vancouver Kingsway/Vancouver Kingsway"," 76","Vancouver",1,106,3,2,1,8,45,38,0,204,361
"Vancouver Kingsway/Vancouver Kingsway"," 77","Vancouver",1,105,2,1,0,7,56,34,3,209,435
"Vancouver Kingsway/Vancouver Kingsway"," 78","Vancouver",0,147,0,1,0,3,80,60,3,294,508
"Vancouver Kingsway/Vancouver Kingsway"," 79","Vancouver",0,86,2,2,0,3,40,41,3,177,340
"Vancouver Kingsway/Vancouver Kingsway"," 80","Vancouver",0,104,0,3,0,2,73,61,2,245,446
"Vancouver Kingsway/Vancouver Kingsway"," 81","Vancouver",1,108,1,0,1,5,65,54,2,237,428
"Vancouver Kingsway/Vancouver Kingsway"," 82A","Vancouver",0,73,3,1,0,3,29,38,0,147,341
"Vancouver Kingsway/Vancouver Kingsway"," 82B","Vancouver",0,51,0,0,0,3,41,23,1,119,282
"Vancouver Kingsway/Vancouver Kingsway"," 83","Vancouver",0,94,2,1,0,3,45,35,0,180,353
"Vancouver Kingsway/Vancouver Kingsway"," 84","Vancouver",0,115,1,1,0,2,32,20,1,172,314
"Vancouver Kingsway/Vancouver Kingsway"," 85","Vancouver",2,155,0,2,0,2,67,67,2,297,539
"Vancouver Kingsway/Vancouver Kingsway"," 86A","Vancouver",1,56,1,0,0,9,83,18,0,168,287
"Vancouver Kingsway/Vancouver Kingsway"," 86B","Vancouver",1,43,2,1,0,1,63,29,1,141,275
"Vancouver Kingsway/Vancouver Kingsway"," 87","Vancouver",2,99,0,4,0,9,92,37,3,246,515
"Vancouver Kingsway/Vancouver Kingsway"," 88A","Vancouver",0,61,1,0,1,8,107,11,0,189,307
"Vancouver Kingsway/Vancouver Kingsway"," 88B","Vancouver",1,70,0,3,0,7,91,14,0,186,362
"Vancouver Kingsway/Vancouver Kingsway"," 89","Vancouver",1,51,2,0,0,14,97,32,1,198,366
"Vancouver Kingsway/Vancouver Kingsway"," 90","Vancouver",2,101,1,2,1,1,92,38,2,240,476
"Vancouver Kingsway/Vancouver Kingsway"," 91","Vancouver",0,90,1,1,2,8,129,50,0,281,499
"Vancouver Kingsway/Vancouver Kingsway"," 92","Vancouver",0,149,0,5,0,4,85,49,3,295,527
"Vancouver Kingsway/Vancouver Kingsway"," 93","Vancouver",1,96,0,3,0,4,71,35,5,215,420
"Vancouver Kingsway/Vancouver Kingsway"," 94","Vancouver",0,97,0,3,0,10,97,35,3,245,535
"Vancouver Kingsway/Vancouver Kingsway"," 95","Vancouver",2,98,0,3,1,5,63,16,1,189,441
"Vancouver Kingsway/Vancouver Kingsway"," 96","Vancouver",0,112,0,2,0,3,82,63,0,262,504
"Vancouver Kingsway/Vancouver Kingsway"," 97","Vancouver",0,91,1,3,1,1,56,23,0,176,323
"Vancouver Kingsway/Vancouver Kingsway"," 98","Vancouver",0,87,2,2,0,5,59,29,0,184,350
"Vancouver Kingsway/Vancouver Kingsway"," 99","Vancouver",0,123,0,1,0,6,91,50,2,273,529
"Vancouver Kingsway/Vancouver Kingsway"," 100","Vancouver",2,110,0,5,0,4,65,76,4,266,513
"Vancouver Kingsway/Vancouver Kingsway"," 101A","Vancouver",0,74,2,1,1,2,56,33,2,171,405
"Vancouver Kingsway/Vancouver Kingsway"," 101B","Vancouver",0,53,1,1,0,1,46,34,3,139,349
"Vancouver Kingsway/Vancouver Kingsway"," 102","Vancouver",0,141,0,0,0,6,71,39,1,258,507
"Vancouver Kingsway/Vancouver Kingsway"," 103","Vancouver",2,115,0,0,0,2,50,44,6,219,443
