Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanne Courville,Mario Laframboise,François-Hugues Liberge,Claude Sabourin,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 97A","Lachute",32,42,22,16,10,2,124,260
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 97B","Lachute",44,48,28,6,10,1,137,297
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 98A","Lachute",39,68,29,5,11,0,152,267
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 98B","Lachute",51,64,17,4,8,2,146,277
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 99","Lachute",54,99,24,8,8,5,198,478
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 100","Lachute",36,109,14,8,4,1,172,392
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 101","Lachute",49,109,29,6,7,2,202,460
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 102","Lachute",35,92,17,16,10,5,175,392
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 103","Lachute",24,89,23,8,9,1,154,373
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 104","Lachute",45,123,24,9,9,5,215,438
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 105","Lachute",44,76,21,5,10,3,159,391
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 106","Lachute",76,81,34,15,5,2,213,437
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 107","Lachute",44,75,30,15,7,7,178,508
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 108","Lachute",54,80,53,21,10,2,220,452
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 109","Lachute",89,84,34,8,16,3,234,448
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 110","Lachute",83,76,39,21,13,3,235,479
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 111","Lachute",41,60,31,11,5,3,151,342
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 112","Lachute",54,88,39,14,7,1,203,433
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 113","Lachute",42,78,16,5,12,4,157,444
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 114","Lachute",49,123,20,21,12,6,231,416
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 115","Lachute",39,82,23,9,5,2,160,355
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 116","Lachute",38,101,25,2,7,4,177,384
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 117","Lachute",60,159,27,11,14,7,278,436
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 118","Lachute",53,114,22,9,13,2,213,450
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 119","Saint-André-d'Argenteuil (Carillon)",20,35,10,12,5,0,82,294
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 120","Saint-André-d'Argenteuil (Saint-André-Est)",56,107,37,12,15,3,230,421
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 121","Saint-André-d'Argenteuil (Saint-André-Est)",59,87,26,9,12,0,193,335
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 122","Saint-André-d'Argenteuil (Saint-André-Est)",47,87,29,3,6,3,175,380
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 123","Saint-André-d'Argenteuil (Saint-André-Est)",49,124,30,5,13,1,222,457
