Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeffrey Anderson,Anita Neville,Michael Richards,Vere H. Scott,Dale Swirsky,Magnus Thompson,Mark Wasyliw,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 1A","Winnipeg",1,107,100,3,3,1,14,1,230,441
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 1B","Winnipeg",0,98,84,2,5,0,18,0,207,374
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 2","Winnipeg",3,73,69,3,3,0,53,0,204,338
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 3","Winnipeg",4,70,57,9,6,1,49,1,197,373
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 4","Winnipeg",1,161,168,15,5,1,21,1,373,623
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 5","Winnipeg",1,55,85,2,4,0,23,2,172,422
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 6","Winnipeg",1,123,125,5,9,0,16,1,280,468
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 7","Winnipeg",1,132,106,6,8,0,12,0,265,407
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 8","Winnipeg",1,76,71,4,5,1,44,0,202,456
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 9","Winnipeg",0,140,192,15,11,0,11,2,371,595
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 10","Winnipeg",0,125,128,3,3,0,3,0,262,466
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 11","Winnipeg",0,125,90,4,11,0,18,1,249,453
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 12A","Winnipeg",0,57,81,2,1,0,26,0,167,357
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 12B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,129
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 13","Winnipeg",1,70,60,5,1,0,21,0,158,294
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 14","Winnipeg",1,58,48,3,5,0,30,0,145,326
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 15","Winnipeg",0,76,126,4,9,0,14,0,229,379
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 16","Winnipeg",2,105,113,7,6,0,15,1,249,417
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 17","Winnipeg",0,105,102,19,8,0,34,0,268,383
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 18","Winnipeg",0,109,84,5,6,0,44,0,248,360
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 19","Winnipeg",2,89,70,13,4,1,50,1,230,368
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 20","Winnipeg",2,73,75,7,2,0,46,0,205,342
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 21","Winnipeg",0,100,72,13,6,0,46,0,237,356
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 22","Winnipeg",0,100,63,5,4,0,75,0,247,433
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 23","Winnipeg",0,95,67,10,3,0,40,0,215,344
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 24","Winnipeg",1,71,61,4,1,0,31,0,169,284
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 25","Winnipeg",1,101,87,6,8,0,40,3,246,405
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 26","Winnipeg",0,115,82,5,11,1,30,1,245,409
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 27","Winnipeg",1,131,71,7,6,0,41,1,258,385
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 28","Winnipeg",1,162,111,10,4,0,47,2,337,443
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 29","Winnipeg",4,86,66,6,5,0,41,0,208,310
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 30","Winnipeg",6,129,79,9,4,0,22,1,250,415
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 31","Winnipeg",1,109,84,8,4,0,22,0,228,324
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 32","Winnipeg",4,91,88,5,2,0,37,0,227,407
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 33","Winnipeg",3,74,55,2,9,1,35,0,179,364
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 34","Winnipeg",1,81,72,12,5,0,33,1,205,332
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 35","Winnipeg",0,79,78,13,2,0,27,0,199,360
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 36A","Winnipeg",0,151,101,7,1,0,27,0,287,453
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 36B","Winnipeg",Merged with No. 37B/Fusionné avec le nº 37B,,,,,,,,,145
