Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allan Cutler,John Ford,David McGuinty,Henri Sader,Brad Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ottawa South/Ottawa-Sud"," 34","Ottawa",57,17,119,40,3,1,237,352
"Ottawa South/Ottawa-Sud"," 35","Ottawa",95,14,121,51,2,0,283,373
"Ottawa South/Ottawa-Sud"," 36","Ottawa",Merged with No. 35/Fusionné avec le nº 35,,,,,,,128
"Ottawa South/Ottawa-Sud"," 37","Ottawa",71,10,131,25,0,2,239,397
"Ottawa South/Ottawa-Sud"," 38","Ottawa",72,7,86,11,1,1,178,332
"Ottawa South/Ottawa-Sud"," 39","Ottawa",78,6,108,18,1,0,211,375
"Ottawa South/Ottawa-Sud"," 40","Ottawa",58,5,87,17,1,1,169,475
"Ottawa South/Ottawa-Sud"," 41","Ottawa",30,5,51,14,0,0,100,247
"Ottawa South/Ottawa-Sud"," 42","Ottawa",48,5,107,21,0,2,183,342
"Ottawa South/Ottawa-Sud"," 43","Ottawa",74,14,129,21,0,1,239,387
"Ottawa South/Ottawa-Sud"," 44","Ottawa",89,14,122,17,1,0,243,350
"Ottawa South/Ottawa-Sud"," 45","Ottawa",110,16,111,19,1,1,258,383
"Ottawa South/Ottawa-Sud"," 46","Ottawa",77,13,119,39,2,0,250,423
"Ottawa South/Ottawa-Sud"," 47","Ottawa",93,18,97,23,2,0,233,352
"Ottawa South/Ottawa-Sud"," 48","Ottawa",87,12,105,20,0,2,226,379
"Ottawa South/Ottawa-Sud"," 49","Ottawa",69,12,116,27,1,1,226,373
"Ottawa South/Ottawa-Sud"," 50","Ottawa",100,8,84,25,0,0,217,347
"Ottawa South/Ottawa-Sud"," 51","Ottawa",122,12,95,38,3,3,273,378
"Ottawa South/Ottawa-Sud"," 52","Ottawa",92,11,85,33,1,0,222,357
"Ottawa South/Ottawa-Sud"," 53","Ottawa",95,15,93,36,0,0,239,345
"Ottawa South/Ottawa-Sud"," 54","Ottawa",117,16,93,33,5,0,264,383
"Ottawa South/Ottawa-Sud"," 55","Ottawa",72,11,103,32,1,1,220,342
"Ottawa South/Ottawa-Sud"," 56","Ottawa",68,14,94,41,1,0,218,374
"Ottawa South/Ottawa-Sud"," 57","Ottawa",71,11,86,41,1,0,210,343
"Ottawa South/Ottawa-Sud"," 58","Ottawa",126,9,81,17,0,0,233,384
"Ottawa South/Ottawa-Sud"," 59","Ottawa",81,16,86,36,1,0,220,402
"Ottawa South/Ottawa-Sud"," 60","Ottawa",66,21,88,36,0,1,212,346
"Ottawa South/Ottawa-Sud"," 61","Ottawa",81,9,100,14,0,2,206,345
"Ottawa South/Ottawa-Sud"," 62","Ottawa",80,10,89,24,0,1,204,345
"Ottawa South/Ottawa-Sud"," 63","Ottawa",84,4,103,36,0,0,227,379
"Ottawa South/Ottawa-Sud"," 64","Ottawa",58,7,80,17,1,1,164,345
"Ottawa South/Ottawa-Sud"," 65","Ottawa",94,16,96,39,0,0,245,404
"Ottawa South/Ottawa-Sud"," 66","Ottawa",112,14,99,44,1,4,274,392
"Ottawa South/Ottawa-Sud"," 67","Ottawa",43,8,96,38,0,1,186,429
"Ottawa South/Ottawa-Sud"," 68","Ottawa",24,1,86,24,1,0,136,344
"Ottawa South/Ottawa-Sud"," 69","Ottawa",47,4,111,28,2,1,193,308
"Ottawa South/Ottawa-Sud"," 70","Ottawa",87,8,112,28,2,1,238,409
"Ottawa South/Ottawa-Sud"," 71","Ottawa",78,3,125,20,0,0,226,344
"Ottawa South/Ottawa-Sud"," 72","Ottawa",78,3,109,31,1,3,225,360
"Ottawa South/Ottawa-Sud"," 73","Ottawa",67,10,131,28,1,2,239,405
"Ottawa South/Ottawa-Sud"," 74","Ottawa",90,12,118,45,2,1,268,431
"Ottawa South/Ottawa-Sud"," 75","Ottawa",56,7,77,32,0,0,172,283
"Ottawa South/Ottawa-Sud"," 76","Ottawa",58,12,102,56,2,4,234,393
"Ottawa South/Ottawa-Sud"," 77","Ottawa",64,5,79,34,2,2,186,328
"Ottawa South/Ottawa-Sud"," 78","Ottawa",47,4,70,20,3,3,147,255
"Ottawa South/Ottawa-Sud"," 79","Ottawa",91,12,109,39,5,0,256,392
"Ottawa South/Ottawa-Sud"," 80","Ottawa",86,9,141,37,1,1,275,401
"Ottawa South/Ottawa-Sud"," 81","Ottawa",59,25,89,67,0,0,240,421
"Ottawa South/Ottawa-Sud"," 82","Ottawa",93,19,112,43,0,2,269,438
"Ottawa South/Ottawa-Sud"," 83","Ottawa",79,15,93,46,2,2,237,351
"Ottawa South/Ottawa-Sud"," 84","Ottawa",86,16,99,61,3,5,270,476
"Ottawa South/Ottawa-Sud"," 85","Ottawa",88,20,90,66,1,1,266,417
"Ottawa South/Ottawa-Sud"," 86","Ottawa",82,14,138,36,3,4,277,392
"Ottawa South/Ottawa-Sud"," 87","Ottawa",45,10,61,37,0,1,154,239
"Ottawa South/Ottawa-Sud"," 88","Ottawa",59,14,138,20,3,4,238,454
"Ottawa South/Ottawa-Sud"," 89","Ottawa",75,10,90,34,1,0,210,331
"Ottawa South/Ottawa-Sud"," 90","Ottawa",98,18,121,41,0,1,279,417
"Ottawa South/Ottawa-Sud"," 91","Ottawa",51,21,74,48,0,1,195,382
"Ottawa South/Ottawa-Sud"," 92","Ottawa",67,12,90,71,3,3,246,486
"Ottawa South/Ottawa-Sud"," 93","Ottawa",81,15,109,44,3,0,252,413
"Ottawa South/Ottawa-Sud"," 94","Ottawa",83,20,121,37,0,2,263,418
"Ottawa South/Ottawa-Sud"," 95","Ottawa",100,8,108,33,1,0,250,368
"Ottawa South/Ottawa-Sud"," 96","Ottawa",101,13,110,22,0,1,247,341
"Ottawa South/Ottawa-Sud"," 97","Ottawa",71,7,87,17,1,0,183,348
"Ottawa South/Ottawa-Sud"," 98","Ottawa",81,16,114,35,2,4,252,372
"Ottawa South/Ottawa-Sud"," 99","Ottawa",77,14,110,26,1,0,228,374
"Ottawa South/Ottawa-Sud"," 100","Ottawa",79,13,94,42,1,0,229,347
"Ottawa South/Ottawa-Sud"," 101","Ottawa",64,11,82,36,1,0,194,296
"Ottawa South/Ottawa-Sud"," 102","Ottawa",75,11,81,44,1,0,212,360
"Ottawa South/Ottawa-Sud"," 103","Ottawa",121,8,93,22,1,0,245,367
"Ottawa South/Ottawa-Sud"," 104","Ottawa",96,10,132,36,0,5,279,436
"Ottawa South/Ottawa-Sud"," 105","Ottawa",101,8,153,39,3,4,308,466
"Ottawa South/Ottawa-Sud"," 106","Ottawa",77,8,131,32,2,3,253,505
"Ottawa South/Ottawa-Sud"," 107","Ottawa",54,4,101,41,0,2,202,443
"Ottawa South/Ottawa-Sud"," 108","Ottawa",33,6,87,38,1,5,170,333
"Ottawa South/Ottawa-Sud"," 109","Ottawa",39,8,112,18,0,1,178,410
"Ottawa South/Ottawa-Sud"," 110","Ottawa",15,3,101,28,0,0,147,315
"Ottawa South/Ottawa-Sud"," 111","Ottawa",52,9,83,35,0,2,181,403
"Ottawa South/Ottawa-Sud"," 112","Ottawa",36,3,145,29,2,0,215,363
"Ottawa South/Ottawa-Sud"," 113","Ottawa",27,7,118,24,1,2,179,388
"Ottawa South/Ottawa-Sud"," 114","Ottawa",54,9,89,12,1,0,165,397
"Ottawa South/Ottawa-Sud"," 115","Ottawa",41,12,73,35,1,0,162,330
"Ottawa South/Ottawa-Sud"," 116","Ottawa",78,6,116,45,3,1,249,430
"Ottawa South/Ottawa-Sud"," 117","Ottawa",45,8,216,25,1,2,297,468
"Ottawa South/Ottawa-Sud"," 118","Ottawa",83,9,97,41,4,1,235,456
"Ottawa South/Ottawa-Sud"," 119","Ottawa",54,14,112,39,2,2,223,382
"Ottawa South/Ottawa-Sud"," 120","Ottawa",80,9,134,28,3,6,260,387
"Ottawa South/Ottawa-Sud"," 121","Ottawa",52,14,101,66,3,3,239,504
"Ottawa South/Ottawa-Sud"," 122","Ottawa",53,2,62,10,0,0,127,198
"Ottawa South/Ottawa-Sud"," 123","Ottawa",83,14,95,30,1,0,223,327
"Ottawa South/Ottawa-Sud"," 124","Ottawa",81,13,90,21,1,0,206,353
"Ottawa South/Ottawa-Sud"," 125","Ottawa",96,21,113,13,2,1,246,414
"Ottawa South/Ottawa-Sud"," 126","Ottawa",88,8,109,25,0,0,230,347
"Ottawa South/Ottawa-Sud"," 127","Ottawa",80,2,113,20,3,0,218,351
"Ottawa South/Ottawa-Sud"," 128","Ottawa",83,19,112,45,0,0,259,418
"Ottawa South/Ottawa-Sud"," 129","Ottawa",68,7,121,34,0,0,230,418
"Ottawa South/Ottawa-Sud"," 130","Ottawa",63,13,79,35,2,1,193,369
"Ottawa South/Ottawa-Sud"," 131","Ottawa",57,6,80,25,1,3,172,301
"Ottawa South/Ottawa-Sud"," 132","Ottawa",88,18,109,27,1,0,243,392
"Ottawa South/Ottawa-Sud"," 133","Ottawa",119,11,104,38,1,0,273,452
"Ottawa South/Ottawa-Sud"," 134","Ottawa",49,9,102,40,0,0,200,451
"Ottawa South/Ottawa-Sud"," 135","Ottawa",80,12,92,37,1,1,223,429
"Ottawa South/Ottawa-Sud"," 136","Ottawa",73,9,117,40,2,1,242,486
"Ottawa South/Ottawa-Sud"," 137","Ottawa",48,5,105,27,0,1,186,316
"Ottawa South/Ottawa-Sud"," 138","Ottawa",106,10,107,51,0,2,276,433
"Ottawa South/Ottawa-Sud"," 139","Ottawa",78,18,97,43,1,4,241,465
"Ottawa South/Ottawa-Sud"," 140","Ottawa",120,14,125,26,0,0,285,489
"Ottawa South/Ottawa-Sud"," 141","Ottawa",100,14,136,24,1,0,275,430
"Ottawa South/Ottawa-Sud"," 142","Ottawa",106,27,107,53,1,1,295,490
"Ottawa South/Ottawa-Sud"," 143","Ottawa",101,11,126,29,1,2,270,440
"Ottawa South/Ottawa-Sud"," 144","Ottawa",91,8,134,27,1,1,262,477
"Ottawa South/Ottawa-Sud"," 145","Gloucester",57,7,43,25,1,0,133,280
"Ottawa South/Ottawa-Sud"," 146","Gloucester",Void/Supprimé,,,,,,,
"Ottawa South/Ottawa-Sud"," 147","Ottawa",84,12,49,28,2,0,175,402
"Ottawa South/Ottawa-Sud"," 148","Gloucester",79,12,42,18,4,0,155,333
"Ottawa South/Ottawa-Sud"," 149","Ottawa",128,8,106,20,0,1,263,410
"Ottawa South/Ottawa-Sud"," 150","Ottawa",117,24,128,39,0,1,309,482
"Ottawa South/Ottawa-Sud"," 151","Ottawa",131,12,118,34,0,0,295,402
"Ottawa South/Ottawa-Sud"," 152","Ottawa",109,17,131,39,0,0,296,434
"Ottawa South/Ottawa-Sud"," 153","Ottawa",118,10,93,46,1,1,269,444
"Ottawa South/Ottawa-Sud"," 154","Ottawa",91,13,105,38,2,2,251,504
"Ottawa South/Ottawa-Sud"," 155","Ottawa",110,8,110,49,1,0,278,397
"Ottawa South/Ottawa-Sud"," 156","Ottawa",111,21,97,45,0,1,275,393
"Ottawa South/Ottawa-Sud"," 157","Ottawa",53,9,90,24,2,3,181,328
"Ottawa South/Ottawa-Sud"," 158","Ottawa",94,14,82,28,1,1,220,375
"Ottawa South/Ottawa-Sud"," 159","Ottawa",55,3,73,23,0,4,158,263
"Ottawa South/Ottawa-Sud"," 160","Ottawa",54,12,126,24,2,0,218,343
"Ottawa South/Ottawa-Sud"," 161","Ottawa",67,10,110,26,1,0,214,344
"Ottawa South/Ottawa-Sud"," 162","Ottawa",111,19,113,36,1,0,280,477
"Ottawa South/Ottawa-Sud"," 163","Ottawa",83,4,104,36,0,0,227,391
"Ottawa South/Ottawa-Sud"," 164","Ottawa",75,9,128,31,0,1,244,426
"Ottawa South/Ottawa-Sud"," 165","Ottawa",87,8,108,26,0,1,230,382
"Ottawa South/Ottawa-Sud"," 166A","Ottawa",111,14,152,39,3,0,319,473
"Ottawa South/Ottawa-Sud"," 166B","Ottawa",Merged with No. 171B/Fusionné avec le nº 171B,,,,,,,86
"Ottawa South/Ottawa-Sud"," 167","Ottawa",62,10,70,47,3,0,192,346
"Ottawa South/Ottawa-Sud"," 168","Ottawa",129,14,160,37,1,0,341,536
"Ottawa South/Ottawa-Sud"," 169A","Ottawa",101,9,170,24,1,6,311,492
"Ottawa South/Ottawa-Sud"," 169B","Ottawa",Merged with No. 171A/Fusionné avec le nº 171A,,,,,,,92
"Ottawa South/Ottawa-Sud"," 170","Ottawa",110,13,123,65,0,0,311,482
"Ottawa South/Ottawa-Sud"," 171A","Ottawa",91,11,114,25,0,2,243,284
"Ottawa South/Ottawa-Sud"," 171B","Ottawa",83,9,94,27,0,0,213,264
"Ottawa South/Ottawa-Sud"," 172","Ottawa",103,11,133,39,0,2,288,466
"Ottawa South/Ottawa-Sud"," 173","Ottawa",51,3,151,29,1,3,238,426
"Ottawa South/Ottawa-Sud"," 174","Ottawa",102,8,135,46,0,3,294,523
"Ottawa South/Ottawa-Sud"," 175","Ottawa",99,4,164,24,0,1,292,472
"Ottawa South/Ottawa-Sud"," 176","Ottawa",98,16,117,26,1,0,258,465
"Ottawa South/Ottawa-Sud"," 177","Ottawa",120,11,168,27,0,1,327,504
"Ottawa South/Ottawa-Sud"," 178","Ottawa",87,9,125,35,2,3,261,423
"Ottawa South/Ottawa-Sud"," 179","Ottawa",69,7,169,33,0,0,278,440
"Ottawa South/Ottawa-Sud"," 180","Ottawa",119,9,143,31,0,3,305,479
"Ottawa South/Ottawa-Sud"," 181","Ottawa",139,9,189,31,0,1,369,563
"Ottawa South/Ottawa-Sud"," 182","Ottawa",84,9,101,35,1,1,231,368
"Ottawa South/Ottawa-Sud"," 183","Ottawa",108,11,161,36,3,1,320,542
"Ottawa South/Ottawa-Sud"," 184","Ottawa",90,11,128,51,3,2,285,447
"Ottawa South/Ottawa-Sud"," 185","Gloucester",36,7,69,31,0,0,143,326
"Ottawa South/Ottawa-Sud"," 186","Gloucester",84,6,95,28,1,2,216,375
"Ottawa South/Ottawa-Sud"," 187","Gloucester",92,15,85,35,1,0,228,385
"Ottawa South/Ottawa-Sud"," 188","Ottawa",61,10,103,49,0,0,223,449
"Ottawa South/Ottawa-Sud"," 189","Gloucester",55,6,67,20,2,3,153,309
"Ottawa South/Ottawa-Sud"," 190","Gloucester",89,7,97,28,0,3,224,490
"Ottawa South/Ottawa-Sud"," 191","Gloucester",94,12,108,65,5,0,284,457
"Ottawa South/Ottawa-Sud"," 192","Gloucester",46,3,73,36,0,0,158,339
"Ottawa South/Ottawa-Sud"," 193","Gloucester",69,4,64,34,1,0,172,347
"Ottawa South/Ottawa-Sud"," 194","Gloucester",79,8,109,22,0,2,220,396
"Ottawa South/Ottawa-Sud"," 195","Gloucester",106,11,99,32,0,0,248,373
"Ottawa South/Ottawa-Sud"," 196","Gloucester",114,15,97,39,0,0,265,434
"Ottawa South/Ottawa-Sud"," 197","Gloucester",61,13,72,17,1,0,164,298
"Ottawa South/Ottawa-Sud"," 198","Gloucester",119,13,104,50,1,1,288,455
"Ottawa South/Ottawa-Sud"," 199","Gloucester",106,13,76,38,0,0,233,393
"Ottawa South/Ottawa-Sud"," 200","Gloucester",94,10,86,32,1,0,223,400
"Ottawa South/Ottawa-Sud"," 201","Gloucester",Merged with No. 202/Fusionné avec le nº 202,,,,,,,130
"Ottawa South/Ottawa-Sud"," 202","Gloucester",139,21,115,47,1,2,325,399
"Ottawa South/Ottawa-Sud"," 203","Gloucester",105,4,74,34,0,1,218,417
"Ottawa South/Ottawa-Sud"," 204","Gloucester",114,10,143,25,1,1,294,449
"Ottawa South/Ottawa-Sud"," 205","Gloucester",132,11,128,21,2,1,295,481
"Ottawa South/Ottawa-Sud"," 206","Gloucester",96,9,93,18,0,1,217,375
"Ottawa South/Ottawa-Sud"," 207","Gloucester",74,15,73,27,2,4,195,324
"Ottawa South/Ottawa-Sud"," 208","Gloucester",115,16,102,41,1,0,275,435
"Ottawa South/Ottawa-Sud"," 209","Gloucester",139,12,114,45,2,2,314,462
"Ottawa South/Ottawa-Sud"," 400","Ottawa",80,1,78,17,0,0,176,310
"Ottawa South/Ottawa-Sud"," 401","Ottawa",82,7,106,21,2,0,218,303
"Ottawa South/Ottawa-Sud"," 402","Ottawa",62,0,77,8,1,0,148,280
"Ottawa South/Ottawa-Sud"," 403","Ottawa",55,13,146,67,0,1,282,366
"Ottawa South/Ottawa-Sud"," 404","Ottawa",67,13,126,53,1,2,262,326
"Ottawa South/Ottawa-Sud"," 405","Ottawa",45,12,76,43,0,2,178,254
"Ottawa South/Ottawa-Sud"," 406","Ottawa",63,5,85,47,0,1,201,301
"Ottawa South/Ottawa-Sud"," 407","Ottawa",43,14,103,54,1,1,216,336
"Ottawa South/Ottawa-Sud"," 408","Ottawa",26,3,113,20,2,2,166,317
"Ottawa South/Ottawa-Sud"," 500","Mobile poll/Bureau itinérant",67,7,72,8,2,6,162,399
"Ottawa South/Ottawa-Sud"," 501","Mobile poll/Bureau itinérant",35,3,63,5,0,0,106,126
"Ottawa South/Ottawa-Sud"," 502","Mobile poll/Bureau itinérant",40,2,35,3,2,2,84,115
"Ottawa South/Ottawa-Sud"," 503","Mobile poll/Bureau itinérant",78,4,65,7,3,3,160,181
"Ottawa South/Ottawa-Sud"," 600","Ottawa",275,12,218,49,4,0,558,
"Ottawa South/Ottawa-Sud"," 601","Ottawa",458,53,365,77,2,1,956,
"Ottawa South/Ottawa-Sud"," 602","Ottawa",519,31,434,65,3,3,1055,
"Ottawa South/Ottawa-Sud"," 603","Ottawa",438,27,303,73,2,3,846,
"Ottawa South/Ottawa-Sud"," 604","Ottawa",443,36,256,67,0,1,803,
"Ottawa South/Ottawa-Sud"," 605","Ottawa",165,15,135,41,4,4,364,
"Ottawa South/Ottawa-Sud"," 606","Ottawa",574,32,333,75,4,1,1019,
"Ottawa South/Ottawa-Sud"," 607","Ottawa",526,32,322,76,2,0,958,
"Ottawa South/Ottawa-Sud"," 608","Ottawa",257,17,206,46,3,1,530,
"Ottawa South/Ottawa-Sud"," 609","Ottawa",584,32,304,58,5,3,986,
"Ottawa South/Ottawa-Sud",,Group 1/Groupe 1,155,27,173,33,9,8,405,842
"Ottawa South/Ottawa-Sud",,Group 2/Groupe 2,1040,86,995,192,6,23,2342,
