Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cheryl Gallant,Paul Kelly,Don Lindsay,Gordon Scott McLeod,Sue McSheffrey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 1","Head",9,1,6,0,2,0,18,46
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 2","Head",60,1,19,4,13,0,97,172
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 3","Rolphton",82,7,63,1,19,1,173,310
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 4","Point Alexander",90,7,63,5,26,2,193,346
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5A","Deep River",49,5,94,4,22,0,174,319
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5B","Deep River",44,8,66,3,21,0,142,283
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 6","Deep River",99,13,172,4,29,0,317,461
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 7","Deep River",76,19,117,7,46,5,270,432
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 8","Deep River",70,8,84,9,34,1,206,388
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 9A","Deep River",73,9,136,3,23,0,244,412
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 9B","Mobile poll/Bureau itinérant",11,3,8,1,4,1,28,25
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 10A","Deep River",37,4,83,8,20,1,153,287
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 10B","Mobile poll/Bureau itinérant",Merged with No. 9B/Fusionné avec le nº 9B,,,,,,,11
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 11","Deep River",59,6,66,7,29,0,167,303
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 12","Deep River",45,8,72,4,17,1,147,291
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 13","Wylie",36,1,36,5,6,1,85,133
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 14","Chalk River",122,5,73,7,19,0,226,380
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 15","Chalk River",114,11,49,8,20,0,202,314
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 16","Mountain View",159,10,107,10,38,1,325,573
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17A","Petawawa",70,0,38,4,11,1,124,354
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17B","Petawawa",61,0,34,7,19,0,121,341
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 18","Petawawa",42,1,13,0,9,0,65,208
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 19","Petawawa",27,1,5,0,2,0,35,92
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 20","Petawawa",29,1,21,5,14,0,70,207
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 21","Petawawa",47,0,18,0,15,0,80,229
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 22","Petawawa",101,8,80,5,46,0,240,449
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23A","Petawawa",70,3,40,6,23,0,142,314
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23B","Petawawa",55,5,38,2,21,2,123,266
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 24","Petawawa",77,10,43,8,25,2,165,388
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 25","Petawawa",33,3,21,1,11,0,69,143
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 26","Petawawa",83,1,41,7,41,0,173,534
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 27","Petawawa",22,0,13,3,13,0,51,175
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 28","Petawawa",69,1,44,5,23,1,143,339
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 29","Petawawa",84,3,50,6,38,0,181,364
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 30","Petawawa",83,7,63,8,24,0,185,351
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 31A","Petawawa",85,2,33,3,13,0,136,320
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 31B","Petawawa",64,7,45,0,12,2,130,284
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 32","Petawawa",117,6,63,7,38,0,231,498
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 33","Petawawa",109,12,74,9,23,0,227,444
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 34","Petawawa",116,8,70,11,22,1,228,489
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 35","Petawawa",136,16,93,11,34,0,290,516
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 36A","Petawawa",71,11,59,4,19,0,164,313
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 36B","Petawawa",103,9,64,3,17,2,198,357
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 37","Petawawa",71,2,42,3,23,1,142,286
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 38","Petawawa",127,8,78,7,27,2,249,471
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 39","Petawawa",123,8,41,7,31,0,210,401
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 40A","Achray",108,5,42,3,20,0,178,316
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 40B","Achray",104,8,32,4,11,0,159,269
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 41","Hiam",228,11,46,8,35,2,330,495
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 42","Locksley",249,16,80,9,50,1,405,560
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 43","Davis Mills",209,12,71,10,24,1,327,549
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 44","Hiam",137,11,62,7,37,0,254,377
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 45","Forest Lea",150,12,77,9,36,2,286,443
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 46","Hamiltonsfield",55,9,26,3,6,0,99,170
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 47A","Hamiltonsfield",124,8,68,2,26,0,228,340
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 47B","Hamiltonsfield",104,9,51,4,27,2,197,345
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 48","Hampelsfield",147,15,85,7,43,1,298,514
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 49","Stonebrook",110,7,45,8,16,2,188,288
