Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geneviève Boivin,Paule Brunelle,Martine Girard,Paul Giroux,Linda Lavoie,Luc Ménard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Trois-Rivières/Trois-Rivières"," 1","Saint-Louis-de-France",21,97,11,3,4,78,4,218,408
"Trois-Rivières/Trois-Rivières"," 2","Saint-Louis-de-France",11,106,4,1,9,86,5,222,444
"Trois-Rivières/Trois-Rivières"," 3","Saint-Louis-de-France",13,61,8,1,6,57,4,150,305
"Trois-Rivières/Trois-Rivières"," 4","Saint-Louis-de-France",27,143,8,2,8,115,4,307,492
"Trois-Rivières/Trois-Rivières"," 5","Saint-Louis-de-France",18,147,17,2,7,98,5,294,552
"Trois-Rivières/Trois-Rivières"," 6","Saint-Louis-de-France",17,93,10,0,6,80,6,212,321
"Trois-Rivières/Trois-Rivières"," 7","Saint-Louis-de-France",18,135,13,0,3,71,2,242,420
"Trois-Rivières/Trois-Rivières"," 8","Saint-Louis-de-France",13,129,20,2,6,94,3,267,473
"Trois-Rivières/Trois-Rivières"," 9","Saint-Louis-de-France",17,129,13,1,15,80,5,260,408
"Trois-Rivières/Trois-Rivières"," 10","Saint-Louis-de-France",16,137,11,1,12,58,5,240,477
"Trois-Rivières/Trois-Rivières"," 11","Saint-Louis-de-France",27,133,21,2,12,81,4,280,424
"Trois-Rivières/Trois-Rivières"," 12","Saint-Louis-de-France",22,131,6,1,9,86,2,257,398
"Trois-Rivières/Trois-Rivières"," 13","Saint-Louis-de-France",23,126,11,1,4,98,4,267,444
"Trois-Rivières/Trois-Rivières"," 14","Trois-Rivières",16,96,9,1,11,94,2,229,384
"Trois-Rivières/Trois-Rivières"," 15","Trois-Rivières",13,173,15,2,7,88,2,300,502
"Trois-Rivières/Trois-Rivières"," 16","Trois-Rivières",46,166,22,2,23,83,5,347,531
"Trois-Rivières/Trois-Rivières"," 17","Trois-Rivières",30,140,19,1,12,87,3,292,475
"Trois-Rivières/Trois-Rivières"," 18","Trois-Rivières",23,103,20,1,5,88,3,243,409
"Trois-Rivières/Trois-Rivières"," 19","Trois-Rivières",11,110,13,3,6,57,0,200,411
"Trois-Rivières/Trois-Rivières"," 20","Trois-Rivières",20,89,10,2,4,68,3,196,382
"Trois-Rivières/Trois-Rivières"," 21","Trois-Rivières",18,89,17,2,3,61,0,190,306
"Trois-Rivières/Trois-Rivières"," 22","Trois-Rivières",21,83,15,1,4,104,3,231,395
"Trois-Rivières/Trois-Rivières"," 23","Trois-Rivières",26,109,14,3,4,81,3,240,551
"Trois-Rivières/Trois-Rivières"," 24","Trois-Rivières",17,106,13,3,9,51,1,200,378
"Trois-Rivières/Trois-Rivières"," 25","Trois-Rivières",31,109,9,2,7,72,0,230,349
"Trois-Rivières/Trois-Rivières"," 26","Trois-Rivières",27,137,17,0,10,66,7,264,420
"Trois-Rivières/Trois-Rivières"," 27","Trois-Rivières",28,116,9,1,3,86,3,246,446
"Trois-Rivières/Trois-Rivières"," 28","Trois-Rivières",40,161,24,1,10,143,7,386,611
"Trois-Rivières/Trois-Rivières"," 29A","Trois-Rivières",26,96,10,0,10,97,3,242,380
"Trois-Rivières/Trois-Rivières"," 29B","Trois-Rivières",18,91,9,0,9,102,2,231,388
"Trois-Rivières/Trois-Rivières"," 30","Trois-Rivières",14,87,19,0,3,52,1,176,267
"Trois-Rivières/Trois-Rivières"," 31","Trois-Rivières",18,110,17,1,12,66,1,225,416
"Trois-Rivières/Trois-Rivières"," 32","Trois-Rivières",26,90,27,0,16,101,3,263,421
"Trois-Rivières/Trois-Rivières"," 33","Trois-Rivières",14,95,8,1,13,54,2,187,326
"Trois-Rivières/Trois-Rivières"," 34","Trois-Rivières",37,124,12,0,5,59,2,239,385
"Trois-Rivières/Trois-Rivières"," 35","Trois-Rivières",19,121,9,1,15,70,2,237,364
"Trois-Rivières/Trois-Rivières"," 36","Trois-Rivières",21,85,16,0,4,63,6,195,392
"Trois-Rivières/Trois-Rivières"," 37","Trois-Rivières",16,105,10,2,8,79,3,223,342
"Trois-Rivières/Trois-Rivières"," 38","Trois-Rivières",15,96,15,1,6,71,2,206,312
"Trois-Rivières/Trois-Rivières"," 39","Trois-Rivières",16,37,8,0,3,26,2,92,296
"Trois-Rivières/Trois-Rivières"," 40","Sainte-Marthe-du-Cap",11,127,10,0,7,77,2,234,486
"Trois-Rivières/Trois-Rivières"," 41","Sainte-Marthe-du-Cap",25,138,21,3,5,108,1,301,495
"Trois-Rivières/Trois-Rivières"," 42","Sainte-Marthe-du-Cap",25,103,32,1,2,89,2,254,465
"Trois-Rivières/Trois-Rivières"," 43","Sainte-Marthe-du-Cap",22,137,19,3,7,89,6,283,510
"Trois-Rivières/Trois-Rivières"," 44","Sainte-Marthe-du-Cap",21,131,14,1,12,111,7,297,498
"Trois-Rivières/Trois-Rivières"," 45","Sainte-Marthe-du-Cap",17,125,21,0,8,60,4,235,432
"Trois-Rivières/Trois-Rivières"," 46","Sainte-Marthe-du-Cap",21,140,12,4,6,78,2,263,504
"Trois-Rivières/Trois-Rivières"," 47","Sainte-Marthe-du-Cap",29,162,12,0,9,118,6,336,558
"Trois-Rivières/Trois-Rivières"," 48","Sainte-Marthe-du-Cap",21,119,15,2,4,108,4,273,532
"Trois-Rivières/Trois-Rivières"," 49","Sainte-Marthe-du-Cap",18,120,27,6,7,61,2,241,389
"Trois-Rivières/Trois-Rivières"," 50","Cap-de-la-Madeleine",28,212,11,1,8,124,2,386,630
"Trois-Rivières/Trois-Rivières"," 51","Cap-de-la-Madeleine",29,147,14,2,9,148,2,351,561
"Trois-Rivières/Trois-Rivières"," 52","Cap-de-la-Madeleine",24,121,17,1,3,98,4,268,403
"Trois-Rivières/Trois-Rivières"," 53","Cap-de-la-Madeleine",17,81,22,1,4,52,3,180,357
"Trois-Rivières/Trois-Rivières"," 54","Cap-de-la-Madeleine",40,179,14,5,13,144,3,398,634
"Trois-Rivières/Trois-Rivières"," 55","Cap-de-la-Madeleine",23,110,12,1,5,74,2,227,387
"Trois-Rivières/Trois-Rivières"," 56","Cap-de-la-Madeleine",21,141,23,2,10,109,3,309,425
"Trois-Rivières/Trois-Rivières"," 57","Cap-de-la-Madeleine",24,74,27,0,6,92,1,224,336
"Trois-Rivières/Trois-Rivières"," 58","Cap-de-la-Madeleine",10,64,14,2,3,51,3,147,283
"Trois-Rivières/Trois-Rivières"," 59A","Cap-de-la-Madeleine",11,110,12,1,8,68,2,212,369
"Trois-Rivières/Trois-Rivières"," 59B","Cap-de-la-Madeleine",10,88,14,1,6,56,3,178,339
"Trois-Rivières/Trois-Rivières"," 60","Cap-de-la-Madeleine",22,94,10,1,10,79,6,222,411
"Trois-Rivières/Trois-Rivières"," 61","Cap-de-la-Madeleine",6,73,12,1,5,55,1,153,303
"Trois-Rivières/Trois-Rivières"," 62","Cap-de-la-Madeleine",18,110,14,1,9,66,4,222,415
"Trois-Rivières/Trois-Rivières"," 63","Cap-de-la-Madeleine",7,66,17,0,6,62,2,160,313
"Trois-Rivières/Trois-Rivières"," 64","Cap-de-la-Madeleine",9,73,11,0,4,50,3,150,375
"Trois-Rivières/Trois-Rivières"," 65","Cap-de-la-Madeleine",14,82,20,2,2,84,4,208,339
"Trois-Rivières/Trois-Rivières"," 66","Cap-de-la-Madeleine",22,101,17,2,13,67,0,222,364
"Trois-Rivières/Trois-Rivières"," 67","Cap-de-la-Madeleine",25,168,27,1,13,148,4,386,596
"Trois-Rivières/Trois-Rivières"," 68","Cap-de-la-Madeleine",23,143,19,1,8,115,0,309,453
"Trois-Rivières/Trois-Rivières"," 69","Cap-de-la-Madeleine",6,80,16,0,2,60,5,169,283
"Trois-Rivières/Trois-Rivières"," 70","Cap-de-la-Madeleine",15,65,11,1,3,31,3,129,334
"Trois-Rivières/Trois-Rivières"," 71A","Cap-de-la-Madeleine",17,113,22,1,5,68,0,226,430
"Trois-Rivières/Trois-Rivières"," 71B","Cap-de-la-Madeleine",17,100,20,1,6,76,2,222,446
"Trois-Rivières/Trois-Rivières"," 72","Cap-de-la-Madeleine",9,70,6,1,3,48,2,139,404
"Trois-Rivières/Trois-Rivières"," 73","Cap-de-la-Madeleine",13,93,12,0,3,38,2,161,301
"Trois-Rivières/Trois-Rivières"," 74","Cap-de-la-Madeleine",18,126,17,0,6,72,3,242,457
"Trois-Rivières/Trois-Rivières"," 75","Cap-de-la-Madeleine",25,116,15,1,6,100,3,266,405
"Trois-Rivières/Trois-Rivières"," 76","Cap-de-la-Madeleine",18,87,16,1,6,47,2,177,401
"Trois-Rivières/Trois-Rivières"," 77","Cap-de-la-Madeleine",25,83,15,1,3,91,1,219,412
"Trois-Rivières/Trois-Rivières"," 78","Cap-de-la-Madeleine",20,85,17,3,6,49,3,183,427
"Trois-Rivières/Trois-Rivières"," 79","Cap-de-la-Madeleine",34,151,12,1,10,75,7,290,476
"Trois-Rivières/Trois-Rivières"," 80","Cap-de-la-Madeleine",23,124,23,0,14,78,0,262,452
"Trois-Rivières/Trois-Rivières"," 81","Cap-de-la-Madeleine",17,121,26,0,3,87,3,257,482
