Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sophie Fréchette,Serge Lachapelle,Louise O'Sullivan,Lucienne Robillard,Julie Sabourin,Bill Sloan,Eric Wilson Steedman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 1","Montréal",18,0,12,31,8,1,25,1,96,227
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 2","Montréal",29,2,8,73,13,2,42,2,171,438
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 3A","Montréal",50,3,22,71,17,0,31,1,195,429
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 3B","Montréal",14,2,3,27,0,0,2,3,51,128
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 4","Montréal",50,1,27,114,25,0,56,1,274,581
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 5","Montréal",27,0,27,60,14,0,21,1,150,341
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 6","Montréal",76,4,26,91,25,0,82,3,307,675
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 7","Montréal",69,2,66,144,28,0,71,1,381,574
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 8","Montréal",37,0,30,70,17,0,38,2,194,430
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 9","Montréal",30,0,25,66,20,1,33,0,175,434
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 10","Montréal",60,2,13,51,19,0,53,1,199,501
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 11","Montréal",29,3,27,58,8,0,12,0,137,386
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 12","Montréal",22,2,20,79,7,0,11,1,142,458
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 13","Montréal",67,0,35,66,14,1,25,1,209,379
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 14","Montréal",62,1,35,63,21,0,24,0,206,430
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 15","Montréal",91,0,72,107,21,1,53,3,348,663
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 16","Montréal",131,0,68,100,15,1,27,3,345,586
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 17A","Montréal",90,0,38,84,20,0,38,1,271,621
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 17B","Montréal",65,0,75,111,15,0,14,5,285,473
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 18","Montréal",59,0,20,62,20,1,40,3,205,469
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 19","Montréal",43,0,31,69,14,0,30,0,187,399
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 20","Montréal",9,1,18,70,9,0,13,1,121,261
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 21","Montréal",16,1,18,55,17,0,31,0,138,248
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 22","Montréal",16,1,27,107,12,1,35,1,200,522
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 23","Montréal",19,0,35,94,10,0,39,1,198,485
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 24","Montréal",17,0,24,70,15,0,31,0,157,307
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 25","Montréal",1,0,19,69,7,0,22,1,119,226
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 26","Montréal",33,1,31,117,25,0,72,2,281,632
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 27","Montréal",19,0,20,50,9,0,32,0,130,318
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 28","Montréal",5,0,19,52,17,0,43,0,136,246
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 29","Montréal",10,0,27,52,7,0,11,0,107,429
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 30","Montréal",12,0,20,39,4,0,19,1,95,385
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31A","Montréal",45,0,32,65,15,0,28,4,189,450
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31B","Montréal",52,0,37,70,12,0,33,0,204,492
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 31C","Montréal",48,0,30,57,16,0,35,0,186,428
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 32","Montréal",7,0,66,115,15,0,34,2,239,672
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 33A","Montréal",14,0,38,98,1,0,22,0,173,661
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 33B","Montréal",13,0,37,89,7,0,21,0,167,485
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 34","Montréal",7,0,25,82,11,0,20,0,145,332
