Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Day Cowling,David Cunningham,Irma DeVries,Keith Dinicol,Gary Schellenberger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Perth--Wellington/Perth--Wellington"," 1","Minto",17,54,12,43,84,1,211,394
"Perth--Wellington/Perth--Wellington"," 2","Minto",19,29,10,38,53,0,149,245
"Perth--Wellington/Perth--Wellington"," 3","Minto",17,66,14,38,118,0,253,462
"Perth--Wellington/Perth--Wellington"," 4","Minto",9,40,9,28,95,1,182,413
"Perth--Wellington/Perth--Wellington"," 5","Minto",9,70,15,25,96,1,216,453
"Perth--Wellington/Perth--Wellington"," 6","Minto",14,55,8,49,95,0,221,381
"Perth--Wellington/Perth--Wellington"," 7","Minto",15,62,2,17,86,0,182,324
"Perth--Wellington/Perth--Wellington"," 8","Minto",7,70,8,42,131,1,259,574
"Perth--Wellington/Perth--Wellington"," 9","Minto",9,34,9,22,121,0,195,378
"Perth--Wellington/Perth--Wellington"," 10A","Minto",14,51,22,18,82,0,187,340
"Perth--Wellington/Perth--Wellington"," 10B","Minto",14,36,6,35,73,0,164,344
"Perth--Wellington/Perth--Wellington"," 11","Minto",10,45,15,33,99,2,204,347
"Perth--Wellington/Perth--Wellington"," 12","Minto",25,64,13,42,124,1,269,425
"Perth--Wellington/Perth--Wellington"," 13","Minto",18,51,7,44,96,2,218,369
"Perth--Wellington/Perth--Wellington"," 14","Minto",23,68,14,58,144,0,307,521
"Perth--Wellington/Perth--Wellington"," 15","North Perth",5,68,22,34,156,0,285,443
"Perth--Wellington/Perth--Wellington"," 16","North Perth",Void/Supprimé,,,,,,,
"Perth--Wellington/Perth--Wellington"," 17","North Perth",8,57,11,42,135,1,254,418
"Perth--Wellington/Perth--Wellington"," 18","North Perth",7,47,11,14,100,0,179,314
"Perth--Wellington/Perth--Wellington"," 19","North Perth",15,33,4,17,72,2,143,233
"Perth--Wellington/Perth--Wellington"," 20","Wellington North",22,72,5,27,117,0,243,387
"Perth--Wellington/Perth--Wellington"," 21","Mount Forest",31,67,14,44,149,2,307,505
"Perth--Wellington/Perth--Wellington"," 22","Mount Forest",18,100,9,49,121,1,298,512
"Perth--Wellington/Perth--Wellington"," 23","Mount Forest",16,70,6,36,111,0,239,452
"Perth--Wellington/Perth--Wellington"," 24A","Mount Forest",7,23,4,16,58,0,108,191
"Perth--Wellington/Perth--Wellington"," 24B","Mount Forest",7,46,5,15,61,0,134,283
"Perth--Wellington/Perth--Wellington"," 25","Wellington North",16,87,5,35,132,0,275,416
"Perth--Wellington/Perth--Wellington"," 26","Mount Forest",15,67,5,44,120,2,253,493
"Perth--Wellington/Perth--Wellington"," 27","Mount Forest",13,88,7,45,90,2,245,395
"Perth--Wellington/Perth--Wellington"," 28","Wellington North",6,49,3,23,86,0,167,319
"Perth--Wellington/Perth--Wellington"," 29","Arthur",6,28,2,8,52,0,96,244
"Perth--Wellington/Perth--Wellington"," 30","Arthur",5,32,10,33,115,0,195,340
"Perth--Wellington/Perth--Wellington"," 31","West Luther",12,40,9,26,110,0,197,308
"Perth--Wellington/Perth--Wellington"," 32","West Luther",18,53,5,32,125,1,234,379
"Perth--Wellington/Perth--Wellington"," 33","West Garafraxa",Void/Supprimé,,,,,,,
"Perth--Wellington/Perth--Wellington"," 34A","Arthur",19,52,7,40,128,1,247,352
"Perth--Wellington/Perth--Wellington"," 34B","Arthur",8,52,4,20,103,4,191,335
"Perth--Wellington/Perth--Wellington"," 35","Arthur",9,80,6,53,138,0,286,439
"Perth--Wellington/Perth--Wellington"," 36","Arthur",24,47,5,49,151,0,276,493
"Perth--Wellington/Perth--Wellington"," 37","Arthur",18,66,6,34,126,0,250,341
"Perth--Wellington/Perth--Wellington"," 38","Arthur",14,40,10,24,114,0,202,343
"Perth--Wellington/Perth--Wellington"," 39","Arthur",6,26,7,36,81,0,156,273
"Perth--Wellington/Perth--Wellington"," 40","Maryborough",6,16,5,4,38,0,69,210
"Perth--Wellington/Perth--Wellington"," 41","Peel",6,19,6,18,79,0,128,247
"Perth--Wellington/Perth--Wellington"," 42","Peel",11,50,8,37,133,0,239,350
"Perth--Wellington/Perth--Wellington"," 43","Peel",20,71,13,48,181,2,335,521
"Perth--Wellington/Perth--Wellington"," 44","Peel",Void/Supprimé,,,,,,,
"Perth--Wellington/Perth--Wellington"," 45","Peel",4,30,8,13,118,0,173,357
"Perth--Wellington/Perth--Wellington"," 46A","Drayton",14,53,26,34,103,1,231,348
"Perth--Wellington/Perth--Wellington"," 46B","Drayton",10,24,18,28,104,0,184,355
"Perth--Wellington/Perth--Wellington"," 47","Drayton",20,65,21,34,153,0,293,518
"Perth--Wellington/Perth--Wellington"," 48","Maryborough",24,48,7,34,125,0,238,385
"Perth--Wellington/Perth--Wellington"," 49A","Maryborough",10,43,11,31,83,0,178,347
"Perth--Wellington/Perth--Wellington"," 49B","Maryborough",8,45,20,24,114,3,214,378
"Perth--Wellington/Perth--Wellington"," 50","Maryborough",10,33,20,11,66,0,140,280
"Perth--Wellington/Perth--Wellington"," 51","Peel",6,11,9,8,59,0,93,282
"Perth--Wellington/Perth--Wellington"," 52","Peel",3,15,0,4,27,0,49,239
"Perth--Wellington/Perth--Wellington"," 53","Peel",5,10,3,12,39,0,69,437
"Perth--Wellington/Perth--Wellington"," 54","Maryborough",12,49,11,28,91,0,191,467
"Perth--Wellington/Perth--Wellington"," 55","North Perth",13,74,10,40,102,0,239,527
"Perth--Wellington/Perth--Wellington"," 56","North Perth",15,50,12,28,92,0,197,386
"Perth--Wellington/Perth--Wellington"," 57","North Perth",3,51,7,22,77,0,160,333
"Perth--Wellington/Perth--Wellington"," 58","North Perth",8,70,6,44,124,0,252,407
"Perth--Wellington/Perth--Wellington"," 59","North Perth",10,74,2,28,154,2,270,446
"Perth--Wellington/Perth--Wellington"," 60","North Perth",12,48,4,35,99,0,198,382
"Perth--Wellington/Perth--Wellington"," 61","North Perth",17,61,7,29,99,3,216,411
"Perth--Wellington/Perth--Wellington"," 62","North Perth",13,55,8,55,127,0,258,525
"Perth--Wellington/Perth--Wellington"," 63A","North Perth",9,40,3,28,109,1,190,312
"Perth--Wellington/Perth--Wellington"," 63B","North Perth",3,47,6,34,113,3,206,326
"Perth--Wellington/Perth--Wellington"," 64","North Perth",19,90,12,45,152,1,319,630
"Perth--Wellington/Perth--Wellington"," 65","North Perth",3,37,18,19,84,0,161,407
"Perth--Wellington/Perth--Wellington"," 66","North Perth",9,28,11,21,86,0,155,251
