Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Haukeness,Ed Komarnicki,Lonny McKague,Matthew Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Souris--Moose Mountain/Souris--Moose Mountain"," 1","Summerberry",18,94,13,12,0,137,202
"Souris--Moose Mountain/Souris--Moose Mountain"," 2","Grenfell",21,106,22,2,1,152,237
"Souris--Moose Mountain/Souris--Moose Mountain"," 3","Grenfell",29,70,26,3,0,128,228
"Souris--Moose Mountain/Souris--Moose Mountain"," 4","Grenfell",25,116,38,11,0,190,394
"Souris--Moose Mountain/Souris--Moose Mountain"," 5","Sakimay 74",14,130,45,7,0,196,332
"Souris--Moose Mountain/Souris--Moose Mountain"," 6","Cowessess 73",13,10,169,3,0,195,299
"Souris--Moose Mountain/Souris--Moose Mountain"," 7","Ochapowace 71",2,5,100,1,0,108,156
"Souris--Moose Mountain/Souris--Moose Mountain"," 8","Broadview",44,101,36,4,1,186,305
"Souris--Moose Mountain/Souris--Moose Mountain"," 9","Broadview",41,99,67,5,0,212,412
"Souris--Moose Mountain/Souris--Moose Mountain"," 10","Whitewood",27,163,44,6,1,241,377
"Souris--Moose Mountain/Souris--Moose Mountain"," 11","Whitewood",23,114,37,6,0,180,356
"Souris--Moose Mountain/Souris--Moose Mountain"," 12","Whitewood",15,63,24,5,0,107,199
"Souris--Moose Mountain/Souris--Moose Mountain"," 13","Wapella",17,93,19,5,1,135,215
"Souris--Moose Mountain/Souris--Moose Mountain"," 14","Wapella",28,102,14,6,0,150,269
"Souris--Moose Mountain/Souris--Moose Mountain"," 15","Ste-Marthe--Rocanville",35,145,29,13,0,222,334
"Souris--Moose Mountain/Souris--Moose Mountain"," 16","Rocanville",39,70,12,5,0,126,183
"Souris--Moose Mountain/Souris--Moose Mountain"," 17","Rocanville",55,186,52,11,0,304,482
"Souris--Moose Mountain/Souris--Moose Mountain"," 18","Moosomin",30,118,39,2,0,189,327
"Souris--Moose Mountain/Souris--Moose Mountain"," 19","Red Jacket",28,159,33,12,0,232,413
"Souris--Moose Mountain/Souris--Moose Mountain"," 20","Moosomin",34,120,60,5,1,220,204
"Souris--Moose Mountain/Souris--Moose Mountain"," 21A","Moosomin",Merged with No. 20/Fusionné avec le nº 20,,,,,,178
"Souris--Moose Mountain/Souris--Moose Mountain"," 21B","Moosomin",40,137,32,6,1,216,366
"Souris--Moose Mountain/Souris--Moose Mountain"," 22","Moosomin",39,108,41,5,0,193,328
"Souris--Moose Mountain/Souris--Moose Mountain"," 23","Moosomin",33,131,46,6,1,217,330
"Souris--Moose Mountain/Souris--Moose Mountain"," 24","Langbank",16,149,21,12,0,198,283
"Souris--Moose Mountain/Souris--Moose Mountain"," 25","St. Hubert Mission",1,56,12,2,0,71,132
"Souris--Moose Mountain/Souris--Moose Mountain"," 26","Dalzell",30,147,25,9,0,211,330
"Souris--Moose Mountain/Souris--Moose Mountain"," 27","Kipling",45,237,42,11,0,335,493
"Souris--Moose Mountain/Souris--Moose Mountain"," 28","Kipling",20,140,17,11,2,190,264
"Souris--Moose Mountain/Souris--Moose Mountain"," 29","Windthorst",45,151,40,13,0,249,360
"Souris--Moose Mountain/Souris--Moose Mountain"," 30","Glenavon",22,195,26,6,0,249,364
"Souris--Moose Mountain/Souris--Moose Mountain"," 31","Parry",12,78,29,5,0,124,199
"Souris--Moose Mountain/Souris--Moose Mountain"," 32","Milestone",49,184,101,16,0,350,528
"Souris--Moose Mountain/Souris--Moose Mountain"," 33","Lang",11,113,34,1,0,159,267
"Souris--Moose Mountain/Souris--Moose Mountain"," 34","Yellow Grass",46,111,25,10,0,192,307
"Souris--Moose Mountain/Souris--Moose Mountain"," 35","Cedoux",21,107,29,6,1,164,267
"Souris--Moose Mountain/Souris--Moose Mountain"," 36","McTaggart",31,113,23,9,1,177,302
"Souris--Moose Mountain/Souris--Moose Mountain"," 37","Huronville",18,119,18,6,0,161,196
"Souris--Moose Mountain/Souris--Moose Mountain"," 38A","Fillmore",25,79,17,1,0,122,192
"Souris--Moose Mountain/Souris--Moose Mountain"," 38B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,7
"Souris--Moose Mountain/Souris--Moose Mountain"," 39","Creelman",5,72,17,7,0,101,159
"Souris--Moose Mountain/Souris--Moose Mountain"," 40","Handsworth",10,93,12,1,0,116,196
"Souris--Moose Mountain/Souris--Moose Mountain"," 41","Kennedy",12,122,26,4,0,164,275
"Souris--Moose Mountain/Souris--Moose Mountain"," 42","Kenosee Park",23,120,39,12,0,194,339
"Souris--Moose Mountain/Souris--Moose Mountain"," 42-1","Wawota",29,179,34,11,0,253,407
"Souris--Moose Mountain/Souris--Moose Mountain"," 43","Wawota",17,110,51,5,1,184,298
"Souris--Moose Mountain/Souris--Moose Mountain"," 44","Fairlight",16,111,12,3,0,142,222
"Souris--Moose Mountain/Souris--Moose Mountain"," 45","Fleming",17,42,12,7,1,79,136
"Souris--Moose Mountain/Souris--Moose Mountain"," 46","Ryerson",5,96,10,6,0,117,175
"Souris--Moose Mountain/Souris--Moose Mountain"," 47","Maryfield",24,117,14,7,0,162,264
"Souris--Moose Mountain/Souris--Moose Mountain"," 48","Antler",9,94,13,10,0,126,201
"Souris--Moose Mountain/Souris--Moose Mountain"," 49","Wauchope",20,182,25,12,0,239,368
"Souris--Moose Mountain/Souris--Moose Mountain"," 50","Redvers",26,139,30,13,0,208,304
"Souris--Moose Mountain/Souris--Moose Mountain"," 51","Redvers",25,177,34,9,2,247,391
"Souris--Moose Mountain/Souris--Moose Mountain"," 52","Manor",23,154,23,16,2,218,333
"Souris--Moose Mountain/Souris--Moose Mountain"," 53","Steppes",21,131,14,12,1,179,262
"Souris--Moose Mountain/Souris--Moose Mountain"," 54A","Carlyle",13,82,45,11,1,152,387
"Souris--Moose Mountain/Souris--Moose Mountain"," 54B","Carlyle",46,171,48,12,1,278,291
"Souris--Moose Mountain/Souris--Moose Mountain"," 55","Carlyle",Merged with No. 54B/Fusionné avec le nº 54B,,,,,,184
"Souris--Moose Mountain/Souris--Moose Mountain"," 56","Carlyle",18,65,19,5,0,107,212
"Souris--Moose Mountain/Souris--Moose Mountain"," 57","White Bear 70",23,22,118,6,0,169,317
"Souris--Moose Mountain/Souris--Moose Mountain"," 58","Arcola",40,207,48,19,3,317,522
"Souris--Moose Mountain/Souris--Moose Mountain"," 59","Kisbey",14,87,56,11,0,168,257
"Souris--Moose Mountain/Souris--Moose Mountain"," 60","Heward",48,199,49,15,2,313,502
"Souris--Moose Mountain/Souris--Moose Mountain"," 61","Stoughton",31,140,46,10,0,227,381
"Souris--Moose Mountain/Souris--Moose Mountain"," 62","Griffin",24,114,28,12,0,178,245
"Souris--Moose Mountain/Souris--Moose Mountain"," 63","North Weyburn",51,146,37,19,1,254,409
"Souris--Moose Mountain/Souris--Moose Mountain"," 64","Weyburn",50,233,84,17,0,384,608
"Souris--Moose Mountain/Souris--Moose Mountain"," 65","Weyburn",45,110,33,6,0,194,328
"Souris--Moose Mountain/Souris--Moose Mountain"," 66A","Weyburn",33,98,43,6,0,180,287
"Souris--Moose Mountain/Souris--Moose Mountain"," 66B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,53
"Souris--Moose Mountain/Souris--Moose Mountain"," 67","Weyburn",30,63,28,9,0,130,234
"Souris--Moose Mountain/Souris--Moose Mountain"," 68","Weyburn",26,71,17,9,0,123,261
"Souris--Moose Mountain/Souris--Moose Mountain"," 69","Weyburn",25,77,15,11,2,130,251
"Souris--Moose Mountain/Souris--Moose Mountain"," 70","Weyburn",30,75,33,14,0,152,332
"Souris--Moose Mountain/Souris--Moose Mountain"," 71","Weyburn",49,78,52,14,0,193,356
"Souris--Moose Mountain/Souris--Moose Mountain"," 72","Weyburn",28,87,46,12,1,174,340
"Souris--Moose Mountain/Souris--Moose Mountain"," 73","Weyburn",25,106,39,8,0,178,307
"Souris--Moose Mountain/Souris--Moose Mountain"," 74","Weyburn",24,78,46,12,3,163,289
"Souris--Moose Mountain/Souris--Moose Mountain"," 75","Weyburn",50,100,52,12,0,214,401
"Souris--Moose Mountain/Souris--Moose Mountain"," 76","Weyburn",47,69,59,9,0,184,370
"Souris--Moose Mountain/Souris--Moose Mountain"," 77","Weyburn",38,135,46,11,0,230,392
"Souris--Moose Mountain/Souris--Moose Mountain"," 78","Weyburn",45,124,39,3,2,213,320
"Souris--Moose Mountain/Souris--Moose Mountain"," 79","Weyburn",54,95,43,16,0,208,373
"Souris--Moose Mountain/Souris--Moose Mountain"," 80","Weyburn",40,91,31,12,0,174,321
"Souris--Moose Mountain/Souris--Moose Mountain"," 81","Weyburn",30,123,27,8,0,188,310
"Souris--Moose Mountain/Souris--Moose Mountain"," 82","Weyburn",38,147,55,14,0,254,423
"Souris--Moose Mountain/Souris--Moose Mountain"," 83","Weyburn",70,144,54,13,0,281,481
"Souris--Moose Mountain/Souris--Moose Mountain"," 84","Khedive",14,112,32,10,3,171,271
"Souris--Moose Mountain/Souris--Moose Mountain"," 85","Pangman",41,54,46,4,1,146,209
"Souris--Moose Mountain/Souris--Moose Mountain"," 86","Ogema",11,60,77,4,0,152,235
"Souris--Moose Mountain/Souris--Moose Mountain"," 87","Ogema",22,53,86,3,1,165,257
"Souris--Moose Mountain/Souris--Moose Mountain"," 88","Kayville",18,55,14,0,0,87,146
"Souris--Moose Mountain/Souris--Moose Mountain"," 89","Viceroy",13,89,19,6,0,127,247
"Souris--Moose Mountain/Souris--Moose Mountain"," 90","Coronach",36,95,62,7,1,201,295
"Souris--Moose Mountain/Souris--Moose Mountain"," 91","Coronach",66,138,51,11,0,266,400
"Souris--Moose Mountain/Souris--Moose Mountain"," 92","Big Beaver",7,91,11,1,0,110,153
"Souris--Moose Mountain/Souris--Moose Mountain"," 93","Bengough",4,96,23,4,0,127,196
"Souris--Moose Mountain/Souris--Moose Mountain"," 94","Bengough",14,99,27,2,0,142,300
"Souris--Moose Mountain/Souris--Moose Mountain"," 95","Hardy",29,119,27,5,0,180,276
"Souris--Moose Mountain/Souris--Moose Mountain"," 96","Minton",19,108,20,4,0,151,232
"Souris--Moose Mountain/Souris--Moose Mountain"," 97","Lake Alma",15,118,13,2,0,148,213
"Souris--Moose Mountain/Souris--Moose Mountain"," 98","Radville",9,109,15,4,0,137,214
"Souris--Moose Mountain/Souris--Moose Mountain"," 99","Radville",39,130,62,7,1,239,421
"Souris--Moose Mountain/Souris--Moose Mountain"," 100","Radville",9,43,17,1,0,70,127
"Souris--Moose Mountain/Souris--Moose Mountain"," 101","Goodwater",18,114,23,2,0,157,237
"Souris--Moose Mountain/Souris--Moose Mountain"," 102","Oungre",19,113,14,5,0,151,245
"Souris--Moose Mountain/Souris--Moose Mountain"," 103","Outram",19,159,27,13,1,219,338
"Souris--Moose Mountain/Souris--Moose Mountain"," 104","Macoun",19,103,23,7,0,152,216
"Souris--Moose Mountain/Souris--Moose Mountain"," 105","Halbrite",25,123,22,9,0,179,290
"Souris--Moose Mountain/Souris--Moose Mountain"," 106","Midale",50,124,28,7,0,209,376
"Souris--Moose Mountain/Souris--Moose Mountain"," 107","Benson",15,153,25,5,0,198,320
"Souris--Moose Mountain/Souris--Moose Mountain"," 108","Halkett",16,96,18,3,0,133,273
"Souris--Moose Mountain/Souris--Moose Mountain"," 109","Shand",15,179,36,19,0,249,363
"Souris--Moose Mountain/Souris--Moose Mountain"," 110","Estevan",33,231,74,9,1,348,587
"Souris--Moose Mountain/Souris--Moose Mountain"," 111","Estevan",12,170,39,9,0,230,403
"Souris--Moose Mountain/Souris--Moose Mountain"," 112","Estevan",21,103,19,11,0,154,303
"Souris--Moose Mountain/Souris--Moose Mountain"," 113","Estevan",14,131,43,7,0,195,341
"Souris--Moose Mountain/Souris--Moose Mountain"," 114","Estevan",20,117,52,9,0,198,327
"Souris--Moose Mountain/Souris--Moose Mountain"," 115","Estevan",31,121,23,15,1,191,309
"Souris--Moose Mountain/Souris--Moose Mountain"," 116","Estevan",19,91,18,8,0,136,312
"Souris--Moose Mountain/Souris--Moose Mountain"," 117","Estevan",14,84,28,10,1,137,353
"Souris--Moose Mountain/Souris--Moose Mountain"," 118","Estevan",16,100,25,10,0,151,341
"Souris--Moose Mountain/Souris--Moose Mountain"," 119","Estevan",18,138,32,10,0,198,347
"Souris--Moose Mountain/Souris--Moose Mountain"," 120","Estevan",23,154,35,9,0,221,362
"Souris--Moose Mountain/Souris--Moose Mountain"," 121","Estevan",28,102,19,13,0,162,308
"Souris--Moose Mountain/Souris--Moose Mountain"," 122","Estevan",27,143,43,10,0,223,401
"Souris--Moose Mountain/Souris--Moose Mountain"," 123","Estevan",15,53,3,4,0,75,240
"Souris--Moose Mountain/Souris--Moose Mountain"," 124","Estevan",28,121,49,18,1,217,405
"Souris--Moose Mountain/Souris--Moose Mountain"," 125","Estevan",25,148,27,11,0,211,408
"Souris--Moose Mountain/Souris--Moose Mountain"," 126","Estevan",38,115,33,15,1,202,388
"Souris--Moose Mountain/Souris--Moose Mountain"," 127","Estevan",12,83,33,7,0,135,279
"Souris--Moose Mountain/Souris--Moose Mountain"," 128","Estevan",22,89,16,6,1,134,325
"Souris--Moose Mountain/Souris--Moose Mountain"," 129A","Estevan",23,125,29,8,0,185,338
"Souris--Moose Mountain/Souris--Moose Mountain"," 129B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,43
"Souris--Moose Mountain/Souris--Moose Mountain"," 130","Estevan",17,95,19,11,0,142,264
"Souris--Moose Mountain/Souris--Moose Mountain"," 131","Bienfait",52,147,29,12,0,240,513
"Souris--Moose Mountain/Souris--Moose Mountain"," 132","Bienfait",25,88,14,10,0,137,237
"Souris--Moose Mountain/Souris--Moose Mountain"," 133","Lampman",8,134,28,4,0,174,261
"Souris--Moose Mountain/Souris--Moose Mountain"," 134","Browning",5,76,3,2,0,86,137
"Souris--Moose Mountain/Souris--Moose Mountain"," 135","Lampman",18,153,31,14,0,216,334
"Souris--Moose Mountain/Souris--Moose Mountain"," 136","Alameda",27,132,33,36,0,228,352
"Souris--Moose Mountain/Souris--Moose Mountain"," 137","Frobisher",22,108,18,15,0,163,264
"Souris--Moose Mountain/Souris--Moose Mountain"," 138","North Portal",9,66,10,7,1,93,144
"Souris--Moose Mountain/Souris--Moose Mountain"," 139","Glen Ewen",32,130,14,15,0,191,350
"Souris--Moose Mountain/Souris--Moose Mountain"," 140","Oxbow",28,135,20,38,0,221,442
"Souris--Moose Mountain/Souris--Moose Mountain"," 141A","Oxbow",12,75,18,16,0,121,223
"Souris--Moose Mountain/Souris--Moose Mountain"," 141B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,19
"Souris--Moose Mountain/Souris--Moose Mountain"," 142","Oxbow",8,72,10,16,0,106,165
"Souris--Moose Mountain/Souris--Moose Mountain"," 143","Alida",13,165,12,13,0,203,332
"Souris--Moose Mountain/Souris--Moose Mountain"," 144","Carnduff",8,99,11,2,1,121,195
"Souris--Moose Mountain/Souris--Moose Mountain"," 145","Carnduff",20,94,28,9,0,151,260
"Souris--Moose Mountain/Souris--Moose Mountain"," 146","Carnduff",34,191,34,13,2,274,506
"Souris--Moose Mountain/Souris--Moose Mountain"," 147","Carievale",15,131,9,9,0,164,288
"Souris--Moose Mountain/Souris--Moose Mountain"," 148","Storthoaks",5,87,5,2,0,99,174
"Souris--Moose Mountain/Souris--Moose Mountain"," 149","Gainsborough",16,160,21,8,0,205,318
"Souris--Moose Mountain/Souris--Moose Mountain"," 500","Mobile poll/Bureau itinérant",15,22,19,1,5,62,103
"Souris--Moose Mountain/Souris--Moose Mountain"," 501A","Mobile poll/Bureau itinérant",9,14,5,0,1,29,45
"Souris--Moose Mountain/Souris--Moose Mountain"," 501B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,20
"Souris--Moose Mountain/Souris--Moose Mountain"," 501C","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,8
"Souris--Moose Mountain/Souris--Moose Mountain"," 502","Mobile poll/Bureau itinérant",15,20,22,3,1,61,52
"Souris--Moose Mountain/Souris--Moose Mountain"," 503A","Mobile poll/Bureau itinérant",13,17,13,0,1,44,78
"Souris--Moose Mountain/Souris--Moose Mountain"," 503B","Mobile poll/Bureau itinérant",16,20,13,2,3,54,41
"Souris--Moose Mountain/Souris--Moose Mountain"," 504","Mobile poll/Bureau itinérant",22,31,21,3,0,77,81
"Souris--Moose Mountain/Souris--Moose Mountain"," 505","Mobile poll/Bureau itinérant",14,27,11,1,0,53,43
"Souris--Moose Mountain/Souris--Moose Mountain"," 506","Mobile poll/Bureau itinérant",15,31,12,3,1,62,119
"Souris--Moose Mountain/Souris--Moose Mountain"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Souris--Moose Mountain/Souris--Moose Mountain"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Souris--Moose Mountain/Souris--Moose Mountain"," 509","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Souris--Moose Mountain/Souris--Moose Mountain"," 510","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Souris--Moose Mountain/Souris--Moose Mountain"," 600","Grenfell",19,115,32,5,0,171,
"Souris--Moose Mountain/Souris--Moose Mountain"," 601","Whitewood",14,85,19,12,0,130,
"Souris--Moose Mountain/Souris--Moose Mountain"," 602","Moosomin",21,115,36,5,0,177,
"Souris--Moose Mountain/Souris--Moose Mountain"," 603","Bengough",13,86,29,1,1,130,
"Souris--Moose Mountain/Souris--Moose Mountain"," 604","Radville",17,80,27,1,0,125,
"Souris--Moose Mountain/Souris--Moose Mountain"," 605","Weyburn Fillmore",75,288,114,28,0,505,
"Souris--Moose Mountain/Souris--Moose Mountain"," 606","Estevan",44,260,86,12,2,404,
