Province,Valid Votes_Stationary Polls/Votes valides_Bureaux fixes,Valid Votes_Mobile Polls/Votes valides_Bureaux itinérants,Valid Votes_Advance Polls/Votes valides_Bureaux par anticipation,Valid Votes_SVR/Votes valides_RES,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",208615,2127,11465,5332,227539
"Prince Edward Island/Île-du-Prince-Édouard",62080,757,11287,4242,78366
"Nova Scotia/Nouvelle-Écosse",407456,3103,52049,14836,477444
"New Brunswick/Nouveau-Brunswick",336957,4974,49944,15117,406992
"Quebec/Québec",3173114,26177,376724,115143,3691158
"Ontario",4805857,36229,651697,164460,5658243
"Manitoba",448690,6176,43433,17223,515522
"Saskatchewan",401614,4260,41644,15045,462563
"Alberta",1239529,18479,135951,38758,1432717
"British Columbia/Colombie-Britannique",1582521,15024,183861,45777,1827183
"Yukon",11461,32,1241,1379,14113
"Northwest Territories/Territoires du Nord-Ouest",13998,0,1205,929,16132
"Nunavut",8500,0,538,149,9187
