Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Cruise,James McVeity,Taras Natyshak,Jeff Watson,Susan Whelan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Essex/Essex"," 106A","Amherstburg",0,11,46,82,50,0,189,374
"Essex/Essex"," 106B","Amherstburg",0,4,43,60,66,0,173,312
"Essex/Essex"," 107","Amherstburg",1,2,52,70,41,0,166,300
"Essex/Essex"," 108","Amherstburg",0,3,40,71,90,0,204,389
"Essex/Essex"," 109","Amherstburg",0,6,59,73,109,0,247,458
"Essex/Essex"," 110","Amherstburg",0,13,75,146,133,3,370,657
"Essex/Essex"," 111","Amherstburg",0,13,74,92,95,0,274,455
"Essex/Essex"," 112","Amherstburg",0,2,42,62,77,0,183,332
"Essex/Essex"," 113","Amherstburg",1,8,76,56,63,0,204,392
"Essex/Essex"," 114","Amherstburg",0,4,75,60,67,1,207,390
"Essex/Essex"," 115","Amherstburg",2,5,57,66,54,3,187,393
"Essex/Essex"," 116","Amherstburg",0,2,41,25,35,0,103,215
"Essex/Essex"," 117","Amherstburg",0,5,73,94,121,0,293,499
"Essex/Essex"," 118","Amherstburg",0,5,57,110,101,1,274,458
"Essex/Essex"," 119","Amherstburg",0,8,49,76,56,1,190,385
"Essex/Essex"," 120","Amherstburg",1,14,76,117,118,1,327,547
"Essex/Essex"," 121","Amherstburg",4,4,54,81,62,1,206,382
"Essex/Essex"," 122","Amherstburg",0,6,51,91,67,1,216,344
"Essex/Essex"," 123","Amherstburg",0,6,53,85,132,2,278,515
"Essex/Essex"," 124","Amherstburg",2,6,65,89,97,2,261,471
"Essex/Essex"," 125","Essex",0,6,65,121,75,0,267,489
"Essex/Essex"," 126","Essex",0,1,57,82,49,1,190,308
"Essex/Essex"," 127","Essex",0,9,118,83,78,4,292,470
"Essex/Essex"," 128","Essex",0,4,46,68,72,0,190,403
"Essex/Essex"," 129","Essex",0,14,67,184,97,0,362,579
"Essex/Essex"," 130","Essex",2,11,54,125,92,2,286,469
"Essex/Essex"," 131","Essex",0,12,47,110,81,2,252,427
"Essex/Essex"," 132","Essex",0,21,42,107,102,4,276,481
"Essex/Essex"," 133","Essex",0,6,38,54,73,3,174,328
"Essex/Essex"," 134","Essex",0,16,59,113,74,0,262,470
"Essex/Essex"," 135","Essex",0,2,45,68,51,0,166,298
"Essex/Essex"," 136","Essex",0,6,47,62,61,1,177,298
"Essex/Essex"," 137","Essex",2,4,29,62,68,0,165,301
"Essex/Essex"," 138","Essex",0,8,57,121,130,0,316,524
"Essex/Essex"," 139","Essex",0,5,71,107,126,0,309,556
"Essex/Essex"," 140","Essex",0,4,39,79,80,1,203,357
"Essex/Essex"," 141","Essex",0,16,75,102,82,1,276,596
"Essex/Essex"," 142","Essex",0,6,63,136,89,0,294,569
"Essex/Essex"," 143A","Essex",0,2,55,65,64,0,186,375
"Essex/Essex"," 143B","Essex",0,10,46,54,42,0,152,301
"Essex/Essex"," 144","Essex",0,11,55,107,68,0,241,441
"Essex/Essex"," 145","Essex",2,7,44,133,103,0,289,496
"Essex/Essex"," 146","Essex",0,3,66,45,32,1,147,303
"Essex/Essex"," 147","Essex",1,6,95,114,108,1,325,530
"Essex/Essex"," 148","Essex",1,5,85,100,83,3,277,490
"Essex/Essex"," 149","Essex",1,6,80,104,55,0,246,423
"Essex/Essex"," 150","Essex",0,6,72,87,56,0,221,372
"Essex/Essex"," 151","Essex",0,5,76,102,82,1,266,353
"Essex/Essex"," 152","Essex",1,8,56,73,55,0,193,357
"Essex/Essex"," 153","Essex",1,8,69,120,66,0,264,467
"Essex/Essex"," 154","Essex",0,13,67,118,77,0,275,454
"Essex/Essex"," 155","Essex",0,5,56,59,87,0,207,347
"Essex/Essex"," 156","Essex",1,11,76,83,70,0,241,404
"Essex/Essex"," 157","Essex",0,8,70,122,87,1,288,440
"Essex/Essex"," 158","Essex",1,5,46,98,69,0,219,384
"Essex/Essex"," 159","Kingsville",0,4,32,76,54,0,166,240
"Essex/Essex"," 160","Kingsville",0,6,28,81,43,0,158,231
"Essex/Essex"," 161","Kingsville",0,5,45,110,48,0,208,330
"Essex/Essex"," 162","Kingsville",0,4,40,108,61,0,213,340
"Essex/Essex"," 163","Kingsville",0,10,74,152,56,1,293,447
"Essex/Essex"," 164A","Kingsville",0,6,54,138,58,1,257,377
"Essex/Essex"," 164B","Kingsville",1,3,53,104,59,0,220,340
"Essex/Essex"," 165","Kingsville",0,12,45,121,89,3,270,413
"Essex/Essex"," 166","Kingsville",0,2,76,115,81,1,275,432
"Essex/Essex"," 167","Kingsville",Void/Supprimé,,,,,,,
"Essex/Essex"," 168","Kingsville",0,1,47,101,53,0,202,351
"Essex/Essex"," 169","Kingsville",1,6,32,57,50,1,147,259
"Essex/Essex"," 170","Kingsville",0,2,21,90,41,0,154,220
"Essex/Essex"," 171","Kingsville",0,0,17,79,50,5,151,270
"Essex/Essex"," 172","Kingsville",2,6,22,82,82,4,198,346
"Essex/Essex"," 173","Kingsville",2,11,38,122,90,1,264,443
"Essex/Essex"," 174A","Kingsville",0,8,65,118,73,0,264,419
"Essex/Essex"," 174B","Kingsville",1,9,44,115,78,1,248,416
"Essex/Essex"," 175","Kingsville",1,7,48,137,96,1,290,576
"Essex/Essex"," 176","Kingsville",0,5,24,64,44,1,138,307
"Essex/Essex"," 177","Kingsville",1,3,44,66,48,0,162,262
"Essex/Essex"," 178","Kingsville",2,6,81,133,116,2,340,644
"Essex/Essex"," 179","Kingsville",0,10,60,132,110,1,313,554
"Essex/Essex"," 180","Kingsville",0,9,35,107,95,0,246,461
"Essex/Essex"," 181","Kingsville",0,13,48,111,101,1,274,457
"Essex/Essex"," 182","Kingsville",1,9,25,122,136,1,294,463
"Essex/Essex"," 183","Pelee Island",0,3,11,48,28,0,90,164
"Essex/Essex"," 184","Kingsville",0,7,43,104,96,0,250,457
"Essex/Essex"," 185","Kingsville",1,5,53,73,95,2,229,432
"Essex/Essex"," 186","Kingsville",2,5,30,65,61,0,163,322
"Essex/Essex"," 187","Kingsville",1,8,59,111,102,4,285,440
"Essex/Essex"," 188","Kingsville",0,13,74,125,95,2,309,497
"Essex/Essex"," 189","Kingsville",1,9,65,74,75,2,226,409
"Essex/Essex"," 190","Kingsville",0,8,53,70,61,0,192,362
"Essex/Essex"," 191","Kingsville",0,5,47,104,47,0,203,327
"Essex/Essex"," 192","Kingsville",0,3,50,77,71,0,201,362
"Essex/Essex"," 193","Kingsville",3,13,70,104,73,0,263,416
"Essex/Essex"," 194","Kingsville",0,11,55,86,60,0,212,378
"Essex/Essex"," 500","Mobile poll/Bureau itinérant",1,4,7,12,37,4,65,135
"Essex/Essex"," 501","Mobile poll/Bureau itinérant",1,5,19,27,73,1,126,234
"Essex/Essex"," 502","Mobile poll/Bureau itinérant",3,2,17,32,43,3,100,245
