Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre-Olivier Brunelle,Liza Frulla,Claude William Genest,Matthew McLauchlin,Thierry St-Cyr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Jeanne-Le Ber/Jeanne-Le Ber"," 1","Montréal",52,100,16,37,125,4,334,666
"Jeanne-Le Ber/Jeanne-Le Ber"," 2","Montréal",18,56,22,28,90,1,215,471
"Jeanne-Le Ber/Jeanne-Le Ber"," 3","Montréal",30,94,7,17,58,0,206,391
"Jeanne-Le Ber/Jeanne-Le Ber"," 4","Montréal",41,145,15,32,82,2,317,674
"Jeanne-Le Ber/Jeanne-Le Ber"," 5","Montréal",38,165,18,45,82,2,350,676
"Jeanne-Le Ber/Jeanne-Le Ber"," 6","Montréal",30,128,4,22,31,1,216,580
"Jeanne-Le Ber/Jeanne-Le Ber"," 7","Montréal",21,179,9,16,31,3,259,588
"Jeanne-Le Ber/Jeanne-Le Ber"," 8","Montréal",32,119,12,23,69,0,255,486
"Jeanne-Le Ber/Jeanne-Le Ber"," 9","Montréal",29,130,5,20,33,1,218,548
"Jeanne-Le Ber/Jeanne-Le Ber"," 10","Montréal",37,131,14,28,111,0,321,543
"Jeanne-Le Ber/Jeanne-Le Ber"," 11","Montréal",25,143,11,18,58,2,257,605
"Jeanne-Le Ber/Jeanne-Le Ber"," 12","Montréal",18,142,11,38,68,1,278,557
"Jeanne-Le Ber/Jeanne-Le Ber"," 13","Montréal",26,117,6,22,44,0,215,510
"Jeanne-Le Ber/Jeanne-Le Ber"," 14","Montréal",17,112,24,38,61,2,254,475
"Jeanne-Le Ber/Jeanne-Le Ber"," 15A","Montréal",23,140,19,23,67,3,275,505
"Jeanne-Le Ber/Jeanne-Le Ber"," 15B","Montréal",14,100,4,1,10,6,135,208
"Jeanne-Le Ber/Jeanne-Le Ber"," 16","Montréal",39,157,21,23,90,5,335,559
"Jeanne-Le Ber/Jeanne-Le Ber"," 17","Montréal",50,95,11,21,103,0,280,569
"Jeanne-Le Ber/Jeanne-Le Ber"," 18","Montréal",22,103,8,16,84,1,234,499
"Jeanne-Le Ber/Jeanne-Le Ber"," 19","Montréal",12,63,13,25,81,2,196,396
"Jeanne-Le Ber/Jeanne-Le Ber"," 20","Montréal",20,76,9,17,50,2,174,334
"Jeanne-Le Ber/Jeanne-Le Ber"," 21","Montréal",18,84,17,34,77,2,232,422
"Jeanne-Le Ber/Jeanne-Le Ber"," 22","Montréal",21,94,14,21,72,2,224,419
"Jeanne-Le Ber/Jeanne-Le Ber"," 23","Montréal",16,44,6,20,106,0,192,405
