Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Given,Tanya Mary Kappo,Zane Lewis,Susan Thompson,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Peace River/Peace River"," 1","Zama City",1,8,3,6,31,0,49,258
"Peace River/Peace River"," 2","Habay",4,168,6,4,8,0,190,568
"Peace River/Peace River"," 3","Rainbow Lake",7,18,12,19,162,2,220,531
"Peace River/Peace River"," 4","Rainbow Lake",2,9,2,7,55,0,75,118
"Peace River/Peace River"," 5","High Level",6,33,3,21,66,0,129,583
"Peace River/Peace River"," 6","Meander River",0,52,1,2,6,3,64,161
"Peace River/Peace River"," 7","High Level",12,13,4,34,97,1,161,370
"Peace River/Peace River"," 8A","High Level",12,22,4,31,119,0,188,397
"Peace River/Peace River"," 8B","High Level",18,25,5,40,94,0,182,413
"Peace River/Peace River"," 9","High Level",4,2,0,5,23,0,34,90
"Peace River/Peace River"," 10","High Level",13,25,2,13,55,0,108,220
"Peace River/Peace River"," 10-1","High Level",1,12,0,8,30,0,51,184
"Peace River/Peace River"," 11","High Level",11,22,6,14,71,0,124,304
"Peace River/Peace River"," 12","Bushe Lake",11,44,9,14,152,0,230,338
"Peace River/Peace River"," 13","Rocky Lane",4,11,2,16,60,0,93,210
"Peace River/Peace River"," 14","Child Lake 164A",1,26,1,0,2,0,30,64
"Peace River/Peace River"," 15","Boyer 164",0,18,2,2,9,0,31,97
"Peace River/Peace River"," 16","Boyer Settlement",4,13,1,11,25,1,55,137
"Peace River/Peace River"," 17","Jean d'Or Prairie 217",3,204,4,5,10,0,226,368
"Peace River/Peace River"," 18A","Fox Lake",2,204,2,15,16,2,241,388
"Peace River/Peace River"," 18B","Fox Lake",0,104,1,3,0,0,108,429
"Peace River/Peace River"," 19","MacKenzie No. 23",2,4,0,4,23,0,33,65
"Peace River/Peace River"," 19-1","Tall Cree 173A",2,34,4,5,6,0,51,84
"Peace River/Peace River"," 20","Tall Cree 173",0,34,0,4,1,0,39,100
"Peace River/Peace River"," 21","Fort Vermilion",23,79,4,26,86,0,218,648
"Peace River/Peace River"," 22","Bleumenort",1,1,0,0,100,0,102,438
"Peace River/Peace River"," 23","La Crête",3,0,1,1,181,0,186,448
"Peace River/Peace River"," 24A","La Crête",3,4,2,1,153,0,163,617
"Peace River/Peace River"," 24B","La Crête",0,3,1,6,159,0,169,596
"Peace River/Peace River"," 25","La Crête",9,8,2,9,189,0,217,400
"Peace River/Peace River"," 26","La Crête",3,1,0,0,137,0,141,357
"Peace River/Peace River"," 27","Buffalo Head Prairie",1,1,0,6,93,0,101,402
"Peace River/Peace River"," 28","MacKenzie No. 23",3,48,1,15,15,0,82,261
"Peace River/Peace River"," 28-1","Keg River",11,7,1,2,31,0,52,133
"Peace River/Peace River"," 29","Hotchkiss",9,1,6,12,83,0,111,191
"Peace River/Peace River"," 30","Deadwood",8,8,5,17,87,0,125,240
"Peace River/Peace River"," 31","North Star",18,5,3,15,109,0,150,335
"Peace River/Peace River"," 32","Notikewin",25,4,2,8,107,0,146,291
"Peace River/Peace River"," 33","Manning",17,14,4,21,126,0,182,344
"Peace River/Peace River"," 34","Manning",14,14,7,24,106,0,165,363
"Peace River/Peace River"," 35","Manning",10,6,5,14,51,0,86,156
"Peace River/Peace River"," 36","Worsley",25,4,4,5,147,0,185,329
"Peace River/Peace River"," 37","Bear Canyon",11,0,3,2,44,1,61,122
"Peace River/Peace River"," 38","Cleardale",6,2,0,2,52,0,62,241
"Peace River/Peace River"," 39","Eureka River",24,11,5,18,104,0,162,274
"Peace River/Peace River"," 40","Deer Hill",18,7,1,23,95,1,145,275
"Peace River/Peace River"," 41","Hines Creek",27,9,3,16,145,1,201,325
"Peace River/Peace River"," 42","Hines Creek",32,6,7,24,96,0,165,335
"Peace River/Peace River"," 43","Fourth Creek",22,4,2,9,96,0,133,226
"Peace River/Peace River"," 44","Silver Valley",15,2,2,20,82,0,121,190
"Peace River/Peace River"," 45","Highland Park",9,3,3,19,29,0,63,153
"Peace River/Peace River"," 46","Bluesky",33,8,6,33,133,0,213,367
"Peace River/Peace River"," 47","Fairview",42,11,2,17,158,1,231,401
"Peace River/Peace River"," 48","Fairview",22,17,7,32,132,0,210,369
"Peace River/Peace River"," 49","Fairview",22,10,5,28,93,3,161,316
"Peace River/Peace River"," 50","Fairview",14,7,2,14,60,0,97,458
"Peace River/Peace River"," 50-1","Fairview",16,9,5,13,48,0,91,194
"Peace River/Peace River"," 51","Fairview",20,14,7,26,76,2,145,318
"Peace River/Peace River"," 52","Fairview",29,16,2,24,106,0,177,315
"Peace River/Peace River"," 53","Friedenstal",38,7,2,24,164,0,235,399
"Peace River/Peace River"," 54","Whitelaw",17,14,4,26,111,1,173,285
"Peace River/Peace River"," 55","Brownvale",24,32,4,24,116,0,200,319
"Peace River/Peace River"," 56","Berwyn",17,6,7,14,62,0,106,176
"Peace River/Peace River"," 57","Berwyn",30,25,9,33,125,0,222,393
"Peace River/Peace River"," 58","Grimshaw",21,11,6,16,121,0,175,289
"Peace River/Peace River"," 59","Grimshaw",13,7,0,18,120,0,158,309
"Peace River/Peace River"," 60","Grimshaw",13,14,3,24,64,0,118,219
"Peace River/Peace River"," 61","Grimshaw",15,13,3,8,77,0,116,263
"Peace River/Peace River"," 62A","Grimshaw",16,10,1,24,99,0,150,369
"Peace River/Peace River"," 62B","Grimshaw",22,7,1,25,105,0,160,339
"Peace River/Peace River"," 63","Grimshaw",24,10,7,12,94,0,147,280
"Peace River/Peace River"," 64","Warrensville",33,8,2,17,135,0,195,329
"Peace River/Peace River"," 65","Dixonville",25,14,6,31,136,0,212,353
"Peace River/Peace River"," 66","Weberville",8,4,1,13,45,0,71,105
"Peace River/Peace River"," 67","Weberville",33,18,12,39,143,1,246,387
"Peace River/Peace River"," 68","Roma",5,6,4,12,30,0,57,122
"Peace River/Peace River"," 69","Peace River",19,17,3,33,70,0,142,302
"Peace River/Peace River"," 70","Peace River",24,23,6,35,149,0,237,428
"Peace River/Peace River"," 71","Peace River",34,24,9,46,164,0,277,571
"Peace River/Peace River"," 72","Peace River",21,24,7,40,93,0,185,382
"Peace River/Peace River"," 73","Peace River",23,33,6,40,72,1,175,347
"Peace River/Peace River"," 74","Peace River",14,7,2,27,52,2,104,322
"Peace River/Peace River"," 75","Peace River",22,11,6,44,95,0,178,390
"Peace River/Peace River"," 76","Peace River",12,19,5,39,61,0,136,409
"Peace River/Peace River"," 77","Peace River",31,18,8,48,124,0,229,394
"Peace River/Peace River"," 78","Peace River",35,26,3,38,102,0,204,387
