Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Verona Jackson,Shane Jolley,Jill McIllwraith,Larry Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 1","Tobermory",59,24,33,102,0,218,394
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 2","St. Edmunds",63,25,32,87,1,208,407
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 3","Miller Lake West",67,23,46,152,1,289,444
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 4","Stokes Bay",53,36,33,130,1,253,481
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 5","Lion's Head",32,12,11,63,0,118,215
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 6","Lion's Head",24,10,11,40,0,85,183
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 7","Barrow Bay",54,19,28,102,2,205,428
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 8","Barrow Bay",41,30,19,107,0,197,349
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 9","South Bruce Peninsula",37,15,12,59,0,123,202
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 10","South Bruce Peninsula",21,13,9,76,0,119,192
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 11","South Bruce Peninsula",38,17,20,94,0,169,295
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 12","South Bruce Peninsula",37,20,11,108,0,176,294
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 13","South Bruce Peninsula",111,19,45,11,0,186,332
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14","South Bruce Peninsula",117,26,37,143,0,323,584
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 15","South Bruce Peninsula",36,36,17,118,0,207,392
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 16","South Bruce Peninsula",47,22,27,105,1,202,396
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 17A","South Bruce Peninsula",33,22,17,57,0,129,296
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 17B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,2
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 18","South Bruce Peninsula",32,16,10,56,1,115,262
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 19A","South Bruce Peninsula",22,17,12,76,0,127,248
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 19B","South Bruce Peninsula",30,12,12,52,1,107,245
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 20","South Bruce Peninsula",41,14,12,73,1,141,306
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 21","Oxenden",57,21,26,165,1,270,450
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 22","Zion",49,29,27,124,0,229,444
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 23","Big Bay",45,30,13,80,0,168,282
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 24","South Bruce Peninsula",67,32,40,104,1,244,479
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 25","South Bruce Peninsula",32,21,21,63,0,137,231
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 26","South Bruce Peninsula",40,15,25,105,0,185,417
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 27","South Bruce Peninsula",35,17,26,124,0,202,337
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 28","South Bruce Peninsula",65,29,40,112,0,246,392
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 29","Cruickshank",60,23,43,215,0,341,452
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 30","Shallow Lake",58,34,23,116,0,231,460
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 31","Keppel",56,35,27,167,0,285,442
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 32","Keppel",64,22,19,158,1,264,462
