Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Caron,Otto Casanova,Peter Creighton,Raminder Gill,Wajid Khan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga--Streetsville/Mississauga--Streetsville"," 17","Mississauga",15,13,0,74,94,0,196,320
"Mississauga--Streetsville/Mississauga--Streetsville"," 18","Mississauga",46,10,1,103,149,0,309,555
"Mississauga--Streetsville/Mississauga--Streetsville"," 19A","Mississauga",18,7,0,55,107,0,187,285
"Mississauga--Streetsville/Mississauga--Streetsville"," 19B","Mississauga",27,12,1,61,95,0,196,310
"Mississauga--Streetsville/Mississauga--Streetsville"," 20","Mississauga",29,6,8,88,113,0,244,432
"Mississauga--Streetsville/Mississauga--Streetsville"," 21","Mississauga",30,9,0,55,92,0,186,403
"Mississauga--Streetsville/Mississauga--Streetsville"," 22A","Mississauga",27,9,2,44,99,0,181,288
"Mississauga--Streetsville/Mississauga--Streetsville"," 22B","Mississauga",28,5,2,66,92,0,193,311
"Mississauga--Streetsville/Mississauga--Streetsville"," 23","Mississauga",21,10,2,62,90,0,185,326
"Mississauga--Streetsville/Mississauga--Streetsville"," 24","Mississauga",23,12,9,76,113,0,233,399
"Mississauga--Streetsville/Mississauga--Streetsville"," 25","Mississauga",41,21,4,60,110,0,236,386
"Mississauga--Streetsville/Mississauga--Streetsville"," 26","Mississauga",27,9,7,78,99,0,220,371
"Mississauga--Streetsville/Mississauga--Streetsville"," 27","Mississauga",54,11,4,111,130,1,311,516
"Mississauga--Streetsville/Mississauga--Streetsville"," 28","Mississauga",59,19,9,105,121,0,313,452
"Mississauga--Streetsville/Mississauga--Streetsville"," 29","Mississauga",26,7,4,83,82,2,204,358
"Mississauga--Streetsville/Mississauga--Streetsville"," 30A","Mississauga",14,7,1,80,95,0,197,403
"Mississauga--Streetsville/Mississauga--Streetsville"," 30B","Mississauga",20,1,3,78,96,0,198,364
"Mississauga--Streetsville/Mississauga--Streetsville"," 31","Mississauga",32,13,18,129,141,3,336,577
"Mississauga--Streetsville/Mississauga--Streetsville"," 32","Mississauga",32,6,5,121,115,2,281,464
"Mississauga--Streetsville/Mississauga--Streetsville"," 33","Mississauga",40,7,9,89,134,0,279,528
"Mississauga--Streetsville/Mississauga--Streetsville"," 34","Mississauga",48,8,2,94,158,1,311,500
"Mississauga--Streetsville/Mississauga--Streetsville"," 35","Mississauga",27,12,5,83,105,0,232,364
"Mississauga--Streetsville/Mississauga--Streetsville"," 36","Mississauga",41,19,1,89,120,2,272,453
"Mississauga--Streetsville/Mississauga--Streetsville"," 37A","Mississauga",18,5,4,55,63,0,145,267
"Mississauga--Streetsville/Mississauga--Streetsville"," 37B","Mississauga",21,3,4,59,82,3,172,312
"Mississauga--Streetsville/Mississauga--Streetsville"," 38A","Mississauga",24,7,3,61,72,0,167,295
"Mississauga--Streetsville/Mississauga--Streetsville"," 38B","Mississauga",21,5,6,54,96,3,185,324
"Mississauga--Streetsville/Mississauga--Streetsville"," 39","Mississauga",31,18,3,119,129,2,302,541
"Mississauga--Streetsville/Mississauga--Streetsville"," 40","Mississauga",45,9,2,99,108,2,265,417
"Mississauga--Streetsville/Mississauga--Streetsville"," 41","Mississauga",21,9,2,61,99,2,194,351
"Mississauga--Streetsville/Mississauga--Streetsville"," 42","Mississauga",39,14,3,110,150,0,316,513
"Mississauga--Streetsville/Mississauga--Streetsville"," 43","Mississauga",25,5,2,44,102,2,180,312
"Mississauga--Streetsville/Mississauga--Streetsville"," 44","Mississauga",17,7,1,57,96,0,178,311
"Mississauga--Streetsville/Mississauga--Streetsville"," 45","Mississauga",38,5,2,116,145,2,308,541
"Mississauga--Streetsville/Mississauga--Streetsville"," 46","Mississauga",39,9,2,125,151,1,327,549
"Mississauga--Streetsville/Mississauga--Streetsville"," 47A","Mississauga",26,7,6,86,71,0,196,383
"Mississauga--Streetsville/Mississauga--Streetsville"," 47B","Mississauga",20,10,1,70,80,0,181,342
"Mississauga--Streetsville/Mississauga--Streetsville"," 48","Mississauga",55,13,4,110,119,0,301,474
"Mississauga--Streetsville/Mississauga--Streetsville"," 49A","Mississauga",43,8,3,58,56,0,168,325
"Mississauga--Streetsville/Mississauga--Streetsville"," 49B","Mississauga",38,20,8,74,47,0,187,324
"Mississauga--Streetsville/Mississauga--Streetsville"," 50","Mississauga",8,7,1,32,23,0,71,133
"Mississauga--Streetsville/Mississauga--Streetsville"," 51","Mississauga",30,21,5,95,82,2,235,380
"Mississauga--Streetsville/Mississauga--Streetsville"," 52","Mississauga",39,22,3,79,109,0,252,389
"Mississauga--Streetsville/Mississauga--Streetsville"," 53","Mississauga",28,6,2,41,64,0,141,284
"Mississauga--Streetsville/Mississauga--Streetsville"," 54","Mississauga",54,22,3,86,99,0,264,473
"Mississauga--Streetsville/Mississauga--Streetsville"," 55","Mississauga",24,4,3,34,41,0,106,251
"Mississauga--Streetsville/Mississauga--Streetsville"," 56","Mississauga",40,7,4,83,91,0,225,375
"Mississauga--Streetsville/Mississauga--Streetsville"," 57","Mississauga",54,30,8,90,114,4,300,499
"Mississauga--Streetsville/Mississauga--Streetsville"," 58","Mississauga",67,30,5,104,107,0,313,449
"Mississauga--Streetsville/Mississauga--Streetsville"," 59","Mississauga",41,14,1,89,79,1,225,373
"Mississauga--Streetsville/Mississauga--Streetsville"," 60","Mississauga",19,6,0,43,23,1,92,171
"Mississauga--Streetsville/Mississauga--Streetsville"," 61","Mississauga",40,9,8,87,99,0,243,326
"Mississauga--Streetsville/Mississauga--Streetsville"," 62","Mississauga",40,7,1,35,42,0,125,282
"Mississauga--Streetsville/Mississauga--Streetsville"," 63","Mississauga",16,6,2,50,57,0,131,227
"Mississauga--Streetsville/Mississauga--Streetsville"," 64","Mississauga",26,24,0,60,62,3,175,301
"Mississauga--Streetsville/Mississauga--Streetsville"," 65","Mississauga",38,17,5,81,76,0,217,373
"Mississauga--Streetsville/Mississauga--Streetsville"," 66","Mississauga",42,10,6,74,69,0,201,340
"Mississauga--Streetsville/Mississauga--Streetsville"," 67","Mississauga",54,9,6,124,107,2,302,485
"Mississauga--Streetsville/Mississauga--Streetsville"," 68","Mississauga",30,26,10,75,87,1,229,304
"Mississauga--Streetsville/Mississauga--Streetsville"," 69","Mississauga",29,12,10,65,67,1,184,255
"Mississauga--Streetsville/Mississauga--Streetsville"," 70","Mississauga",47,17,4,98,108,2,276,430
"Mississauga--Streetsville/Mississauga--Streetsville"," 71","Mississauga",53,12,3,122,100,2,292,478
"Mississauga--Streetsville/Mississauga--Streetsville"," 72","Mississauga",41,10,2,80,155,3,291,524
"Mississauga--Streetsville/Mississauga--Streetsville"," 73","Mississauga",23,21,4,97,115,1,261,415
"Mississauga--Streetsville/Mississauga--Streetsville"," 74","Mississauga",59,25,3,101,115,1,304,470
"Mississauga--Streetsville/Mississauga--Streetsville"," 75","Mississauga",53,12,5,82,90,0,242,376
"Mississauga--Streetsville/Mississauga--Streetsville"," 76","Mississauga",65,14,6,101,101,0,287,471
"Mississauga--Streetsville/Mississauga--Streetsville"," 77","Mississauga",32,7,2,44,51,1,137,258
"Mississauga--Streetsville/Mississauga--Streetsville"," 78","Mississauga",15,8,1,65,60,0,149,234
"Mississauga--Streetsville/Mississauga--Streetsville"," 79","Mississauga",30,13,2,65,96,0,206,298
