Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Allen,Robert Bérubé Jr.,Alice Finnamore,Andy Savoy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Tobique--Mactaquac/Tobique--Mactaquac"," 20","Grand Falls--Grand-Sault",39,7,34,83,4,167,378
"Tobique--Mactaquac/Tobique--Mactaquac"," 21A","Grand Falls--Grand-Sault",36,3,27,61,3,130,256
"Tobique--Mactaquac/Tobique--Mactaquac"," 21B","Grand Falls--Grand-Sault",27,3,32,66,3,131,227
"Tobique--Mactaquac/Tobique--Mactaquac"," 22","Grand Falls--Grand-Sault",60,5,21,98,7,191,360
"Tobique--Mactaquac/Tobique--Mactaquac"," 23","Grand Falls--Grand-Sault",43,6,19,91,2,161,361
"Tobique--Mactaquac/Tobique--Mactaquac"," 24","Grand Falls--Grand-Sault",45,6,17,109,3,180,347
"Tobique--Mactaquac/Tobique--Mactaquac"," 25","Tilley",72,3,17,87,6,185,304
"Tobique--Mactaquac/Tobique--Mactaquac"," 26","Tilley",60,0,22,87,0,169,333
"Tobique--Mactaquac/Tobique--Mactaquac"," 27A","Malisseet",6,0,8,87,0,101,330
"Tobique--Mactaquac/Tobique--Mactaquac"," 27B","Malisseet",6,0,20,90,0,116,367
"Tobique--Mactaquac/Tobique--Mactaquac"," 28","Rowena",39,1,5,51,0,96,164
"Tobique--Mactaquac/Tobique--Mactaquac"," 29","Riley Brook",67,5,6,18,1,97,172
"Tobique--Mactaquac/Tobique--Mactaquac"," 30","Burntland Brook",68,1,13,77,0,159,310
"Tobique--Mactaquac/Tobique--Mactaquac"," 31","Sisson Ridge",28,1,11,58,2,100,324
"Tobique--Mactaquac/Tobique--Mactaquac"," 32","McLaughlin",74,1,26,87,0,188,456
"Tobique--Mactaquac/Tobique--Mactaquac"," 33","Plaster Rock",55,0,17,99,0,171,332
"Tobique--Mactaquac/Tobique--Mactaquac"," 34","Plaster Rock",83,2,16,72,1,174,387
"Tobique--Mactaquac/Tobique--Mactaquac"," 35A","Plaster Rock",49,0,5,45,0,99,229
"Tobique--Mactaquac/Tobique--Mactaquac"," 35B","Mobile poll/Bureau itinérant",Merged with No. 500C/Fusionné avec le nº 500C,,,,,,23
"Tobique--Mactaquac/Tobique--Mactaquac"," 36A","Arthurette",55,4,10,75,0,144,299
"Tobique--Mactaquac/Tobique--Mactaquac"," 36B","Arthurette",53,1,9,56,0,119,233
"Tobique--Mactaquac/Tobique--Mactaquac"," 37","Wapske",13,0,16,10,0,39,78
"Tobique--Mactaquac/Tobique--Mactaquac"," 38","Gillespie Settlement",71,3,10,115,4,203,370
"Tobique--Mactaquac/Tobique--Mactaquac"," 39","Aroostook",40,4,14,75,1,134,263
"Tobique--Mactaquac/Tobique--Mactaquac"," 40","Upper California",58,2,13,96,0,169,322
"Tobique--Mactaquac/Tobique--Mactaquac"," 41","Upper California",43,6,14,96,0,159,268
"Tobique--Mactaquac/Tobique--Mactaquac"," 42","Andover",69,0,11,110,1,191,442
"Tobique--Mactaquac/Tobique--Mactaquac"," 43","Bairdsville",56,2,10,66,1,135,224
"Tobique--Mactaquac/Tobique--Mactaquac"," 44","Perth-Andover",52,0,11,87,1,151,330
"Tobique--Mactaquac/Tobique--Mactaquac"," 45","Perth-Andover",54,0,10,98,1,163,336
"Tobique--Mactaquac/Tobique--Mactaquac"," 46","Perth-Andover",33,0,12,77,1,123,295
"Tobique--Mactaquac/Tobique--Mactaquac"," 47","Perth-Andover",54,2,10,98,0,164,344
"Tobique--Mactaquac/Tobique--Mactaquac"," 48A","Perth-Andover",30,1,5,33,1,70,145
"Tobique--Mactaquac/Tobique--Mactaquac"," 48B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,60
"Tobique--Mactaquac/Tobique--Mactaquac"," 49","Currie",41,4,18,124,0,187,374
"Tobique--Mactaquac/Tobique--Mactaquac"," 50","Perth",61,2,23,91,1,178,372
"Tobique--Mactaquac/Tobique--Mactaquac"," 51","Juniper",75,5,17,90,1,188,274
"Tobique--Mactaquac/Tobique--Mactaquac"," 52","Juniper",50,2,23,52,0,127,196
"Tobique--Mactaquac/Tobique--Mactaquac"," 53","Johnville",58,2,9,80,0,149,291
"Tobique--Mactaquac/Tobique--Mactaquac"," 54","Glassville",105,7,27,81,1,221,351
"Tobique--Mactaquac/Tobique--Mactaquac"," 55","Upper Kent",78,0,12,32,0,122,201
"Tobique--Mactaquac/Tobique--Mactaquac"," 56","Holmesville",121,3,11,64,1,200,314
"Tobique--Mactaquac/Tobique--Mactaquac"," 57","Upper Kent",100,3,14,45,1,163,267
"Tobique--Mactaquac/Tobique--Mactaquac"," 58","Bath",104,2,15,72,1,194,339
"Tobique--Mactaquac/Tobique--Mactaquac"," 59","Bath",50,1,9,42,1,103,212
"Tobique--Mactaquac/Tobique--Mactaquac"," 60","Bath",63,2,11,53,2,131,236
"Tobique--Mactaquac/Tobique--Mactaquac"," 61","Gordonsville",83,8,35,90,2,218,383
"Tobique--Mactaquac/Tobique--Mactaquac"," 62","Bristol",74,3,16,48,2,143,211
"Tobique--Mactaquac/Tobique--Mactaquac"," 63","Bristol",119,8,9,105,2,243,359
"Tobique--Mactaquac/Tobique--Mactaquac"," 64","Bristol",51,2,8,57,1,119,202
"Tobique--Mactaquac/Tobique--Mactaquac"," 65","Bristol",112,7,20,135,1,275,366
"Tobique--Mactaquac/Tobique--Mactaquac"," 66","Riverbank",91,3,21,72,0,187,324
"Tobique--Mactaquac/Tobique--Mactaquac"," 67","Stickney",85,2,25,48,1,161,235
"Tobique--Mactaquac/Tobique--Mactaquac"," 68","Lansdowne",122,1,18,55,0,196,310
"Tobique--Mactaquac/Tobique--Mactaquac"," 69","Upper Knoxford",57,2,7,20,0,86,175
"Tobique--Mactaquac/Tobique--Mactaquac"," 70","Upper Knoxford",82,2,10,41,0,135,274
"Tobique--Mactaquac/Tobique--Mactaquac"," 71","Wicklow",117,3,35,98,0,253,454
"Tobique--Mactaquac/Tobique--Mactaquac"," 72","Royalton",83,0,8,40,0,131,262
"Tobique--Mactaquac/Tobique--Mactaquac"," 73","Wakem Corner",67,1,14,45,0,127,233
"Tobique--Mactaquac/Tobique--Mactaquac"," 74","Centreville",138,6,25,111,2,282,438
"Tobique--Mactaquac/Tobique--Mactaquac"," 75","Good Corner",113,4,13,77,0,207,348
"Tobique--Mactaquac/Tobique--Mactaquac"," 76","Lakeville",108,5,22,82,0,217,366
"Tobique--Mactaquac/Tobique--Mactaquac"," 77","Simonds",145,1,15,99,0,260,406
"Tobique--Mactaquac/Tobique--Mactaquac"," 78A","Lindsay",90,5,19,61,2,177,276
"Tobique--Mactaquac/Tobique--Mactaquac"," 78B","Lindsay",63,2,16,35,0,116,189
"Tobique--Mactaquac/Tobique--Mactaquac"," 79","Jacksonville",98,1,9,52,1,161,241
"Tobique--Mactaquac/Tobique--Mactaquac"," 80","Jacksonville",127,1,28,75,0,231,407
"Tobique--Mactaquac/Tobique--Mactaquac"," 81","Waterville",101,0,18,91,5,215,391
"Tobique--Mactaquac/Tobique--Mactaquac"," 82","Somerville",133,2,16,53,1,205,385
"Tobique--Mactaquac/Tobique--Mactaquac"," 83","Victoria Corner",116,3,9,26,1,155,298
"Tobique--Mactaquac/Tobique--Mactaquac"," 84","Woodstock",84,1,14,79,0,178,367
"Tobique--Mactaquac/Tobique--Mactaquac"," 85","Windsor",90,4,25,63,1,183,353
"Tobique--Mactaquac/Tobique--Mactaquac"," 86","Carlisle",53,3,27,35,1,119,215
"Tobique--Mactaquac/Tobique--Mactaquac"," 87","Brighton",69,1,15,54,0,139,252
"Tobique--Mactaquac/Tobique--Mactaquac"," 88","Ashland",56,2,14,63,1,136,224
"Tobique--Mactaquac/Tobique--Mactaquac"," 89","Hartland",98,10,14,125,1,248,466
"Tobique--Mactaquac/Tobique--Mactaquac"," 90","Hartland",66,3,12,63,0,144,260
"Tobique--Mactaquac/Tobique--Mactaquac"," 91","Lower Brighton",102,4,22,47,2,177,329
"Tobique--Mactaquac/Tobique--Mactaquac"," 92A","Woodstock",74,2,12,77,1,166,285
"Tobique--Mactaquac/Tobique--Mactaquac"," 92B","Woodstock",109,3,7,96,0,215,324
