Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon S. Earle,Jim Hnatiuk,Darian Malcom Huskilson,Gerald Gordon Keddy,Katie Morris Boudreau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 1A","Upper Tantallon",53,0,84,46,0,1,184,320
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 1B","Upper Tantallon",44,0,69,62,1,0,176,305
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 2","Stillwater Lake",Void/Supprimé,,,,,,,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 3","Boutiliers Point",97,6,50,42,4,0,199,434
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 4","Masons Point",92,3,57,54,10,1,217,368
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 5","Head of St. Margarets Bay",44,0,26,36,3,1,110,220
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 6","Allen Heights",57,4,89,48,6,1,205,353
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 7","French Village",62,3,75,56,4,0,200,344
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 8","Black Point",81,5,61,25,3,0,175,293
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 9","Boutiliers Point",70,5,33,25,1,0,134,262
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 10","Queensland",112,3,41,58,8,1,223,327
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 11","Queensland",106,0,79,89,8,0,282,479
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 12","Tantallon",61,1,54,47,7,1,171,311
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 13","Tantallon",62,0,65,63,7,2,199,351
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 14","Glen Haven",119,2,82,112,11,1,327,541
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 15","Seabright",122,3,84,71,11,2,293,487
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 16","Glen Margaret",56,0,60,40,9,0,165,279
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 17","Tantallon",Void/Supprimé,,,,,,,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 18","Hacketts Cove",93,3,88,86,11,2,283,452
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 19","Indian Harbour--Peggy's Cove",50,2,32,37,2,1,124,239
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 20","West Dover",62,0,25,19,1,1,108,224
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 21","East Dover",79,0,77,41,7,0,204,277
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 22","Bayside",34,0,45,25,3,0,107,254
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 23","Mill Road",36,2,41,103,7,0,189,437
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 24","New Ross--Aldersville",31,2,23,95,3,1,155,221
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 25","Lake Ramsay",20,1,13,149,3,4,190,289
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 26","Seffernsville",19,0,28,57,2,0,106,171
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 27","Windsor Road",59,2,39,94,11,2,207,426
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 28","Chester Grant",88,4,40,96,5,1,234,371
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 29","Chester Basin",91,13,56,104,17,0,281,478
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 30","Lower Grant Road",82,10,56,100,8,2,258,492
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 31","Robinsons Corner",74,3,78,93,11,2,261,513
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 32","Chester",93,5,85,96,12,0,291,557
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 33","East Chester",45,4,37,63,4,1,154,262
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 34","Chester",73,3,72,68,6,1,223,416
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 35","Chester",52,4,38,66,8,1,169,351
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 36","Tancook Islands",11,0,14,39,1,0,65,141
