Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Philip Fernandez,Bill Graham,Michel Prairie,Lewis Reford,Michael Shapcott,Chris Tindal,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto Centre/Toronto-Centre"," 52","Toronto",0,0,139,0,26,70,10,1,0,246,407
"Toronto Centre/Toronto-Centre"," 53","Toronto",2,0,156,0,22,71,16,2,2,271,412
"Toronto Centre/Toronto-Centre"," 54","Toronto",3,0,181,1,16,120,18,0,0,339,510
"Toronto Centre/Toronto-Centre"," 55","Toronto",0,1,197,1,44,140,15,0,2,400,680
"Toronto Centre/Toronto-Centre"," 56","Toronto",0,0,114,0,27,66,10,0,2,219,400
"Toronto Centre/Toronto-Centre"," 57","Toronto",0,1,138,0,27,85,23,0,1,275,493
"Toronto Centre/Toronto-Centre"," 58","Toronto",1,2,129,1,18,89,6,2,3,251,444
"Toronto Centre/Toronto-Centre"," 59","Toronto",0,0,155,0,27,102,13,0,4,301,464
"Toronto Centre/Toronto-Centre"," 60A","Toronto",0,1,168,0,41,124,21,0,2,357,613
"Toronto Centre/Toronto-Centre"," 60B","Toronto",1,0,213,0,40,107,25,0,0,386,655
"Toronto Centre/Toronto-Centre"," 61","Toronto",1,0,165,1,33,97,15,0,3,315,533
"Toronto Centre/Toronto-Centre"," 62","Toronto",Void/Supprimé,,,,,,,,,,
"Toronto Centre/Toronto-Centre"," 63","Toronto",Void/Supprimé,,,,,,,,,,
"Toronto Centre/Toronto-Centre"," 64","Toronto",Merged with No. 459/Fusionné avec le nº 459,,,,,,,,,,262
"Toronto Centre/Toronto-Centre"," 65A","Toronto",0,0,176,0,23,69,9,0,0,277,416
"Toronto Centre/Toronto-Centre"," 65B","Toronto",0,0,169,0,19,79,7,0,0,274,391
"Toronto Centre/Toronto-Centre"," 66","Toronto",0,0,104,0,51,15,9,1,1,181,382
"Toronto Centre/Toronto-Centre"," 67","Toronto",0,1,128,0,35,92,11,0,1,268,489
"Toronto Centre/Toronto-Centre"," 68A","Toronto",1,0,199,0,34,129,21,1,1,386,705
"Toronto Centre/Toronto-Centre"," 68B","Mobile poll/Bureau itinérant",1,0,97,0,23,23,4,1,4,153,109
"Toronto Centre/Toronto-Centre"," 69","Toronto",1,0,118,0,25,70,18,0,0,232,484
"Toronto Centre/Toronto-Centre"," 70","Toronto",1,0,218,0,44,110,17,0,2,392,614
"Toronto Centre/Toronto-Centre"," 71","Toronto",1,0,39,0,9,26,2,0,2,79,241
"Toronto Centre/Toronto-Centre"," 72","Toronto",0,0,130,0,45,56,23,0,0,254,394
"Toronto Centre/Toronto-Centre"," 73","Toronto",0,0,154,0,44,59,15,2,0,274,406
"Toronto Centre/Toronto-Centre"," 74","Toronto",0,0,156,0,53,73,16,0,2,300,430
"Toronto Centre/Toronto-Centre"," 75","Toronto",0,0,151,0,28,87,22,0,0,288,437
"Toronto Centre/Toronto-Centre"," 76","Toronto",0,1,95,0,23,89,21,0,0,229,364
"Toronto Centre/Toronto-Centre"," 77","Toronto",0,1,113,1,25,89,12,1,0,242,388
"Toronto Centre/Toronto-Centre"," 78","Toronto",0,0,105,3,35,71,22,2,0,238,427
"Toronto Centre/Toronto-Centre"," 79","Toronto",2,0,161,2,29,168,9,0,0,371,469
"Toronto Centre/Toronto-Centre"," 80","Toronto",7,1,130,2,31,78,8,2,5,264,555
"Toronto Centre/Toronto-Centre"," 81","Toronto",2,2,120,0,19,92,15,0,5,255,433
"Toronto Centre/Toronto-Centre"," 82","Toronto",2,0,113,0,24,88,15,0,0,242,431
"Toronto Centre/Toronto-Centre"," 83A","Toronto",0,0,125,1,26,98,19,0,2,271,457
"Toronto Centre/Toronto-Centre"," 83B","Toronto",0,0,174,1,34,85,22,0,1,317,493
"Toronto Centre/Toronto-Centre"," 84","Toronto",0,0,76,0,39,12,1,0,0,128,208
"Toronto Centre/Toronto-Centre"," 85","Toronto",1,0,52,0,8,28,4,2,2,97,174
"Toronto Centre/Toronto-Centre"," 86A","Toronto",0,0,130,1,29,54,16,0,0,230,367
"Toronto Centre/Toronto-Centre"," 86B","Toronto",0,1,150,0,31,50,13,0,2,247,367
"Toronto Centre/Toronto-Centre"," 87","Toronto",0,0,132,1,18,82,13,1,0,247,413
"Toronto Centre/Toronto-Centre"," 88","Toronto",0,0,137,1,30,103,25,0,0,296,477
"Toronto Centre/Toronto-Centre"," 89","Toronto",Merged with No. 459/Fusionné avec le nº 459,,,,,,,,,,66
"Toronto Centre/Toronto-Centre"," 90","Toronto",Void/Supprimé,,,,,,,,,,
"Toronto Centre/Toronto-Centre"," 91A","Toronto",1,0,120,0,25,43,13,0,1,203,357
"Toronto Centre/Toronto-Centre"," 91B","Toronto",0,0,133,0,46,63,17,0,0,259,427
"Toronto Centre/Toronto-Centre"," 92","Toronto",0,0,116,0,32,65,15,1,2,231,448
"Toronto Centre/Toronto-Centre"," 93A","Toronto",0,0,116,2,31,87,9,0,0,245,435
"Toronto Centre/Toronto-Centre"," 93B","Toronto",0,0,115,0,22,87,16,2,3,245,452
"Toronto Centre/Toronto-Centre"," 94","Toronto",0,3,49,0,20,51,3,0,5,131,335
"Toronto Centre/Toronto-Centre"," 95","Toronto",0,0,101,0,16,75,17,0,0,209,449
"Toronto Centre/Toronto-Centre"," 96","Toronto",0,0,48,0,34,31,6,0,2,121,356
"Toronto Centre/Toronto-Centre"," 97","Toronto",3,1,99,0,17,59,2,0,0,181,348
"Toronto Centre/Toronto-Centre"," 98","Toronto",2,0,153,3,41,56,14,1,5,275,436
"Toronto Centre/Toronto-Centre"," 99","Toronto",1,0,82,0,26,63,13,1,1,187,303
"Toronto Centre/Toronto-Centre"," 100","Toronto",1,0,121,1,32,79,12,0,5,251,551
"Toronto Centre/Toronto-Centre"," 101","Toronto",0,2,106,2,25,62,15,1,0,213,474
"Toronto Centre/Toronto-Centre"," 102","Toronto",0,0,117,0,26,75,13,1,2,234,462
"Toronto Centre/Toronto-Centre"," 103","Toronto",0,0,97,1,10,71,2,0,0,181,350
"Toronto Centre/Toronto-Centre"," 104A","Toronto",0,0,150,1,42,87,13,0,0,293,508
"Toronto Centre/Toronto-Centre"," 104B","Toronto",0,0,152,0,48,79,24,1,1,305,539
"Toronto Centre/Toronto-Centre"," 105","Toronto",0,0,122,0,73,35,13,0,1,244,484
"Toronto Centre/Toronto-Centre"," 106","Toronto",0,0,127,0,63,51,17,0,0,258,452
"Toronto Centre/Toronto-Centre"," 107A","Toronto",0,0,113,1,33,73,20,0,0,240,374
"Toronto Centre/Toronto-Centre"," 107B","Toronto",0,0,114,0,56,61,22,1,0,254,382
"Toronto Centre/Toronto-Centre"," 108","Toronto",0,0,132,0,85,34,27,0,0,278,409
"Toronto Centre/Toronto-Centre"," 109A","Toronto",0,0,176,0,82,64,28,0,0,350,452
