Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ben Cowie,Jamilé Ghaddar,Gordon Guyatt,David Januczkowski,Russ Powers,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 1","Flamborough",0,0,33,16,41,101,0,191,288
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 2","Flamborough",0,0,32,30,75,69,0,206,301
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 3","Flamborough",2,1,15,9,60,79,3,169,317
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 4A","Flamborough",2,0,31,11,50,107,2,203,301
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 4B","Flamborough",0,0,33,15,59,96,0,203,296
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 5","Flamborough",Void/Supprimé,,,,,,,,
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 6","Flamborough",1,0,43,16,54,100,0,214,314
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 7","Flamborough",0,0,40,11,67,130,1,249,410
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 8","Flamborough",1,0,32,9,34,91,1,168,274
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 9","Flamborough",1,1,28,12,125,126,1,294,454
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 10","Flamborough",1,0,15,16,47,97,0,176,286
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 11","Flamborough",0,0,16,6,55,103,0,180,301
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 12","Flamborough",2,0,24,11,106,112,0,255,415
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 13","Flamborough",2,0,20,15,62,95,0,194,328
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 14","Flamborough",0,0,23,8,61,91,0,183,341
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 15","Flamborough",1,0,30,11,49,100,0,191,319
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 16","Flamborough",0,1,30,9,44,101,0,185,313
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 17","Flamborough",0,0,26,7,35,78,1,147,259
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 18","Flamborough",1,1,26,16,53,116,0,213,291
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 19","Flamborough",2,0,49,17,62,131,0,261,399
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 20A","Flamborough",1,0,65,15,86,119,1,287,428
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 20B","Flamborough",2,1,52,26,91,135,2,309,447
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 21","Flamborough",Void/Supprimé,,,,,,,,
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 22","Flamborough",2,0,34,9,43,94,0,182,286
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 23","Flamborough",2,2,67,11,59,123,3,267,469
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 24","Flamborough",4,2,37,10,61,178,1,293,398
