Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Paul Benoit,Ric Dagenais,Alexandre Legeais,James C. Parsons,Raphaël Thierrin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ottawa--Vanier/Ottawa--Vanier"," 1","Gloucester",89,85,45,0,0,6,1,226,356
"Ottawa--Vanier/Ottawa--Vanier"," 2","Gloucester",89,107,60,0,0,20,0,276,406
"Ottawa--Vanier/Ottawa--Vanier"," 3","Gloucester",111,122,40,0,0,21,0,294,470
"Ottawa--Vanier/Ottawa--Vanier"," 4","Gloucester",95,107,32,0,0,8,0,242,374
"Ottawa--Vanier/Ottawa--Vanier"," 5","Gloucester",108,111,38,0,2,12,1,272,375
"Ottawa--Vanier/Ottawa--Vanier"," 6","Gloucester",96,97,50,1,0,9,0,253,411
"Ottawa--Vanier/Ottawa--Vanier"," 7","Gloucester",47,89,26,1,1,9,1,174,250
"Ottawa--Vanier/Ottawa--Vanier"," 8","Gloucester",56,71,33,0,0,9,0,169,259
"Ottawa--Vanier/Ottawa--Vanier"," 9","Gloucester",112,117,51,0,0,15,1,296,396
"Ottawa--Vanier/Ottawa--Vanier"," 10","Gloucester",90,107,47,0,1,26,0,271,433
"Ottawa--Vanier/Ottawa--Vanier"," 11","Gloucester",118,98,42,0,0,20,0,278,396
"Ottawa--Vanier/Ottawa--Vanier"," 12","Gloucester",85,134,28,0,2,19,0,268,446
"Ottawa--Vanier/Ottawa--Vanier"," 13","Gloucester",83,112,53,2,1,14,0,265,395
"Ottawa--Vanier/Ottawa--Vanier"," 14","Gloucester",110,90,56,0,3,16,1,276,598
"Ottawa--Vanier/Ottawa--Vanier"," 15","Gloucester",79,99,46,0,1,12,0,237,384
"Ottawa--Vanier/Ottawa--Vanier"," 16","Gloucester",62,45,45,0,0,16,1,169,284
"Ottawa--Vanier/Ottawa--Vanier"," 17","Gloucester",93,85,35,0,0,11,0,224,375
"Ottawa--Vanier/Ottawa--Vanier"," 18","Gloucester",51,65,23,0,0,11,0,150,267
"Ottawa--Vanier/Ottawa--Vanier"," 19","Gloucester",66,30,37,0,0,10,0,143,308
"Ottawa--Vanier/Ottawa--Vanier"," 20","Gloucester",27,29,10,0,1,1,0,68,139
"Ottawa--Vanier/Ottawa--Vanier"," 21","Gloucester",121,88,67,0,1,13,0,290,487
