Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Miguel Figueroa,Wendy Forrest,Mark O'Brien,Gord Perks,Theresa Rodrigues,Mario Silva,Sarah Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Davenport/Davenport"," 1","York",3,2,1,54,27,167,0,1,255,525
"Davenport/Davenport"," 2","York",2,0,4,61,34,118,1,0,220,390
"Davenport/Davenport"," 3","York",0,2,6,58,47,155,2,2,272,480
"Davenport/Davenport"," 4","York",Void/Supprimé,,,,,,,,,
"Davenport/Davenport"," 5","York",2,0,4,43,39,150,0,0,238,422
"Davenport/Davenport"," 6","York",0,3,3,54,58,128,3,0,249,446
"Davenport/Davenport"," 7","York",2,2,8,65,52,144,1,0,274,472
"Davenport/Davenport"," 8","York",1,0,4,39,47,140,0,0,231,415
"Davenport/Davenport"," 9","York",0,0,9,22,25,103,0,0,159,300
"Davenport/Davenport"," 10","York",3,3,3,40,32,116,0,2,199,386
"Davenport/Davenport"," 11","York",1,0,5,62,27,132,0,1,228,397
"Davenport/Davenport"," 12","York",0,1,5,47,32,139,0,1,225,434
"Davenport/Davenport"," 13","York",0,1,8,38,37,162,1,1,248,468
"Davenport/Davenport"," 14","Toronto",1,0,6,39,17,112,0,1,176,390
"Davenport/Davenport"," 15","Toronto",0,1,2,56,28,149,1,4,241,486
"Davenport/Davenport"," 16","Toronto",1,1,13,45,33,141,0,0,234,471
"Davenport/Davenport"," 17","Toronto",0,0,4,29,27,99,0,3,162,307
"Davenport/Davenport"," 18","Toronto",4,3,7,44,35,176,0,3,272,553
"Davenport/Davenport"," 18-1","Toronto",2,0,5,51,25,109,2,2,196,394
"Davenport/Davenport"," 19","Toronto",3,0,6,57,18,143,1,3,231,444
"Davenport/Davenport"," 20","Toronto",1,1,7,47,18,132,2,0,208,386
"Davenport/Davenport"," 21","Toronto",1,1,6,35,16,182,0,0,241,397
"Davenport/Davenport"," 22","Toronto",0,0,2,20,22,136,0,0,180,346
"Davenport/Davenport"," 23","Toronto",0,1,9,48,29,137,0,1,225,436
"Davenport/Davenport"," 24","Toronto",2,1,8,54,24,159,0,4,252,452
"Davenport/Davenport"," 25","Toronto",0,1,4,39,25,141,0,4,214,394
"Davenport/Davenport"," 26","Toronto",4,0,6,5,30,166,1,0,212,485
"Davenport/Davenport"," 27","Toronto",1,0,7,26,22,85,0,0,141,311
"Davenport/Davenport"," 28","York",0,0,6,69,32,152,0,0,259,525
"Davenport/Davenport"," 29","York",3,0,1,35,17,101,0,0,157,266
"Davenport/Davenport"," 30","York",2,1,7,78,30,116,2,2,238,394
"Davenport/Davenport"," 31","York",1,1,7,74,22,91,0,2,198,321
"Davenport/Davenport"," 32","York",1,0,9,80,20,109,0,5,224,351
"Davenport/Davenport"," 33","York",4,1,6,78,15,133,1,0,238,397
"Davenport/Davenport"," 34","York",1,0,3,69,32,104,0,1,210,335
"Davenport/Davenport"," 35","York",2,0,11,82,28,114,0,2,239,464
"Davenport/Davenport"," 36","York",1,0,4,52,13,90,0,1,161,294
"Davenport/Davenport"," 37","York",0,2,5,87,21,111,0,5,231,404
"Davenport/Davenport"," 38","York",2,0,5,61,24,107,0,1,200,338
"Davenport/Davenport"," 39","York",0,1,3,51,36,89,0,4,184,302
"Davenport/Davenport"," 40","Toronto",2,1,5,55,27,97,0,0,187,364
"Davenport/Davenport"," 41","Toronto",0,2,9,58,30,161,1,2,263,412
"Davenport/Davenport"," 42","Toronto",2,1,12,63,35,143,2,2,260,441
"Davenport/Davenport"," 43","Toronto",1,2,10,39,16,143,1,0,212,350
"Davenport/Davenport"," 44","Toronto",0,1,9,39,22,126,0,8,205,352
"Davenport/Davenport"," 45","Toronto",1,1,3,41,22,110,0,0,178,381
"Davenport/Davenport"," 46","Toronto",0,1,7,20,23,117,0,0,168,355
"Davenport/Davenport"," 47","Toronto",1,0,4,30,29,118,0,2,184,349
"Davenport/Davenport"," 48A","Toronto",2,2,7,40,29,102,1,3,186,362
"Davenport/Davenport"," 48B","Toronto",2,1,1,45,25,106,0,1,181,329
"Davenport/Davenport"," 49","Toronto",1,0,6,34,15,87,0,3,146,308
"Davenport/Davenport"," 50","Toronto",0,0,4,23,14,86,0,1,128,283
"Davenport/Davenport"," 51","Toronto",0,0,3,54,29,144,0,0,230,471
"Davenport/Davenport"," 52","Toronto",0,2,7,44,20,119,1,0,193,419
"Davenport/Davenport"," 53","Toronto",Void/Supprimé,,,,,,,,,
"Davenport/Davenport"," 54","Toronto",0,1,5,44,14,127,0,0,191,320
"Davenport/Davenport"," 55","Toronto",1,1,9,74,24,94,0,0,203,474
"Davenport/Davenport"," 56","Toronto",0,1,8,91,47,119,2,0,268,472
"Davenport/Davenport"," 57","Toronto",2,1,3,74,17,76,0,2,175,314
"Davenport/Davenport"," 58","Toronto",0,0,11,67,27,89,0,0,194,293
"Davenport/Davenport"," 59","Toronto",1,0,11,109,36,84,0,0,241,328
"Davenport/Davenport"," 60","Toronto",0,0,11,87,28,70,0,1,197,295
"Davenport/Davenport"," 61","Toronto",1,0,9,64,18,50,0,1,143,238
"Davenport/Davenport"," 62","Toronto",1,0,12,98,26,103,1,3,244,403
"Davenport/Davenport"," 63","Toronto",0,1,8,99,11,91,0,2,212,328
"Davenport/Davenport"," 64","Toronto",2,0,7,75,18,94,3,1,200,371
"Davenport/Davenport"," 65","Toronto",1,0,10,53,37,125,1,0,227,462
"Davenport/Davenport"," 66","Toronto",1,2,3,59,28,146,1,2,242,413
"Davenport/Davenport"," 67","Toronto",1,1,4,34,20,152,0,0,212,423
"Davenport/Davenport"," 68","Toronto",0,0,12,80,29,151,1,2,275,533
"Davenport/Davenport"," 69","Toronto",0,1,6,44,19,83,0,1,154,343
"Davenport/Davenport"," 70","Toronto",1,0,15,66,40,163,0,1,286,545
"Davenport/Davenport"," 71","Toronto",2,0,6,44,22,143,0,3,220,446
"Davenport/Davenport"," 72","Toronto",3,2,8,66,28,111,1,3,222,387
"Davenport/Davenport"," 73","Toronto",1,0,15,88,29,176,0,2,311,559
"Davenport/Davenport"," 74","Toronto",1,2,8,54,20,111,0,1,197,424
"Davenport/Davenport"," 75","Toronto",0,1,3,34,7,53,0,0,98,182
"Davenport/Davenport"," 76","Toronto",1,0,8,50,19,111,0,1,190,357
"Davenport/Davenport"," 77","Toronto",0,0,16,110,27,137,0,2,292,507
"Davenport/Davenport"," 78","Toronto",1,0,15,106,32,134,1,2,291,491
"Davenport/Davenport"," 79","Toronto",1,0,2,47,12,52,0,0,114,249
"Davenport/Davenport"," 79-1","Toronto",1,2,6,75,21,142,1,1,249,525
"Davenport/Davenport"," 80","Toronto",0,1,8,69,29,168,1,5,281,559
"Davenport/Davenport"," 81","Toronto",0,0,11,62,25,176,3,2,279,534
"Davenport/Davenport"," 82","Toronto",1,0,8,75,26,84,1,0,195,434
"Davenport/Davenport"," 83","Toronto",0,2,8,35,31,183,5,0,264,457
"Davenport/Davenport"," 84","Toronto",0,0,6,32,13,106,0,0,157,316
"Davenport/Davenport"," 85","Toronto",2,0,3,26,12,67,1,1,112,276
"Davenport/Davenport"," 86","Toronto",0,2,14,59,20,65,0,0,160,335
"Davenport/Davenport"," 86-1","Toronto",1,1,3,25,17,48,1,0,96,371
"Davenport/Davenport"," 87","Toronto",2,1,9,52,21,91,0,0,176,436
"Davenport/Davenport"," 88","Toronto",0,0,10,51,36,117,0,3,217,519
"Davenport/Davenport"," 89","Toronto",1,1,6,38,14,74,0,0,134,288
"Davenport/Davenport"," 90","Toronto",0,0,7,43,25,128,1,2,206,448
"Davenport/Davenport"," 91","Toronto",0,0,7,61,22,176,0,3,269,571
"Davenport/Davenport"," 92","Toronto",0,1,0,48,25,139,1,2,216,453
"Davenport/Davenport"," 93","Toronto",1,4,13,87,21,144,1,4,275,580
"Davenport/Davenport"," 94","Toronto",2,1,20,106,29,165,1,2,326,576
"Davenport/Davenport"," 95","Toronto",0,0,13,96,49,180,1,2,341,559
"Davenport/Davenport"," 96","Toronto",2,0,2,33,12,46,0,1,96,186
"Davenport/Davenport"," 97","Toronto",0,0,18,97,39,126,2,3,285,480
"Davenport/Davenport"," 98","Toronto",1,0,9,162,27,156,0,3,358,543
"Davenport/Davenport"," 99","Toronto",2,1,5,121,23,133,2,0,287,483
"Davenport/Davenport"," 100","Toronto",3,1,13,151,24,97,0,1,290,443
"Davenport/Davenport"," 101","Toronto",0,1,11,97,34,111,1,1,256,452
"Davenport/Davenport"," 102","Toronto",2,0,11,93,22,112,0,1,241,386
"Davenport/Davenport"," 103","Toronto",1,0,9,107,9,138,1,1,266,427
"Davenport/Davenport"," 104","Toronto",0,0,8,71,11,67,0,3,160,263
"Davenport/Davenport"," 105","Toronto",1,0,13,126,27,113,0,1,281,464
"Davenport/Davenport"," 106","Toronto",0,0,8,52,15,63,0,0,138,229
"Davenport/Davenport"," 107","Toronto",2,0,17,96,7,76,1,2,201,371
"Davenport/Davenport"," 108","Toronto",0,1,15,160,15,104,0,0,295,441
"Davenport/Davenport"," 109","Toronto",2,0,4,59,17,105,2,2,191,314
"Davenport/Davenport"," 110","Toronto",1,2,8,85,35,154,1,1,287,427
"Davenport/Davenport"," 111","Toronto",0,0,4,53,13,94,1,0,165,300
"Davenport/Davenport"," 112","Toronto",0,0,16,114,43,86,1,2,262,422
"Davenport/Davenport"," 113","Toronto",0,0,13,92,16,65,3,0,189,313
