Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine G. Gibson,Patrick O'Connor,Wes Penner,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Provencher/Provencher"," 1","Pine Falls",4,35,26,102,1,168,719
"Provencher/Provencher"," 2","Pine Falls",1,19,22,66,0,108,192
"Provencher/Provencher"," 3","Powerview",9,14,24,73,0,120,233
"Provencher/Provencher"," 4","Powerview",5,29,30,107,1,172,355
"Provencher/Provencher"," 5","St-Georges",10,34,40,170,0,254,401
"Provencher/Provencher"," 6","Great Falls",3,41,31,84,2,161,288
"Provencher/Provencher"," 7","St-Georges",7,14,16,91,2,130,186
"Provencher/Provencher"," 8","Bissett",Void/Supprimé,,,,,,
"Provencher/Provencher"," 9","Brightstone",13,32,20,105,0,170,265
"Provencher/Provencher"," 10","Crescent Bay",16,63,33,161,0,273,478
"Provencher/Provencher"," 11","Lac du Bonnet",9,28,17,101,0,155,301
"Provencher/Provencher"," 12","Lac du Bonnet",12,48,43,165,1,269,515
"Provencher/Provencher"," 13A","Riverland",14,61,46,173,1,295,593
"Provencher/Provencher"," 13B","Riverland",14,56,28,183,0,281,532
"Provencher/Provencher"," 14","Pointe du Bois",6,13,4,18,1,42,86
"Provencher/Provencher"," 15","Seven Sisters Falls",8,52,40,185,3,288,510
"Provencher/Provencher"," 16","Pinawa",14,39,66,107,1,227,391
"Provencher/Provencher"," 17","Pinawa",18,59,65,133,4,279,450
"Provencher/Provencher"," 18","Pinawa",12,42,49,125,1,229,362
"Provencher/Provencher"," 19","Lac du Bonnet",4,26,22,55,1,108,133
"Provencher/Provencher"," 20","Seddons Corner",9,37,20,74,0,140,238
"Provencher/Provencher"," 21","Elma",12,20,12,77,0,121,268
"Provencher/Provencher"," 22A","Whitemouth",19,64,56,246,1,386,563
"Provencher/Provencher"," 22B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,13
"Provencher/Provencher"," 22C","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,23
"Provencher/Provencher"," 23","Whitemouth",Void/Supprimé,,,,,,
"Provencher/Provencher"," 24","Falcon Lake",23,26,26,129,0,204,357
"Provencher/Provencher"," 25","Prawda",4,33,21,56,0,114,171
"Provencher/Provencher"," 26","Hadashville",12,24,17,118,0,171,273
"Provencher/Provencher"," 27","Springfield",11,43,34,186,1,275,460
"Provencher/Provencher"," 28","Oakbank",19,68,64,241,0,392,629
"Provencher/Provencher"," 29","Oakbank",16,60,41,152,1,270,472
"Provencher/Provencher"," 30","Oakbank",19,54,23,85,1,182,324
"Provencher/Provencher"," 31A","Oakbank",11,38,30,128,1,208,358
"Provencher/Provencher"," 31B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,15
"Provencher/Provencher"," 32","Oakbank",26,68,70,278,1,443,636
"Provencher/Provencher"," 33","Hazelridge",21,41,36,143,1,242,449
"Provencher/Provencher"," 34","Anola",23,74,68,192,1,358,504
"Provencher/Provencher"," 35","Vivian",22,57,46,143,0,268,375
"Provencher/Provencher"," 36","Ste. Rita",8,24,21,147,1,201,332
"Provencher/Provencher"," 37","Anola",16,74,28,154,2,274,475
"Provencher/Provencher"," 38","Anola",29,82,30,151,1,293,594
"Provencher/Provencher"," 39","Anola",5,39,26,108,0,178,301
"Provencher/Provencher"," 40","Dugald",14,39,30,146,0,229,476
"Provencher/Provencher"," 41","Dugald",8,49,26,154,1,238,345
"Provencher/Provencher"," 42","Dugald",11,33,48,94,0,186,403
"Provencher/Provencher"," 43","Dugald",13,32,30,119,0,194,321
"Provencher/Provencher"," 44","St. Adolphe",22,49,85,247,2,405,629
"Provencher/Provencher"," 45","St. Adolphe",14,65,61,126,1,267,392
"Provencher/Provencher"," 46A","St. Adolphe",10,61,60,132,2,265,408
"Provencher/Provencher"," 46B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,29
"Provencher/Provencher"," 46C","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,12
"Provencher/Provencher"," 47","Glenlea",7,29,20,75,0,131,205
"Provencher/Provencher"," 48","Ste. Agathe",18,49,102,109,0,278,405
"Provencher/Provencher"," 49","Niverville",6,17,14,238,2,277,390
"Provencher/Provencher"," 50","Niverville",19,20,30,353,1,423,589
"Provencher/Provencher"," 51","Niverville",5,16,29,268,0,318,503
"Provencher/Provencher"," 52","Niverville",6,32,29,256,2,325,569
"Provencher/Provencher"," 53","New Bothwell",9,21,10,243,1,284,416
"Provencher/Provencher"," 54","Oak Island Settlement",6,20,42,147,0,215,346
"Provencher/Provencher"," 55","Ile des Chênes",10,57,36,116,0,219,403
"Provencher/Provencher"," 56","Ile des Chênes",9,77,101,144,0,331,560
"Provencher/Provencher"," 57","Ile des Chênes",12,42,71,141,4,270,480
"Provencher/Provencher"," 58","Ile des Chênes",21,56,84,135,0,296,529
"Provencher/Provencher"," 59","Lorette",15,49,63,122,0,249,444
"Provencher/Provencher"," 60","Lorette",26,109,90,205,2,432,731
"Provencher/Provencher"," 61","Lorette",10,72,50,74,1,207,330
"Provencher/Provencher"," 62","Lorette",9,29,40,66,0,144,288
"Provencher/Provencher"," 63","Lorette",Void/Supprimé,,,,,,
"Provencher/Provencher"," 64","Lorette",14,57,49,153,0,273,443
"Provencher/Provencher"," 65","Rosewood",18,63,53,134,1,269,461
"Provencher/Provencher"," 66","Lorette",13,45,57,128,1,244,345
"Provencher/Provencher"," 67","Landmark",15,38,29,309,3,394,617
"Provencher/Provencher"," 68","Taché",9,40,40,208,1,298,430
"Provencher/Provencher"," 69","Linden",6,12,15,137,3,173,254
"Provencher/Provencher"," 70","Ste. Anne",5,13,26,97,0,141,354
"Provencher/Provencher"," 71","Ste. Anne",16,14,35,58,0,123,215
"Provencher/Provencher"," 72","Ste. Anne",13,44,72,112,3,244,489
"Provencher/Provencher"," 73","Ste. Anne",12,31,69,81,4,197,384
"Provencher/Provencher"," 74A","Ste. Anne",11,29,48,60,0,148,230
"Provencher/Provencher"," 74B","Mobile poll/Bureau itinérant",5,17,50,27,2,101,98
"Provencher/Provencher"," 74C","Mobile poll/Bureau itinérant",Merged with No. 74B/Fusionné avec le nº 74B,,,,,,61
"Provencher/Provencher"," 75","Ste-Geneviève",45,106,105,162,1,419,728
"Provencher/Provencher"," 76","Paradise Village",6,53,58,136,1,254,419
"Provencher/Provencher"," 77","Ste. Anne",34,70,74,128,0,306,490
"Provencher/Provencher"," 78","Richer",17,61,77,128,2,285,600
"Provencher/Provencher"," 79","Ross",14,41,46,98,0,199,449
"Provencher/Provencher"," 80","Sperling",1,21,9,91,1,123,183
"Provencher/Provencher"," 81A","Rosenort",3,5,2,137,0,147,232
"Provencher/Provencher"," 81B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,17
"Provencher/Provencher"," 82A","Rosenort",6,6,3,280,1,296,527
"Provencher/Provencher"," 82B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,11
"Provencher/Provencher"," 82C","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,12
"Provencher/Provencher"," 83","Aubigny",5,13,21,45,1,85,157
"Provencher/Provencher"," 84","Morris",12,24,23,191,0,250,418
"Provencher/Provencher"," 85","Lowe Farm",10,22,11,231,2,276,461
"Provencher/Provencher"," 86","Morris",15,47,37,160,0,259,385
"Provencher/Provencher"," 87","Morris",8,29,20,128,0,185,295
"Provencher/Provencher"," 88","Morris",7,13,27,133,1,181,311
"Provencher/Provencher"," 89","St. Jean Baptiste",7,19,46,74,1,147,241
"Provencher/Provencher"," 90","St. Jean Baptiste",8,20,61,122,1,212,318
"Provencher/Provencher"," 91","Roseau River Reserve",4,17,88,10,0,119,327
"Provencher/Provencher"," 92","Letellier",10,18,47,91,0,166,297
"Provencher/Provencher"," 93","Emerson",8,14,16,63,0,101,149
"Provencher/Provencher"," 94","Emerson",11,49,52,172,3,287,413
"Provencher/Provencher"," 95","Dominion City",12,24,26,212,0,274,531
"Provencher/Provencher"," 96","Dufrost",7,12,14,74,0,107,162
"Provencher/Provencher"," 97","Rat River Settlement",15,26,44,103,2,190,359
"Provencher/Provencher"," 98","Otterburne",13,33,37,195,2,280,397
"Provencher/Provencher"," 99A","St-Pierre-Jolys",22,62,82,110,3,279,471
"Provencher/Provencher"," 99B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,35
"Provencher/Provencher"," 100","St-Pierre-Jolys",11,31,54,40,0,136,223
"Provencher/Provencher"," 101","St. Malo",7,41,52,111,0,211,326
"Provencher/Provencher"," 102","St. Malo",12,62,100,117,3,294,567
"Provencher/Provencher"," 103","St. Malo",13,29,42,79,1,164,247
"Provencher/Provencher"," 104","Ridgeville",5,8,18,109,0,140,221
"Provencher/Provencher"," 105","Rosa",5,16,14,128,0,163,264
"Provencher/Provencher"," 106","Stuartburn",11,18,29,130,0,188,323
"Provencher/Provencher"," 107","Tolstoi",6,31,29,95,0,161,275
"Provencher/Provencher"," 108A","Vita",10,20,29,119,0,178,275
"Provencher/Provencher"," 108B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,30
"Provencher/Provencher"," 109","Vita",4,28,26,98,2,158,253
"Provencher/Provencher"," 110","Zhoda",3,14,16,58,0,91,164
