Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna-Celestrya Carr,Gary Gervais,Pat Martin,Helen Sterzer,Ray St. Germain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg Centre/Winnipeg-Centre"," 1","Winnipeg",1,6,75,45,25,2,154,333
"Winnipeg Centre/Winnipeg-Centre"," 2","Winnipeg",1,6,45,23,25,1,101,260
"Winnipeg Centre/Winnipeg-Centre"," 3","Winnipeg",1,7,89,38,41,1,177,416
"Winnipeg Centre/Winnipeg-Centre"," 4","Winnipeg",1,8,91,27,29,1,157,352
"Winnipeg Centre/Winnipeg-Centre"," 5","Winnipeg",2,3,59,30,43,0,137,316
"Winnipeg Centre/Winnipeg-Centre"," 6","Winnipeg",1,2,66,11,38,2,120,355
"Winnipeg Centre/Winnipeg-Centre"," 7","Winnipeg",1,6,82,22,37,0,148,414
"Winnipeg Centre/Winnipeg-Centre"," 8","Winnipeg",1,0,49,24,17,2,93,273
"Winnipeg Centre/Winnipeg-Centre"," 9","Winnipeg",1,7,86,36,35,1,166,391
"Winnipeg Centre/Winnipeg-Centre"," 10","Winnipeg",0,11,86,33,29,1,160,407
"Winnipeg Centre/Winnipeg-Centre"," 11","Winnipeg",0,5,86,32,34,2,159,340
"Winnipeg Centre/Winnipeg-Centre"," 12","Winnipeg",0,5,95,38,37,0,175,364
"Winnipeg Centre/Winnipeg-Centre"," 13","Winnipeg",0,7,97,22,32,0,158,405
"Winnipeg Centre/Winnipeg-Centre"," 14","Winnipeg",1,5,73,31,40,1,151,418
"Winnipeg Centre/Winnipeg-Centre"," 15","Winnipeg",0,7,82,32,40,1,162,395
"Winnipeg Centre/Winnipeg-Centre"," 16","Winnipeg",1,8,82,65,47,1,204,423
"Winnipeg Centre/Winnipeg-Centre"," 17","Winnipeg",1,3,50,37,26,0,117,233
"Winnipeg Centre/Winnipeg-Centre"," 18","Winnipeg",2,21,79,73,55,4,234,415
"Winnipeg Centre/Winnipeg-Centre"," 19","Winnipeg",0,15,79,68,40,0,202,388
"Winnipeg Centre/Winnipeg-Centre"," 20","Winnipeg",0,15,92,72,43,1,223,422
"Winnipeg Centre/Winnipeg-Centre"," 21","Winnipeg",1,14,68,63,30,0,176,458
"Winnipeg Centre/Winnipeg-Centre"," 22","Winnipeg",2,13,75,57,59,0,206,421
"Winnipeg Centre/Winnipeg-Centre"," 23","Winnipeg",0,15,75,50,35,0,175,372
"Winnipeg Centre/Winnipeg-Centre"," 24","Winnipeg",1,4,51,34,56,0,146,412
"Winnipeg Centre/Winnipeg-Centre"," 25","Winnipeg",1,17,90,59,33,0,200,346
"Winnipeg Centre/Winnipeg-Centre"," 26","Winnipeg",0,12,111,55,51,0,229,367
"Winnipeg Centre/Winnipeg-Centre"," 27A","Winnipeg",0,13,105,60,59,0,237,363
"Winnipeg Centre/Winnipeg-Centre"," 27B","Winnipeg",0,5,63,65,66,0,199,286
"Winnipeg Centre/Winnipeg-Centre"," 28","Winnipeg",1,12,129,50,59,3,254,466
"Winnipeg Centre/Winnipeg-Centre"," 29","Winnipeg",0,8,130,24,46,0,208,422
"Winnipeg Centre/Winnipeg-Centre"," 30","Winnipeg",0,8,108,38,55,1,210,399
"Winnipeg Centre/Winnipeg-Centre"," 31","Winnipeg",1,10,115,47,71,1,245,392
"Winnipeg Centre/Winnipeg-Centre"," 32","Winnipeg",1,4,80,44,38,1,168,350
"Winnipeg Centre/Winnipeg-Centre"," 33A","Winnipeg",0,7,63,35,43,1,149,286
"Winnipeg Centre/Winnipeg-Centre"," 33B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,89
"Winnipeg Centre/Winnipeg-Centre"," 34","Winnipeg",1,9,128,30,50,0,218,420
"Winnipeg Centre/Winnipeg-Centre"," 35","Winnipeg",0,13,105,47,54,2,221,413
"Winnipeg Centre/Winnipeg-Centre"," 36","Winnipeg",0,21,114,55,40,2,232,427
"Winnipeg Centre/Winnipeg-Centre"," 37","Winnipeg",1,12,111,58,39,0,221,382
"Winnipeg Centre/Winnipeg-Centre"," 38","Winnipeg",1,13,96,35,39,2,186,373
"Winnipeg Centre/Winnipeg-Centre"," 39","Winnipeg",2,14,114,29,37,1,197,426
"Winnipeg Centre/Winnipeg-Centre"," 40","Winnipeg",1,9,121,61,57,0,249,465
"Winnipeg Centre/Winnipeg-Centre"," 41","Winnipeg",1,17,122,51,28,1,220,404
"Winnipeg Centre/Winnipeg-Centre"," 42","Winnipeg",3,20,102,39,44,0,208,384
"Winnipeg Centre/Winnipeg-Centre"," 43","Winnipeg",2,34,159,35,29,2,261,392
"Winnipeg Centre/Winnipeg-Centre"," 44","Winnipeg",0,25,97,36,38,1,197,314
"Winnipeg Centre/Winnipeg-Centre"," 45","Winnipeg",1,39,132,32,37,1,242,377
"Winnipeg Centre/Winnipeg-Centre"," 46A","Winnipeg",0,5,29,17,18,0,69,163
"Winnipeg Centre/Winnipeg-Centre"," 46B","Winnipeg",2,1,9,31,14,0,57,76
"Winnipeg Centre/Winnipeg-Centre"," 47","Winnipeg",0,18,94,42,36,1,191,391
"Winnipeg Centre/Winnipeg-Centre"," 48","Winnipeg",0,14,123,33,45,2,217,489
"Winnipeg Centre/Winnipeg-Centre"," 49","Winnipeg",0,11,107,25,52,0,195,457
"Winnipeg Centre/Winnipeg-Centre"," 50","Winnipeg",1,8,66,16,25,3,119,268
"Winnipeg Centre/Winnipeg-Centre"," 51","Winnipeg",1,6,86,28,22,5,148,429
"Winnipeg Centre/Winnipeg-Centre"," 52","Winnipeg",2,12,69,13,29,4,129,359
"Winnipeg Centre/Winnipeg-Centre"," 53","Winnipeg",2,5,44,21,45,1,118,384
"Winnipeg Centre/Winnipeg-Centre"," 54","Winnipeg",1,5,103,35,60,3,207,540
"Winnipeg Centre/Winnipeg-Centre"," 55","Winnipeg",0,5,75,31,49,3,163,396
"Winnipeg Centre/Winnipeg-Centre"," 56","Winnipeg",0,3,77,32,20,1,133,311
"Winnipeg Centre/Winnipeg-Centre"," 57","Winnipeg",1,12,97,39,48,1,198,430
"Winnipeg Centre/Winnipeg-Centre"," 58","Winnipeg",0,11,115,51,36,0,213,439
