Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bowers,Dean Del Mastro,Diane Lloyd,Linda Slavin,Aiden Wiechula,Brent Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Peterborough/Peterborough"," 1","Jack's Lake",Merged with No. 2/Fusionné avec le nº 2,,,,,,,,41
"Peterborough/Peterborough"," 1-1","Oak Lake",0,27,18,20,2,2,0,69,177
"Peterborough/Peterborough"," 1-2","Hall's Glen",0,8,5,6,0,2,0,21,34
"Peterborough/Peterborough"," 2","Cordova Mines",1,109,37,59,1,10,1,218,315
"Peterborough/Peterborough"," 3","Round Lake",0,118,42,49,2,15,1,227,405
"Peterborough/Peterborough"," 4","Belmont",0,107,52,73,0,7,2,241,479
"Peterborough/Peterborough"," 5","Belmont",0,57,36,37,1,13,1,145,247
"Peterborough/Peterborough"," 6","Belmont",0,126,24,54,5,7,0,216,401
"Peterborough/Peterborough"," 7","Havelock",0,41,12,24,2,9,0,88,186
"Peterborough/Peterborough"," 8","Havelock",0,74,47,65,3,10,1,200,418
"Peterborough/Peterborough"," 9A","Havelock",1,61,21,33,0,5,0,121,315
"Peterborough/Peterborough"," 9B","Havelock",1,41,47,30,1,4,0,124,336
"Peterborough/Peterborough"," 10","Dunford Sales",0,68,47,31,2,8,1,157,299
"Peterborough/Peterborough"," 11","Wesley",1,151,123,72,3,19,1,370,589
"Peterborough/Peterborough"," 12","Curve Lake First Nation 35",0,44,66,96,2,7,0,215,359
"Peterborough/Peterborough"," 13","Curve Lake First Nation 35",0,18,76,80,3,3,1,181,329
"Peterborough/Peterborough"," 14","Selwyn",1,133,93,71,2,7,0,307,598
"Peterborough/Peterborough"," 15","Youngs Point",1,90,33,34,1,13,3,175,287
"Peterborough/Peterborough"," 16","Youngs Point",1,114,94,83,4,15,0,311,495
"Peterborough/Peterborough"," 17","Selwyn",1,105,83,44,0,11,0,244,498
"Peterborough/Peterborough"," 18A","Lakefield",0,90,65,61,2,14,2,234,497
"Peterborough/Peterborough"," 18B","Lakefield",0,71,65,37,1,12,1,187,413
"Peterborough/Peterborough"," 19","Lakefield",0,85,79,76,1,14,0,255,413
"Peterborough/Peterborough"," 20","Lakefield",0,105,76,49,0,10,1,241,424
"Peterborough/Peterborough"," 21","Lakefield",0,55,37,53,2,11,0,158,263
"Peterborough/Peterborough"," 22","Lakefield",0,97,66,115,2,16,1,297,445
"Peterborough/Peterborough"," 23","Fairview",0,78,61,38,1,11,0,189,348
"Peterborough/Peterborough"," 24","Fairview",0,93,45,46,1,8,0,193,301
"Peterborough/Peterborough"," 25","Fairview",2,132,105,77,3,19,0,338,486
"Peterborough/Peterborough"," 26","Crowes Landing",1,94,67,33,3,7,0,205,338
"Peterborough/Peterborough"," 27","Hall Glen",0,140,89,96,6,19,0,350,526
"Peterborough/Peterborough"," 28","Galesburg",1,83,58,45,3,12,0,202,334
"Peterborough/Peterborough"," 29","Warsaw",0,142,105,98,5,11,0,361,535
"Peterborough/Peterborough"," 30","Warsaw",0,70,46,37,0,12,0,165,236
"Peterborough/Peterborough"," 31","Douro",0,114,98,57,2,21,1,293,367
"Peterborough/Peterborough"," 32","Douro",0,97,61,60,1,12,0,231,375
"Peterborough/Peterborough"," 33","Donwood",0,129,100,63,4,17,0,313,442
"Peterborough/Peterborough"," 34","Donwood",0,99,73,57,2,8,0,239,337
"Peterborough/Peterborough"," 35","Donwood",1,94,86,67,5,11,0,264,390
"Peterborough/Peterborough"," 36A","Ennismore",1,69,70,35,0,19,2,196,376
"Peterborough/Peterborough"," 36B","Ennismore",0,90,65,20,4,8,0,187,379
"Peterborough/Peterborough"," 37","Ennismore",3,118,76,37,4,9,0,247,434
"Peterborough/Peterborough"," 38","Ennismore",2,96,76,42,1,13,0,230,501
"Peterborough/Peterborough"," 39","Ennismore",0,73,77,37,3,8,0,198,397
"Peterborough/Peterborough"," 40","Ennismore",0,137,104,50,3,15,0,309,529
"Peterborough/Peterborough"," 41","Ennismore",1,75,77,41,0,14,2,210,377
"Peterborough/Peterborough"," 42","Ennismore",0,61,68,40,1,8,0,178,332
"Peterborough/Peterborough"," 43","Bridgenorth",0,88,45,35,0,10,0,178,306
"Peterborough/Peterborough"," 44","Bridgenorth",1,99,67,65,3,12,2,249,417
"Peterborough/Peterborough"," 45","Bridgenorth",0,82,35,33,2,10,0,162,284
"Peterborough/Peterborough"," 46","Chemong Park",1,62,53,34,1,6,0,157,304
"Peterborough/Peterborough"," 47","Ennismore",1,156,107,40,1,17,0,322,574
"Peterborough/Peterborough"," 48A","Fowlers Corners",2,77,62,41,2,8,0,192,372
"Peterborough/Peterborough"," 48B","Fowlers Corners",0,81,44,31,1,12,0,169,289
"Peterborough/Peterborough"," 49","Fowlers Corners",0,101,92,63,1,10,0,267,537
"Peterborough/Peterborough"," 50","Fairview",1,137,130,76,3,27,0,374,532
"Peterborough/Peterborough"," 51","Bridgenorth",1,137,116,61,1,14,1,331,498
"Peterborough/Peterborough"," 52","Shaughnessey",0,120,78,40,2,12,1,253,415
"Peterborough/Peterborough"," 53","Peterborough",0,62,99,120,3,26,1,311,478
"Peterborough/Peterborough"," 54","Peterborough",1,134,149,151,1,24,1,461,710
"Peterborough/Peterborough"," 55","Peterborough",1,105,143,58,0,22,0,329,495
"Peterborough/Peterborough"," 56","Peterborough",2,62,78,31,0,9,1,183,338
"Peterborough/Peterborough"," 57","Peterborough",1,84,73,53,1,16,0,228,349
"Peterborough/Peterborough"," 58","Peterborough",0,82,71,51,0,2,0,206,303
"Peterborough/Peterborough"," 59","Peterborough",0,69,75,76,0,10,1,231,297
"Peterborough/Peterborough"," 60","Peterborough",1,71,69,43,3,15,0,202,312
"Peterborough/Peterborough"," 61","Peterborough",0,114,125,61,2,23,3,328,487
"Peterborough/Peterborough"," 62A","Peterborough",0,92,69,52,0,4,0,217,338
"Peterborough/Peterborough"," 62B","Peterborough",0,68,49,43,0,4,0,164,265
"Peterborough/Peterborough"," 63","Peterborough",0,114,90,44,0,7,0,255,406
"Peterborough/Peterborough"," 64","Peterborough",1,60,54,47,3,13,0,178,360
