Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Dominic LaPlante,Jim Pankiw,Gerry Ritz,Harold Stephan,Elgin Wayne Wyatt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1A","Onion Lake",0,292,1,13,1,18,3,328,647
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1B","Onion Lake",3,222,1,9,2,21,0,258,656
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 2","Fort Pitt",2,3,7,110,1,5,0,128,227
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 3","Bolney",4,4,16,198,1,9,0,232,382
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 4","Paradise Hill",5,8,16,115,0,25,0,169,233
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 5","St. Walburg",2,11,30,144,4,25,0,216,413
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 6","St. Walburg",1,10,23,157,4,31,0,226,368
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 7","Mervin",1,1,5,47,0,5,0,59,108
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 8","Elmhurst",3,19,12,73,2,23,0,132,200
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 9","Spruce Lake",3,5,11,64,0,5,1,89,160
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 10","Thunderchild First Nation 115B",3,122,2,21,2,24,0,174,310
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 11","Turtleford",1,3,22,70,1,21,0,118,165
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 12","Turtleford",1,31,43,138,1,41,0,255,462
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 13","Livelong",6,13,33,146,0,46,0,244,401
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 14","Mervin",0,6,28,77,0,31,0,142,233
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 15","Glaslyn",2,16,62,106,2,13,0,201,327
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 16","Glaslyn",2,18,33,81,1,27,0,162,310
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 17","Medstead",9,8,38,230,5,32,2,324,412
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 18","Edam",0,8,23,81,0,9,0,121,172
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 19","Edam",4,13,41,110,1,26,0,195,308
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 20","Vawn",2,8,24,75,0,10,0,119,200
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 21","Meota",3,27,68,155,1,59,2,315,499
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 22","Cochin",1,59,34,112,1,33,1,241,499
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 23","Prince",3,8,22,51,1,6,0,91,181
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 24","Saulteaux",1,83,0,35,0,11,1,131,180
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 25","Moosomin 112 B",2,149,0,15,0,15,0,181,273
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 26","Rabbit Lake",4,5,24,106,3,16,0,158,287
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 27","Whitkow",0,5,17,41,0,17,1,81,126
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 28","Hamlin",3,6,61,142,1,29,0,242,365
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 29","Denholm",0,4,39,73,3,17,0,136,214
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 30","North Battleford",2,18,51,190,0,72,0,333,518
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 31","North Battleford",2,27,72,98,2,48,0,249,438
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 32","North Battleford",5,14,52,124,1,43,0,239,350
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 33","North Battleford",3,16,46,86,0,42,1,194,323
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 34","North Battleford",3,15,48,119,1,52,0,238,361
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 35","North Battleford",6,35,59,116,0,51,1,268,506
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 36","North Battleford",6,17,51,101,0,49,0,224,317
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 37","North Battleford",4,13,25,54,0,41,0,137,261
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 38","North Battleford",2,24,25,69,0,37,2,159,338
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 39","North Battleford",1,23,25,67,1,34,0,151,260
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 40","North Battleford",3,18,45,71,0,33,1,171,292
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 41","North Battleford",4,26,43,85,0,51,1,210,334
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 42","North Battleford",3,18,43,72,0,41,0,177,403
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 43","North Battleford",2,18,13,34,0,22,1,90,274
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 44","North Battleford",3,15,39,106,1,38,1,203,369
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 45","North Battleford",4,24,49,61,2,44,0,184,385
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 46","North Battleford",5,30,17,60,3,55,2,172,291
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 47","North Battleford",3,20,23,52,0,55,0,153,297
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 48","North Battleford",0,28,28,77,4,43,2,182,349
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 49","North Battleford",3,38,31,73,2,46,1,194,367
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 50","North Battleford",3,25,29,39,3,40,0,139,316
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 51","North Battleford",5,43,25,62,1,48,2,186,368
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 52","North Battleford",1,26,24,60,1,28,0,140,292
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 53","North Battleford",2,47,31,67,1,32,0,180,418
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 54","North Battleford",1,82,21,68,4,42,1,219,437
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 55","North Battleford",0,19,16,31,0,16,0,82,154
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 56","North Battleford",3,27,40,91,4,44,0,209,386
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 57","Northminster",10,7,15,140,1,15,0,188,322
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 58","Hillmond",8,9,14,133,1,13,0,178,300
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 59","Lloydminster",1,9,16,137,6,20,0,189,305
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 60","Maidstone",5,3,23,199,4,32,1,267,466
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 61","Maidstone",4,6,9,97,0,27,0,143,257
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 62","Maidstone",2,8,5,79,0,15,1,110,176
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 63","Maidstone",9,8,18,105,1,13,0,154,309
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 64","Lloydminster",9,16,16,121,4,42,0,208,704
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 65","Lloydminster",11,30,9,123,2,44,0,219,460
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 66","Lloydminster",13,13,11,109,1,32,0,179,536
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 67","Lloydminster",8,15,5,121,5,32,0,186,418
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 68","Lloydminster",5,10,18,105,5,26,0,169,425
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 69","Lloydminster",8,11,14,58,2,23,0,116,375
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 70","Lloydminster",7,14,12,93,2,31,0,159,423
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 71","Lloydminster",9,11,11,128,1,38,0,198,494
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 72","Lloydminster",3,13,15,136,4,32,0,203,436
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 73","Lloydminster",9,12,12,108,4,29,0,174,449
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 74","Lloydminster",10,20,14,157,4,35,0,240,579
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75","Lloydminster",7,17,15,97,1,32,0,169,491
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 76","Marshall",3,9,8,129,5,32,0,186,311
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 77","Marshall",1,2,5,94,0,33,0,135,182
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 78","Marshall",11,7,29,125,2,35,0,209,454
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 79","Lashburn",8,6,5,98,1,19,0,137,262
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 80","Lone Rock",6,10,5,119,0,25,0,165,293
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 81","Lashburn",9,12,16,211,8,54,0,310,552
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 82","Paynton",1,24,15,101,0,37,0,178,407
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 83","Little Pine and Lucky Man 116",0,156,2,7,0,44,0,209,277
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 84","Poundmaker",0,96,2,6,0,14,0,118,259
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 85","Cut Knife",1,1,20,71,1,8,1,103,139
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 86","Gallivan",1,1,15,62,0,10,0,89,157
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 87","Cut Knife",5,28,38,143,2,63,0,279,447
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 88","Sweet Grass",0,141,2,6,0,43,4,196,308
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 89","Delmas",5,6,39,74,0,15,0,139,273
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 90","Prongua",0,11,23,85,0,29,1,149,239
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 91","Garden Prairie",2,3,45,76,0,23,0,149,241
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 92","Battleford",4,14,75,104,0,53,0,250,573
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 93","Battleford",2,10,41,95,0,35,0,183,265
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 94","Battleford",5,24,80,126,1,67,1,304,619
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 95","Battleford",0,13,32,42,1,32,0,120,183
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 96","Battleford",1,17,39,77,2,47,0,183,282
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 97","Battleford",1,12,58,83,1,55,1,211,373
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 98","Battleford",2,12,50,69,0,40,1,174,288
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 99","Battleford",1,14,51,70,1,28,0,165,267
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 100","Marsden",6,17,10,156,3,28,0,220,330
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 101","Marsden",1,1,10,78,1,17,0,108,174
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 102","Neilburg",2,8,15,107,2,28,0,162,281
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 103","Freemont",7,12,33,134,2,25,2,215,431
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 104","Senlac",1,2,15,102,1,15,0,136,199
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 105","Unity",2,8,39,103,0,10,0,162,292
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 106","Unity",2,7,33,72,2,19,0,135,247
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 107","Unity",9,18,65,165,3,42,1,303,561
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 108","Unity",2,6,34,66,0,28,1,137,232
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 109","Unity",2,14,45,88,1,13,0,163,260
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 110","Unity",2,10,29,62,0,16,0,119,180
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 111","Unity",4,12,46,43,0,25,1,131,214
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 112","Macklin",2,5,16,79,1,16,0,119,175
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 113","Macklin",6,17,34,235,3,27,0,322,582
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 114","Macklin",5,18,17,200,6,10,1,257,421
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 115","Reward",4,10,35,84,1,2,0,136,272
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 116","Swarthmore",3,4,54,100,2,11,0,174,307
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 117","Cando",1,7,19,38,0,8,2,75,111
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 118","Mosquito 109",1,104,1,10,2,11,1,130,321
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 119","Red Pheasant",0,117,3,14,2,15,0,151,296
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 120","Wilkie",2,12,36,74,0,20,1,145,250
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 121","Wilkie",3,16,58,112,3,39,1,232,419
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 122","Wilkie",2,11,35,52,0,17,0,117,281
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 123","Scott",3,11,50,100,1,21,0,186,414
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 124","Landis",2,10,44,82,1,36,0,175,258
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 125","Cactus Lake",4,3,15,144,5,4,0,175,258
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 126","Denzil",6,11,25,130,1,9,0,182,293
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 127","Luseland",1,6,18,42,2,3,0,72,115
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 128","Luseland",5,12,16,53,4,18,2,110,209
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 129","Luseland",7,11,23,102,4,25,0,172,237
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 130","Tramping Lake",1,6,37,67,0,6,0,117,184
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 131","Kelfield",9,11,33,94,1,13,0,161,297
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 132","Major",7,10,16,118,0,12,0,163,233
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 133","Kerrobert",2,12,19,93,2,19,0,147,277
