Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,France Bonsant,Stéphane Bürgi,Gary Caldwell,Gaétan Perreault,David Price,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Compton--Stanstead/Compton--Stanstead"," 1","Weedon (Saint-Gérard)",105,14,98,8,29,5,259,466
"Compton--Stanstead/Compton--Stanstead"," 2","Weedon",119,13,91,9,33,3,268,525
"Compton--Stanstead/Compton--Stanstead"," 3","Weedon",85,11,84,8,20,3,211,362
"Compton--Stanstead/Compton--Stanstead"," 4","Weedon",90,11,64,4,19,3,191,334
"Compton--Stanstead/Compton--Stanstead"," 5","Weedon",100,16,82,5,36,4,243,466
"Compton--Stanstead/Compton--Stanstead"," 6","Gould",88,16,60,16,41,3,224,345
"Compton--Stanstead/Compton--Stanstead"," 7","Hampden",82,7,40,9,33,1,172,307
"Compton--Stanstead/Compton--Stanstead"," 8","Hampden",93,5,51,6,35,3,193,323
"Compton--Stanstead/Compton--Stanstead"," 9","Ditton",115,15,67,11,29,3,240,380
"Compton--Stanstead/Compton--Stanstead"," 10","La Patrie",65,4,63,5,18,0,155,238
"Compton--Stanstead/Compton--Stanstead"," 11","Chartierville",82,4,68,11,23,2,190,292
"Compton--Stanstead/Compton--Stanstead"," 12","Dudswell",54,10,36,18,14,2,134,213
"Compton--Stanstead/Compton--Stanstead"," 13","Dudswell",135,11,72,13,41,2,274,409
"Compton--Stanstead/Compton--Stanstead"," 14","Dudswell",80,16,57,6,34,2,195,328
"Compton--Stanstead/Compton--Stanstead"," 15","Dudswell",105,13,43,12,43,3,219,391
"Compton--Stanstead/Compton--Stanstead"," 16","Bury",101,20,63,24,62,3,273,479
"Compton--Stanstead/Compton--Stanstead"," 17","Bury",80,16,79,11,108,2,296,448
"Compton--Stanstead/Compton--Stanstead"," 18","Westbury",99,13,44,9,36,2,203,372
"Compton--Stanstead/Compton--Stanstead"," 19","Westbury",114,11,41,5,22,2,195,366
"Compton--Stanstead/Compton--Stanstead"," 20","East Angus",95,16,56,4,17,0,188,395
"Compton--Stanstead/Compton--Stanstead"," 21","East Angus",107,12,56,4,31,1,211,325
"Compton--Stanstead/Compton--Stanstead"," 22","East Angus",97,2,45,2,26,1,173,350
"Compton--Stanstead/Compton--Stanstead"," 23","East Angus",88,4,35,3,26,1,157,280
"Compton--Stanstead/Compton--Stanstead"," 24","East Angus",120,9,51,9,28,6,223,413
"Compton--Stanstead/Compton--Stanstead"," 25","East Angus",90,2,35,6,23,2,158,370
"Compton--Stanstead/Compton--Stanstead"," 26","East Angus",87,14,56,5,21,2,185,362
"Compton--Stanstead/Compton--Stanstead"," 27","East Angus",46,11,38,4,19,0,118,241
"Compton--Stanstead/Compton--Stanstead"," 28","Ascot Corner",126,15,71,19,18,0,249,418
"Compton--Stanstead/Compton--Stanstead"," 29","Ascot Corner",171,17,53,15,21,0,277,535
"Compton--Stanstead/Compton--Stanstead"," 30","Ascot Corner",177,29,79,15,32,6,338,542
"Compton--Stanstead/Compton--Stanstead"," 31","Ascot Corner",146,13,62,7,34,3,265,448
"Compton--Stanstead/Compton--Stanstead"," 32","Stoke",159,31,67,14,27,3,301,479
"Compton--Stanstead/Compton--Stanstead"," 33","Stoke",144,31,48,15,26,10,274,432
"Compton--Stanstead/Compton--Stanstead"," 34","Stoke",Merged with No. 35/Fusionné avec le nº 35,,,,,,,82
"Compton--Stanstead/Compton--Stanstead"," 35","Stoke",97,10,38,8,8,0,161,182
"Compton--Stanstead/Compton--Stanstead"," 36","Stoke",126,20,47,15,24,9,241,364
"Compton--Stanstead/Compton--Stanstead"," 37","Stoke",150,19,59,24,20,2,274,487
"Compton--Stanstead/Compton--Stanstead"," 38","Eaton",74,20,56,21,44,2,217,384
"Compton--Stanstead/Compton--Stanstead"," 39","Eaton",145,15,75,8,54,3,300,474
"Compton--Stanstead/Compton--Stanstead"," 40","Eaton",49,12,33,5,42,0,141,229
"Compton--Stanstead/Compton--Stanstead"," 41","Eaton Corner",67,9,74,16,59,1,226,433
"Compton--Stanstead/Compton--Stanstead"," 42","Sawyerville",49,11,65,6,73,1,205,336
"Compton--Stanstead/Compton--Stanstead"," 43","Sawyerville",42,9,73,6,66,1,197,289
"Compton--Stanstead/Compton--Stanstead"," 44","Eaton",133,13,48,8,28,3,233,399
"Compton--Stanstead/Compton--Stanstead"," 45","Cookshire",114,11,51,8,43,0,227,389
"Compton--Stanstead/Compton--Stanstead"," 46","Cookshire",90,7,58,5,21,3,184,355
"Compton--Stanstead/Compton--Stanstead"," 47","Cookshire",101,15,61,8,37,2,224,437
"Compton--Stanstead/Compton--Stanstead"," 48","Newport",42,11,74,10,68,1,206,283
"Compton--Stanstead/Compton--Stanstead"," 49","Newport",42,11,39,5,41,0,138,272
"Compton--Stanstead/Compton--Stanstead"," 50","Saint-Isidore-d'Auckland",85,9,138,8,45,5,290,459
"Compton--Stanstead/Compton--Stanstead"," 51","Clifton-Partie-Est",15,0,24,5,25,1,70,122
"Compton--Stanstead/Compton--Stanstead"," 52","Waterville",56,10,39,13,60,0,178,417
"Compton--Stanstead/Compton--Stanstead"," 53","Waterville",91,18,42,12,67,1,231,413
"Compton--Stanstead/Compton--Stanstead"," 54","Waterville",92,21,47,15,56,2,233,376
"Compton--Stanstead/Compton--Stanstead"," 55","Waterville",72,6,29,9,50,4,170,291
"Compton--Stanstead/Compton--Stanstead"," 56","Compton",63,9,36,6,27,0,141,245
"Compton--Stanstead/Compton--Stanstead"," 57","Compton",119,15,72,10,50,2,268,371
"Compton--Stanstead/Compton--Stanstead"," 58","Compton",96,15,68,11,27,2,219,373
"Compton--Stanstead/Compton--Stanstead"," 59","Compton",96,9,91,9,44,2,251,379
"Compton--Stanstead/Compton--Stanstead"," 60","Compton",116,6,91,12,49,3,277,439
"Compton--Stanstead/Compton--Stanstead"," 61","Compton",127,16,58,14,50,5,270,441
