Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Bédard,Guy Caron,Roger Picard,Louise Thibault,Michel Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 1","Pointe-au-Père",9,33,55,119,31,3,250,483
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 2","Pointe-au-Père",4,31,49,167,39,0,290,458
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 3","Saint-Anaclet-de-Lessard",7,20,41,142,28,0,238,345
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 4A","Pointe-au-Père",7,33,40,76,33,3,192,312
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 4B","Pointe-au-Père",1,29,35,93,24,0,182,288
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 5","Pointe-au-Père",8,26,46,148,43,1,272,451
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 6","Pointe-au-Père",9,47,54,154,17,1,282,467
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 7","Pointe-au-Père",4,22,42,139,37,4,248,407
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 8","Pointe-au-Père",5,20,41,119,15,4,204,367
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 9","Rimouski-Est",10,23,52,105,33,2,225,356
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 10","Rimouski-Est",6,30,55,118,56,1,266,366
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 11","Rimouski-Est",2,22,32,109,45,2,212,329
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 12","Rimouski-Est",0,8,29,67,25,2,131,253
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 13","Rimouski-Est",2,13,45,79,19,1,159,276
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 14","Saint-Anaclet-de-Lessard",5,33,61,152,30,2,283,440
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 15","Saint-Anaclet-de-Lessard",4,21,43,144,39,1,252,421
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 16A","Saint-Anaclet-de-Lessard",1,13,26,82,14,1,137,209
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 16B","Saint-Anaclet-de-Lessard",2,26,35,101,29,0,193,287
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 17","Saint-Anaclet-de-Lessard",7,30,25,106,31,2,201,337
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 18","Rimouski",6,33,39,150,35,4,267,431
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 19","Rimouski",7,15,27,74,54,2,179,428
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 20","Rimouski",2,22,16,62,43,1,146,286
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 21","Rimouski",6,16,18,63,33,4,140,313
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 22","Rimouski",4,13,16,41,15,1,90,203
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 23","Rimouski",6,15,21,86,33,0,161,356
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 24","Rimouski",2,20,35,64,35,3,159,277
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 25","Rimouski",2,28,30,69,53,4,186,306
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 26","Rimouski",9,15,38,107,42,1,212,371
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 27","Rimouski",4,30,30,77,59,1,201,345
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 28","Rimouski",8,30,36,135,57,4,270,437
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 29","Rimouski",4,30,39,117,43,3,236,389
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 30","Rimouski",5,19,33,106,39,3,205,345
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 31","Rimouski",5,24,43,119,27,3,221,324
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 32","Rimouski",9,48,56,133,45,2,293,467
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 33","Rimouski",3,36,54,114,46,1,254,417
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 34","Rimouski",2,34,37,113,52,2,240,407
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 35","Rimouski",7,27,59,130,48,0,271,444
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 36","Rimouski",6,44,60,137,50,1,298,460
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 37","Rimouski",9,53,45,160,61,2,330,486
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 38","Rimouski",6,32,52,120,52,1,263,388
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 39","Rimouski",3,40,46,126,65,1,281,478
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 40","Rimouski",8,46,39,123,60,2,278,432
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 41","Rimouski",2,19,22,59,25,1,128,258
