Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Ève Hélie-Lambert,Louis Lacroix,Louis Plamondon,Ghislaine Provencher,Marie-Claude Roberge Cartier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 169","Sorel",40,6,134,25,10,10,225,407
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 170","Sorel",32,5,130,24,12,3,206,388
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 171","Sorel",30,6,152,17,15,6,226,467
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 172","Sorel",30,7,81,24,5,5,152,337
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 173","Sorel",45,5,114,17,11,5,197,405
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 174","Sorel",59,10,121,23,7,5,225,419
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 175","Sorel",67,10,162,25,13,4,281,501
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 176","Sorel",36,4,112,19,12,1,184,418
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 177","Sorel",32,5,163,15,7,4,226,404
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 178","Sorel",54,13,131,12,10,2,222,369
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 179","Sorel",57,16,181,18,21,6,299,452
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 180","Sorel",54,7,168,11,12,8,260,384
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 181","Sorel",41,5,125,13,13,6,203,306
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 182","Sorel",61,11,144,15,12,5,248,396
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 183","Sorel",38,4,150,11,15,0,218,374
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 184","Sorel",34,3,128,11,10,2,188,328
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 185","Sorel",38,5,122,18,5,8,196,376
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 186","Sorel",36,2,91,17,9,1,156,358
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 187","Sorel",52,5,122,15,10,3,207,390
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 188","Sorel",27,7,123,16,7,0,180,322
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 189","Saint-Robert",33,5,108,9,6,7,168,363
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 190","Saint-Robert",13,3,55,7,1,3,82,152
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 191","Saint-Robert",22,2,79,4,2,1,110,204
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 192","Saint-Robert",34,10,128,17,3,4,196,337
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 193","Sainte-Victoire-de-Sorel",67,8,204,23,10,4,316,531
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 194","Sainte-Victoire-de-Sorel",53,12,178,31,17,5,296,509
